schemaVersion,semanticTag,matrix,label,profileSha256,canonicalBaseline,decoder,randomness,resourceFlight,resourceInertia,legalExploration,qg,evaluatedPddr,lineageArchive,personalLeader,blockFrozenDualQ,vns
"p8-ablation-v3","fatigue_improved","FV","FV0","db9f6049896ca2d2e9d14439d9d33d053022c220e4b4482637b73d3926ef00d8",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",true,true,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV1","c1dbe33e31f95a0f8172c0506a9165fca5fc1265e48d8cb9bfc0c10c3b5c96f4",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","FA_LEADER_ONLY",true,true,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV2","8f341c4561a676bb17bbbf59b6a57861b2b640693e358e99d2725ce33bf13982",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","INDEPENDENT_FMW",true,true,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV3","6e96d5eeb755b2e34a7f6e5b7a289cd12a17f1d3ba48ee58b7528b40b597860b",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV4","86b42af08a440bef287a193ad8d6ab4a1d75ab20ac5ac01d9d13ff100d4488f0",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",false,true,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV5","2d7435fa36308e19626e8d4afa15dd13ed8f31226fe502fa07bab9c2566ecac7",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,false,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FV","FV-Full","97bc400ebd39037f6bd11d26a53080c09ca06439d6bf9f6061cf3cf8cd85b583",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"O1_O9_FIXED"
"p8-ablation-v3","deterministic_canonical","FM","FM0","88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8",true,"DETERMINISTIC_CANONICAL","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FM","FM1","016594cb3b7b2af888f43c59038baf3e2c26d10b1926a7a8d8f6c2bdbecb1579",true,"ACCUMULATION_ONLY","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FM","FM2","1422eefd89ab3bc29b63c5f9228b5287141b82d15677ef21378616fc0c3d170f",true,"ACCUMULATION_RECOVERY","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","FM","FM3","e0bef85c2e2395491016f9ef93b53f4b0422cc765597aa967ea2ba7ac5479a3f",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP0","4939f214035d0ec64cfff9dd25cb33f6d25c121bbbad3a14f1911134d9c33f06",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,false,true,false,"AUTHOR_SINGLE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP1","dbe8aa646acd52fe3d1ebc37126f47b255afff9bbb10e195d45be2ddbfcbdea6",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,false,true,true,"ARCHIVE_DIRECTIONAL",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP2","e2a84965ffdd61aecc0ccb05bdfe3cd92a9be806db0a4ea59360c761273e25d9",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,false,true,true,"ARCHIVE_RANDOM_FOUR",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP3","00228e7456ca9844bb1a8116c66141c9a10af66cb9a72b0eb88f0e129809693e",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,false,true,true,"QP_LINEAGE_ARCHIVE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP4","4ed16c9d2f20774905d8caa0f83d2fc1e7cffb5dbebb72aac0ddf447753f3ada",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,true,"QP_LINEAGE_ARCHIVE",false,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP5","e3cd8148357513d01646d4f0c5bf46d06048db9c1e9f21a2cc63a041aab844d4",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","BASELINE_GA",false,false,true,true,true,"QP_LINEAGE_ARCHIVE",true,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","QP","QP6","4e4f63920dd74aef3cab1c6ce503ff28f5f4ded3719ec2b0d91cad04834093c5",false,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","VNS","V0","97bc400ebd39037f6bd11d26a53080c09ca06439d6bf9f6061cf3cf8cd85b583",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"O1_O9_FIXED"
"p8-ablation-v3","fatigue_improved","VNS","V1","bb78cbb181058240156e2a37888279e64e02df8447d4822e9491cf5df18ea139",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"O1_O13_FIXED"
"p8-ablation-v3","fatigue_improved","VNS","V2","33c744c1c4aa56ad18c445cbdba142616cb8e384fae7387402b32c0f46902309",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"NEED_AWARE"
"p8-ablation-v3","fatigue_improved","VNS","V3","a76233028e19cdaf099c69afa68c530a7941388ed6d1fda55425df209382226f",true,"FATIGUE_AWARE_SELECTION","P8_REPLAYABLE","COUPLED_FMW",true,true,true,true,true,"QP_LINEAGE_ARCHIVE",true,"TA_CONTEXT_FREE"
