slot,lineage,JS,FA,MA,WA,Cmax,TEC,TWC,fingerprint
0,77,"3,1,6,8,2,5,9,7,4,0","1,1,0,1,0,0,1,1,0,1","1,0,0,1,1,0,0,1,0,0","1,1,0,0,0,1,1,0,1,1",58.922649653689575,1987.3433067731871,3104.6039717281883,"[3, 1, 6, 8, 2, 5, 9, 7, 4, 0]|[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]|[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]|[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]"
1,118,"0,2,6,5,1,9,7,3,8,4","0,0,1,0,1,1,1,0,1,1","0,1,1,1,0,0,1,0,0,1","0,0,0,0,1,1,0,1,1,0",58.278403392252160,2001.5602381045290,3042.4484088052604,"[0, 2, 6, 5, 1, 9, 7, 3, 8, 4]|[0, 0, 1, 0, 1, 1, 1, 0, 1, 1]|[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
2,163,"0,5,6,2,1,9,7,3,8,4","0,0,1,0,1,1,1,0,1,1","0,1,1,1,0,0,1,0,0,1","0,0,0,0,1,1,0,1,1,0",58.278403392252160,2003.4062723783600,3032.1637217802760,"[0, 5, 6, 2, 1, 9, 7, 3, 8, 4]|[0, 0, 1, 0, 1, 1, 1, 0, 1, 1]|[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]|[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
3,154,"0,6,5,1,2,9,7,4,8,3","0,0,0,0,0,1,1,0,1,0","0,1,1,2,1,0,1,2,1,2","1,0,0,1,0,1,0,1,0,1",70.592812907764950,2245.2972280685835,2719.0163665739460,"[0, 6, 5, 1, 2, 9, 7, 4, 8, 3]|[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]|[0, 1, 1, 2, 1, 0, 1, 2, 1, 2]|[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
4,170,"5,8,2,9,4,0,7,3,6,1","1,1,0,1,0,0,1,1,0,1","1,0,0,0,0,0,1,1,0,0","1,1,0,1,1,0,0,0,0,1",66.609966495408940,1952.5780215491402,3420.3877716454750,"[5, 8, 2, 9, 4, 0, 7, 3, 6, 1]|[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]|[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
5,174,"3,1,7,8,2,5,9,0,6,4","0,1,0,1,1,0,0,0,0,1","0,0,1,1,0,0,0,0,1,1","0,1,0,0,1,1,1,1,0,0",56.511329669527700,2042.7846580127340,2792.7158227583914,"[3, 1, 7, 8, 2, 5, 9, 0, 6, 4]|[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]|[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]"
6,173,"3,2,8,7,1,5,9,0,6,4","0,1,1,0,1,0,0,0,0,1","0,0,1,1,0,0,0,0,1,1","0,1,0,0,1,1,1,1,0,0",56.511329669527700,2041.4014573810755,2832.1788708778750,"[3, 2, 8, 7, 1, 5, 9, 0, 6, 4]|[0, 1, 1, 0, 1, 0, 0, 0, 0, 1]|[0, 0, 1, 1, 0, 0, 0, 0, 1, 1]|[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]"
7,167,"3,2,8,5,1,9,7,0,4,6","0,0,1,0,1,1,0,0,1,0","0,1,1,0,0,0,1,0,1,2","0,0,0,1,1,1,0,1,0,1",60.930307234477034,2108.3303242294314,2736.4129125891570,"[3, 2, 8, 5, 1, 9, 7, 0, 4, 6]|[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]|[0, 1, 1, 0, 0, 0, 1, 0, 1, 2]|[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]"
8,185,"5,8,2,9,4,0,6,3,7,1","1,1,0,1,0,0,1,1,0,1","1,0,0,0,0,0,1,1,0,0","1,1,0,1,1,0,0,0,0,1",68.298216477249530,1951.1259905479260,3459.9223472746476,"[5, 8, 2, 9, 4, 0, 6, 3, 7, 1]|[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]|[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
9,190,"3,2,8,5,1,9,7,0,4,6","0,0,1,0,1,1,0,0,1,0","0,1,1,1,0,0,1,0,1,2","0,0,0,0,1,1,0,1,0,1",57.584595166957020,2114.3050746323856,2719.5125996844580,"[3, 2, 8, 5, 1, 9, 7, 0, 4, 6]|[0, 0, 1, 0, 1, 1, 0, 0, 1, 0]|[0, 1, 1, 1, 0, 0, 1, 0, 1, 2]|[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
10,191,"3,8,2,9,4,0,7,5,6,1","1,1,0,1,0,0,1,1,0,1","1,0,0,0,0,0,1,1,0,0","1,1,0,1,1,0,0,0,0,1",66.523686224128070,1952.5881084043158,3420.1927216727786,"[3, 8, 2, 9, 4, 0, 7, 5, 6, 1]|[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]|[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
11,192,"3,1,2,9,4,0,7,5,6,8","1,1,0,1,0,0,1,1,0,1","1,0,0,0,0,0,1,1,0,0","1,1,0,1,1,0,0,0,0,1",65.692401424733770,1954.7754018977937,3409.8599942898260,"[3, 1, 2, 9, 4, 0, 7, 5, 6, 8]|[1, 1, 0, 1, 0, 0, 1, 1, 0, 1]|[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]|[1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
