Cmax,TEC,TWC
209.586862262,11534.8417765,17678.1679144
216.111449214,11293.1430150,19137.8405294
216.424758085,11044.1237523,18074.0705158
233.716300816,10464.6755888,20275.9531516
237.232053091,11068.8548292,16784.2949496
239.808843047,10830.0144035,18868.3799094
246.610531195,10879.0649609,18066.0545186
254.884519578,11130.6796350,15619.6456090
261.301661802,10881.6786643,17280.9693598
262.344265326,10417.5485817,20913.3364952
263.582006388,10705.2009459,18196.1359417
265.145057719,10346.5574521,21581.5772393
266.741308496,11087.0690235,15816.0475529
268.732833395,10371.0333859,17321.9380881
270.658400358,10224.6806988,19522.5682723
272.113714866,10199.7381947,19177.6283911
275.495030104,11229.5413098,15447.8221402
275.562962063,11239.4717025,15423.9672331
282.363341343,10938.6268297,14666.7773011
290.616467960,10910.0586388,15775.5881552
298.261565717,10922.3676077,14865.4556244
298.385395825,9786.56318963,21549.2385268
302.456960240,10558.5537056,16022.8213994
303.345388399,10174.7517259,19320.7238798
305.313239469,9799.75756469,19366.1412189
310.017582157,10236.7540168,18756.3708365
310.140832524,10231.3806549,18732.7975236
310.462028901,9799.51475274,19697.5948254
315.270412728,10133.0680679,19170.4708497
317.609286210,9513.57612600,19691.2564743
318.973138300,9933.36727433,19232.4587373
320.033456883,10704.0745850,15551.0497298
325.547017508,9704.17269077,17782.3039276
336.668658438,11445.0772382,14584.2749428
337.772389947,10223.9577772,16863.1136114
342.992484587,10198.3711607,15761.7074967
349.540441205,9512.33364033,20321.1424800
350.555108343,10841.3234758,14631.1821877
354.073359965,9964.82031139,16194.2715805
357.238296784,10973.1618237,14518.9530060
372.666113730,9649.97450934,18463.4038483
373.082966646,9662.39232928,18371.0692127
374.769977221,9916.97643383,17156.4827690
378.551063624,9621.45015736,18213.4091624
387.075288451,9715.08434279,17728.5138797
389.226332374,9497.26721874,18858.3290743
389.529734052,11204.8840613,13847.3307718
390.648658909,9606.25723541,18334.9744633
393.095815348,9875.42169995,16451.4432311
429.747437577,10769.8346004,13400.2995973
452.651904456,9771.60463471,16493.0655385
