Cmax,TEC,TWC
197.773663816,10415.3362443,16920.7766392
203.521703189,10085.9573540,16939.8345156
204.463024030,10365.7177345,16921.6266634
207.513848394,10335.9250545,16807.2209252
210.464616305,10271.1686050,16688.5083284
211.499186572,10176.7511458,16934.0476567
212.141430862,10007.4773166,17654.7336582
215.169531022,9989.34254353,17706.4523076
215.440096439,10040.7890791,17187.6981842
217.332444306,9904.32490614,18361.1612653
220.258389299,10008.0236227,17237.0025587
220.971305712,9944.44999257,18301.7161303
221.761876763,10349.9561284,16419.3852508
222.223593800,10178.8170073,16862.4659886
223.015421866,9875.95905982,17886.4912530
223.015421866,9918.11659601,17297.1123981
223.568126241,9850.19762236,16662.7313180
223.568126241,9855.19729190,16455.0752581
224.014749963,10166.0175705,16177.2294934
224.455782631,10161.8146999,16377.8028229
226.364960036,10367.1685685,15445.7444452
229.761998061,9845.22973314,16166.6447059
230.061810661,9800.46312326,18067.0691920
230.681231510,9807.58265730,17697.7704666
231.130434625,9753.18973945,16700.4785475
232.362180587,9751.33593843,17775.0049800
233.027055359,9724.32809385,17995.4590990
233.041275262,10352.7920892,16051.8495526
233.107107336,9716.92797946,18312.5051051
233.730837965,9686.42648886,15753.1318577
234.869221268,9685.15135375,15779.6135995
234.869221268,9686.06921535,15737.5459267
236.134855599,9642.19869280,15413.4332230
237.234256626,9620.03622832,14973.0130501
237.234256626,9625.10822215,14966.8042674
237.234256626,9645.64247506,14806.5768853
237.674851500,9541.66585107,16605.7963144
240.480854246,9326.42853911,15334.9302650
240.536468418,9243.17275328,15277.5352139
241.971306123,9278.56793601,14845.9890790
243.828526635,9523.19145374,14741.8209241
245.145051534,9023.97319368,15805.4924231
246.308059192,9242.17549868,15256.3395940
246.826189938,9198.51181795,15328.2598325
248.742177255,9064.56434474,15263.3935324
249.066217691,9063.35887551,15320.7315111
249.997700975,8982.77171599,16202.8563387
250.682612478,9190.60123918,14883.1809022
250.715162320,8993.75053805,16179.1003707
251.323409023,8952.35058250,15763.0544543
251.746261770,9345.55682248,14667.8731493
251.821214634,9185.47122620,15185.8495056
252.315545116,9300.68662219,14817.2362533
253.850790948,9631.32658606,14437.3630400
254.523129993,9592.32957186,14273.6690852
254.963896346,9244.66794170,14573.2824129
255.287043288,9054.97671042,15477.7246361
256.257541243,9520.53344643,13860.0326671
256.278729139,9174.74753231,15050.9543878
257.592414467,9031.62821397,15634.1064549
257.592414467,9057.83900851,15257.6383116
257.921816526,8933.96000091,16744.4449145
258.583790692,9240.46461451,14567.7913134
258.593512962,8842.38427079,16097.5969630
260.016245131,9031.72599465,15199.0792630
261.230995354,8973.18889634,15521.4783468
261.462538294,8808.64214505,16363.1982497
262.013101714,8827.49372845,16287.3323484
262.013101714,8840.21849660,16185.5213636
262.116997934,9029.07572942,15215.6087724
262.462717556,9286.44699672,14444.9180503
262.463868033,9011.26498899,15141.0017014
262.463868033,9034.37419610,14991.6055444
262.487848172,9006.74238200,15108.0479534
262.500576020,8974.74870577,15365.3051087
262.606265670,8936.13557387,15903.6050331
262.806861603,8838.07740674,16063.2629494
263.629231316,8801.63430619,16857.2089600
263.889230914,8876.41377552,15994.5651971
263.910695817,8797.37329016,16444.1561464
263.910695817,8833.79844477,16233.3046927
263.972543918,8995.42668693,15308.1715027
264.049496034,9238.63130277,14872.9484016
264.541285992,8848.11943008,16003.0415805
264.674752910,8932.72254428,15405.6459296
265.097413501,9328.55497964,14260.3593575
265.448804296,8960.56343698,15088.9445603
265.448804296,8976.57113227,15047.1601596
265.448804296,9000.79112733,14940.3274595
265.448804296,9001.83743872,14927.1808624
265.525042404,8785.78370601,17416.2770783
265.901102213,9063.89159451,14651.4919714
266.227818676,9272.64382083,14557.8486936
266.240213319,9262.37104776,14551.8307459
266.240213319,9274.86021958,14548.0035642
266.280729206,8940.39893663,15050.3411407
266.569982378,9290.39020174,14376.9272201
266.616429614,9149.12030898,14627.7545743
266.765181748,9318.84899219,14276.3406203
266.829722274,9329.61793948,14223.6277663
266.829722274,9332.84114487,14205.6302460
267.657528915,9005.58311458,14518.2730243
268.426586317,8985.08992771,14941.1796153
268.555157764,8785.13919549,16646.0025383
268.636517527,8810.58118874,15931.9662384
269.326252918,8938.56964601,15352.5033273
269.518652699,8974.84553154,14884.6309252
271.812575388,8797.39991285,16380.0310298
272.130765319,8786.05724759,16226.1608709
272.236912867,8780.21500934,16512.8954689
272.249707275,8940.20790144,15122.8419142
272.435896421,8826.56575357,15826.4226810
273.216419867,9147.34006958,14345.8818809
273.249212698,8932.55546096,15749.1122727
273.273186912,9315.66153672,14243.8256021
273.319695803,9366.86849582,14060.3580574
274.143274999,9212.06757922,14031.1347207
274.143274999,9223.97057976,13979.5568474
274.157000545,9220.89333213,13970.3366042
274.419566826,8772.50370609,17315.0015828
274.745394632,8768.04320665,16537.9271328
274.745394632,8772.90109539,16120.9656623
275.416647803,8985.21644658,14848.0401839
275.802580865,9150.66093428,14210.2807939
275.802580865,9202.37495418,13944.4327326
275.808973359,8936.38185300,15363.8373774
275.812995191,9221.67164149,13922.3614689
277.505603646,8939.87034928,15265.0985171
277.722740535,8708.25783844,17549.2007706
277.763891239,10271.5264385,13808.0001616
277.921536503,8977.10376580,14877.0792345
277.960787078,8750.00935004,16848.3266529
278.535494745,8759.76343307,16837.8782977
278.690467416,8735.01719021,16837.4525812
279.126761670,9305.21600610,13856.4444113
279.761869015,8936.55641155,15351.7290874
279.764802681,8933.90672476,15352.6280934
279.865052617,8996.73180535,14688.4080168
280.111120088,8795.04046616,16038.2590726
280.167107238,9731.02133972,13611.9627014
280.220187312,8923.38539592,15775.2483527
280.514476443,8855.22997776,15667.4505335
280.514476443,8856.24469413,15649.1553087
280.514476443,8871.53923409,15319.0701185
280.696344809,8994.86694387,14821.1391021
280.771239808,8692.99088936,17789.3664154
280.876190752,8956.86483045,14929.0022183
280.943782159,9258.71884193,13871.8928224
281.264141545,8953.76611015,14973.5776629
281.467656519,8977.22354258,14706.5178791
281.467656519,8986.35755453,14706.1720587
281.844751700,8832.59330950,15768.9356635
282.327025139,8719.51131478,17399.1627925
283.191561355,8853.26759818,15583.0848373
283.191561355,8866.66502967,15535.5423627
283.453588679,9071.62252955,14349.3396086
283.543483194,8644.49265141,16980.6923600
283.736271756,9114.75219085,14140.5259446
283.983378110,9519.41215214,13576.4771976
284.145640839,8815.44885310,15723.6304547
284.202298017,8912.76197078,15087.2042663
284.256246640,9305.70007557,13774.0671662
284.272681785,9225.43336265,13861.9214728
284.302983962,9167.60284382,14012.8963295
284.728260966,8793.26277489,15865.3519494
285.100275649,8790.82585483,15804.3954052
285.112080931,8785.71942382,15924.5758689
285.362636711,9005.10601497,14639.2620927
285.678829737,8765.31170295,15982.8807257
285.832353724,8785.41285532,15829.3830918
286.067144804,8673.07146307,16835.8921598
286.390197518,8846.47052040,15575.1844539
286.451577669,8839.28524916,15597.8172248
286.524557697,8759.55937699,16677.4668075
286.524557697,8767.28006673,15962.1062981
286.722512222,8806.25089452,15448.7521343
287.057705771,9250.31621539,13822.8989223
287.373162618,8889.56775728,15262.8405817
287.425093288,8753.64797468,15995.3960789
287.719509675,8729.26580727,16609.5503209
287.794421909,8774.63824997,15891.5781814
287.907789586,8753.25334629,16408.3430223
287.915256475,8813.56482977,15083.9245109
287.973232631,8773.11006546,15445.0267488
288.192030975,9182.54842999,13998.0428169
288.263479390,8655.81204822,16674.7291724
289.026432649,8865.91960018,15076.7407674
289.555895092,9010.49320142,14325.5327817
290.303601372,8735.72737181,16305.1293045
290.571568017,9464.63139819,13704.7005008
291.088558930,8642.94353094,17892.2254053
291.282007474,8875.08958810,15072.9246574
291.334208762,8636.83774319,17141.4553018
291.498665577,8759.16774486,15938.0998743
291.569963431,8909.67470099,15063.4814180
291.592399615,8871.25460895,14783.5855109
291.765661524,8865.09058836,14597.4060720
291.888629711,8973.53757071,14245.2123669
291.998764034,8922.67123980,14152.1573395
292.301140558,8750.67722913,15904.5136744
292.301140558,8762.05280047,15860.3742962
292.881066121,8759.92395493,15551.0938871
292.881066121,8767.65288206,15538.6350179
294.032793721,8708.32590892,16340.0320651
295.272467069,8609.02795512,18035.6496812
295.301096060,8736.62063862,16073.7135647
296.274138670,8910.17417544,14578.7248841
296.414229861,8810.13302393,15349.4246311
297.010564689,9031.14989340,14043.3092764
297.498673485,8999.49705221,14067.8955915
297.651693260,8740.46013353,16006.8187353
297.800108418,8650.30669319,16917.7484555
297.946900652,8849.90890426,14920.3579804
297.996637027,9305.69634614,13809.2454964
298.410219326,8808.15701983,15352.3395514
298.427856362,8802.03761788,15335.0144279
298.427856362,8809.76654500,15322.5555587
298.711269178,9487.32498910,13395.4778445
298.894367546,8812.70657736,15302.9152102
298.979937800,8662.60235176,16272.4507154
299.033923025,8840.42814670,14942.3049243
299.091519855,8740.01589120,15983.9952472
299.755844175,8791.84591445,15201.8684546
299.755844175,8800.37874902,15200.3960103
299.765698530,8636.15465613,17514.2701048
300.029609478,9357.62405914,12977.1715634
300.091944956,8902.05424955,14545.3804075
300.366917894,9618.64307828,12937.7220717
301.017942762,8617.35823216,17255.9567637
301.054163414,8616.90729344,17206.6485804
301.249060565,8779.73576044,15162.8183624
301.446730854,8804.12191273,15076.2474743
302.064440272,8978.43963704,14079.5626965
302.416229938,8633.00526057,16980.9506196
302.436180530,8756.55592064,15390.7846689
302.515799148,8788.92389462,14997.8140557
302.515799148,8814.22889954,14911.2519500
302.737536343,9370.11697953,12848.8598295
302.816384867,8752.59584660,15487.3621670
303.017660714,8641.90727034,16885.2602792
303.268950858,9337.64795114,12988.3800506
303.595352063,9105.08596442,13738.2632744
303.622016044,8994.50601838,14024.1507236
304.231069478,8840.64869729,14903.1262673
304.380310719,8756.01817891,15281.6518214
305.157035487,9623.24059899,12821.2078043
305.208196726,9356.27427908,12899.0011806
305.258053608,9327.82231276,12898.8914895
305.785494715,9039.71283603,13940.7939190
305.785871953,9031.87256382,13922.5936482
306.054895669,8994.58195991,13956.0107802
306.178086422,8699.98671505,15726.7109585
307.625775367,8978.86090937,13936.4628997
308.089098248,8916.75789914,14145.7054971
308.139089732,8923.12881901,14029.9793307
308.731766379,8987.10088785,13782.0418979
