matrix,label,mechanism,configurationKey,registryStatus,reason,population,maxFEs,physicalSubswarmSizes
"FV","FV0","author direct update","B0","COMPLETED","Registered exact configuration key B0",100,2000,"[20, 40, 20, 20]"
"FV","FV1","FA-only leader update","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FV","FV2","independent FA/MA/WA","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FV","FV3","FMW coupling","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FV","FV4","without resource inertia","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FV","FV5","without legal exploration","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FV","FV-Full","Qg/Qp plus CFVF","B5","COMPLETED","Registered exact configuration key B5",100,2000,"[20, 40, 20, 20]"
"FM","FM0","author fixed worker efficiency","B0","COMPLETED","Registered exact configuration key B0",100,2000,"[20, 40, 20, 20]"
"FM","FM1","fatigue accumulation only","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FM","FM2","accumulation plus natural recovery","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FM","FM3","fatigue-aware worker selection","B1","COMPLETED","Registered exact configuration key B1",100,2000,"[20, 40, 20, 20]"
"QP","QP0","single author pbest","B0","COMPLETED","Registered exact configuration key B0",100,2000,"[20, 40, 20, 20]"
"QP","QP1","archive plus fixed direction pbest","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"QP","QP2","archive plus four random strategies","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"QP","QP3","archive plus Q-pbest","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"QP","QP4","QP3 plus synchronous Qg","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"QP","QP5","QP3 plus block-frozen Qg/Qp","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"QP","QP6","QP5 plus CFVF","B5","COMPLETED","Registered exact configuration key B5",100,2000,"[20, 40, 20, 20]"
"VNS","V0","original nine neighborhoods","B0","COMPLETED","Registered exact configuration key B0",100,2000,"[20, 40, 20, 20]"
"VNS","V1","original nine plus O10-O13","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"VNS","V2","plus need-aware factory selection","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"VNS","V3","plus context-free Test-and-Apply","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"VNS","V4","plus context","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"VNS","V5","plus cost credit","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"VNS","V-Full","plus FAT-aware full VNS","FULL","COMPLETED","Registered exact configuration key FULL",100,2000,"[20, 40, 20, 20]"
"FULL","B0","author direct derivation","B0","COMPLETED","Registered exact configuration key B0",100,2000,"[20, 40, 20, 20]"
"FULL","B1","fatigue decoding","B1","COMPLETED","Registered exact configuration key B1",100,2000,"[20, 40, 20, 20]"
"FULL","B2","fatigue plus CFVF","B2","COMPLETED","Registered exact configuration key B2",100,2000,"[20, 40, 20, 20]"
"FULL","B3","B2 plus lineage archive","B3","COMPLETED","Registered exact configuration key B3",100,2000,"[20, 40, 20, 20]"
"FULL","B4","B3 plus Q-pbest","B4","COMPLETED","Registered exact configuration key B4",100,2000,"[20, 40, 20, 20]"
"FULL","B5","B4 plus block-frozen dual Q","B5","COMPLETED","Registered exact configuration key B5",100,2000,"[20, 40, 20, 20]"
"FULL","B6","B5 plus O10-O13","NOT_EXPOSED","NOT_EXPOSED","Current production path does not expose this ablation dimension independently",100,2000,"[20, 40, 20, 20]"
"FULL","B7","B6 plus CA-TA","B7","COMPLETED","Registered exact configuration key B7",100,2000,"[20, 40, 20, 20]"
"FULL","FULL","all approved modules","FULL","COMPLETED","Registered exact configuration key FULL",100,2000,"[20, 40, 20, 20]"
