instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260808,COMPLETED,"MAX_FES_REACHED","235fecbd6bda6ef2b15f29c2fd2c8d03cb21df8ff5d9c0ee303a814a24ed5bb9","13e0166c98965d868a7b0236252adab7d33170a04d6897633acb2ff5e16c8643",2000,1038,906250000,0,0,0,0.99994523116459010,0.67950364010828620,47.637200065821524,0.054726064342467290,0.088762930386021980,229.78457036598337,366.52065545754750,0.51097597991910150,45
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260809,COMPLETED,"MAX_FES_REACHED","8bceb5abfaf271e7afcbf2184cf229c31363a36ad5e730bab1fa494e0fb8eefd","b10bef600eab7031984d8e5cc5dd0af7bd2c62c2744ce710d6570106a721a92a",2000,603,546875000,0,0,0,0.99983273400670190,0.67077595570922480,42.149970424938430,0.051260979566637305,0.085392253366488470,201.86411928553036,382.27259461110750,0.45693885545232000,18
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B5",20260810,COMPLETED,"MAX_FES_REACHED","8dd3341b347884b656524a167f18eaf51dfffeb76b2c0f926c29500a17386415","0fdd6389cd6b447e801ef71b87600389f715cdff9ffdce6264de3436c5906249",2000,437,437500000,0,0,0,0.99996130173235820,0.66275231980261150,45.161450057926220,0.053463730908085640,0.087985533501705270,214.87978645223802,382.46650446925110,0.50965322757721880,59
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM0",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM0",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM0",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM1",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM1",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM1",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM2",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM2",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM2",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM3",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM3",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FM","FM3",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B0",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B0",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B0",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B1",20260808,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B1",20260809,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"chapter4-golden-10x2x2","c1f39f58ba7f714bdbb6ccf8d1fa7e67dc8135e727ec14700ebc22072e9fe998","FULL","B1",20260810,NOT_EXPOSED,"The paper golden fixture is a published_baseline object and has no author-compatible EADHFSP source file; P8 refuses to synthesize one or mix decoder semantics","","NOT_AVAILABLE",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
