Cmax,TEC,TWC
194.125206419,11552.4396610,16768.2981012
194.458046441,11547.4674193,16757.0409900
201.867798920,10686.1024623,15938.1857785
209.931625218,10161.7912704,15930.5441230
209.931625218,10181.5317069,15867.8516390
213.008338282,10142.4195066,15973.1582735
215.931053978,10438.8621130,14483.8125522
221.952412859,10247.9527497,15374.8082209
225.324335479,9926.95859082,15522.6377129
226.395556135,10415.1065281,15366.5761781
234.224446368,9892.10621210,16349.4231337
234.224446368,9917.50133650,16191.3135363
236.077705024,10206.8391203,14883.9042026
236.837821416,10109.7536829,15156.0100530
236.856485166,9793.33669524,16903.6826457
240.052871728,9785.29473995,15309.1612056
241.382962259,9289.00065345,18235.7257507
241.892998165,9867.71101314,14718.9723535
242.576935983,9657.70431331,14684.2131522
247.544643111,9573.09762072,17784.5647222
249.402688149,9597.96488528,17269.7752892
249.402688149,9618.05040891,17266.9432609
249.402688149,9623.82118557,17115.9183272
250.233772230,9549.00628099,16519.8932985
250.947656834,9546.80630804,17435.2917222
252.658492651,10945.7517422,14272.7506739
252.817363464,9573.42448820,14757.6662011
252.956951431,10182.1766470,14673.9063956
252.963496532,10230.2553392,14481.5065077
255.729915623,11372.6023158,14177.7892969
256.062919234,10823.2001515,14454.0530435
256.113284468,9501.83113286,17107.3192238
257.887772066,9436.06756800,17246.9250090
257.887772066,9475.71104116,17225.6371222
258.705006979,9998.55773257,14534.6034986
258.969099909,10791.0163890,14331.0356049
258.969099909,10945.0938795,14321.4119984
260.284849132,10151.4943336,14395.9672560
262.385144468,9417.36267711,17464.6387654
262.543435966,10836.7867262,14225.8854590
262.550792113,10835.7106040,14224.9806327
262.558106827,10786.6038521,14145.4222902
263.017858599,10548.8006396,14057.6038683
264.319459033,10480.7643312,14320.0576591
264.595581686,9938.17649958,14498.0872910
265.724655822,9459.56740890,15802.5860559
266.195076237,10426.6215784,14384.7525192
266.777020162,9222.41482580,17375.0997474
268.343869489,9124.12377357,17949.4377162
269.576182841,9469.50149304,15186.4738631
269.636072117,10171.9434916,14372.7319775
270.300502015,10530.0560303,14057.7188485
270.434480718,9363.06838451,16446.5116202
270.698544366,9840.36359444,14563.1118745
271.153846718,9911.33886364,14032.0753045
274.321662436,9541.72541587,15167.8238126
275.061620313,9369.27489034,15683.8536806
276.473858427,9681.03106491,14504.9540693
276.877074352,9609.78353233,14458.6761124
277.277763409,9375.48399823,15019.9776789
277.720295711,9362.90000227,16234.8289159
278.381281184,10326.9939486,13610.9685483
278.597266007,9058.39149432,18539.1479053
279.644065023,9093.48013186,18340.8668906
279.649949569,9341.17892544,17064.1318078
280.365138268,9256.05968808,15626.1809621
282.111314514,10227.8646392,14013.2166500
283.035831519,9050.26430941,18185.1031165
283.035831519,9079.25965982,18049.4691528
283.627662694,9209.18781927,16606.8745381
284.342799407,9849.71632640,14167.1031714
284.986916957,9042.18643219,18265.6083763
286.381414141,9230.67564753,16602.7171621
286.396444947,10359.9880527,13604.4223360
286.476417725,10174.1987176,13610.6973837
286.592417039,9241.94262951,16456.4990118
287.428801697,10025.6621195,13948.4036996
287.443975003,10022.6982426,13944.6042264
288.867123410,10160.0443597,13615.0266378
288.971297117,9192.28870217,17601.8733229
289.138958454,10145.1661447,13803.4928428
289.654573556,9146.89162337,16570.2994242
290.181620909,10001.3905947,13882.3272131
290.701893764,9171.41429364,16453.8229275
291.136339443,9839.15687840,14197.0428305
291.929036147,9240.64748837,16157.3669783
292.653700493,10313.6315273,13040.4816264
292.818075874,9768.01785826,14345.9803624
292.956555804,10226.9734593,13021.4183832
293.651716170,9048.98468127,17172.6434235
293.651716170,9052.51413255,16992.3126035
294.949054294,9868.41418857,13898.9977409
295.020808047,9450.94332414,14730.0170494
295.339508025,9507.23395317,14245.9101183
295.648157162,10653.4201633,12973.7378154
295.957734330,9841.94516991,14131.5992021
296.726894227,9598.49305993,14200.4187718
298.144326049,9852.16500753,14107.1216565
298.463001131,9394.29033328,14901.3469270
299.510971007,8840.04100525,18102.8631301
299.510971007,8841.39611414,17878.8308072
299.834591371,9774.05185438,14082.4048797
301.015802820,9764.86713074,14194.0690550
301.832164363,9339.58093792,15134.8756411
301.832164363,9359.27730584,15088.1661659
301.952864170,10125.6348100,13125.6411177
301.952864170,10161.9672264,13047.7764434
302.116534518,9669.34606705,14117.2421628
302.512331142,10081.4698530,13761.6588376
303.139366512,9967.44936838,13865.6396121
303.483091879,9180.74217851,16155.8104041
305.289730804,9104.36171002,16982.1882345
305.561196413,8993.17604076,16424.0582415
306.572074464,8921.45061646,17604.1826124
306.788452006,9171.61695789,16316.2907833
307.093164793,9328.55648568,14458.3679750
307.257459994,8991.36273145,16457.3223381
308.431032850,10122.2785956,13330.0208458
308.793097544,8965.57436084,16360.3035646
308.823810081,9398.18204534,14275.8761802
309.459485986,9714.83376552,14018.3403737
309.468531718,9977.20195169,13689.6507341
309.765230676,9822.93221340,12871.2067421
311.663410989,9548.96038871,14107.7780575
313.346694838,9800.81883972,13908.4612195
314.108769937,9796.83361054,13939.6916905
314.189290522,9116.93678749,16325.2309422
315.775316648,9043.75932357,16342.3829073
315.775316648,9046.70563466,16338.4472761
315.864673936,9743.96510287,13282.1131041
315.920078288,9616.76090365,13486.9963084
316.685310641,9761.71121095,13238.9066135
316.685310641,9798.52854892,13185.3633581
316.730969663,9729.65391619,12705.3128126
318.003791741,9436.80824864,14246.3131272
318.446549696,9143.06609328,14946.6286613
319.411628445,9063.26898487,16275.0181147
320.317591491,9560.17403800,13758.1355010
320.814799044,9527.53442352,14217.0333839
321.120586499,8895.43137528,16490.3837466
322.067079317,9097.11851664,16178.2789551
322.116928217,9543.15442297,14210.1637456
325.089163732,9666.16541563,13285.6209612
325.180673910,9533.11677350,13239.1476701
325.180673910,9571.87000738,13169.0338930
326.317138993,9303.42869182,13468.8524332
326.317138993,9349.85360455,13205.1729353
326.391710258,9671.96053196,13077.6252124
329.136238362,9595.57202251,12739.4803944
330.200420630,8872.48007139,16679.9983067
331.614346180,9222.16204280,14743.2712003
331.739586682,8857.42752403,16754.6353361
332.524184111,9103.96172657,15061.9167301
332.961414951,9227.22508121,14708.1589786
334.672513524,9227.07606430,14733.0954641
334.673141318,9529.54652174,13152.2314270
336.316236361,9566.87084104,12705.7175632
338.241592004,9361.57157099,13199.6700941
339.553805859,9402.48780999,13187.2493368
341.003329707,9293.93129240,13216.4610769
