Cmax,TEC,TWC
186.095968690,10553.8058238,14647.1317742
188.963014836,10560.7089177,14544.9850561
195.292659823,10484.4933839,15991.6548224
196.701595422,10341.0411669,15900.5362195
197.255487850,10147.5563097,14363.7979000
205.640661682,9976.53826628,14780.5516395
205.990942867,10661.2226572,13403.2620921
207.161329947,9787.09660742,15124.5193908
208.036897468,10488.4620619,14122.6534785
208.151846483,10078.1460191,14345.7597228
208.737475443,10337.2415746,13907.2123914
209.242874206,10132.3182661,14122.9999533
209.672559287,10091.4267418,14320.1468452
209.754046620,9838.22701984,14362.6467892
209.864679689,9736.58668879,13742.6000715
210.581126185,9631.79853948,14018.5159223
210.897597540,10244.8342012,13468.7915245
210.897597540,10334.5987274,13296.7644076
211.623061842,9868.13015747,13446.0181396
211.760765006,9812.27038513,13247.0264425
212.113449300,9720.94066153,13621.7514014
212.319446217,9660.78298764,13685.1447409
213.248033488,9790.12140889,13302.4427259
213.427383062,10407.3044190,13019.4396286
213.438775770,10146.0227713,12991.3466950
214.412258878,9486.92684098,14474.5981266
214.623097408,9900.18292007,13052.7262569
214.910276174,9575.40159494,13128.1117088
216.759169076,9480.04932382,13730.4486917
216.955805347,9630.56245555,12705.8900298
217.395506707,9225.06749619,13015.3457123
218.018601224,9604.59221736,13014.1029231
218.230351939,9210.60049592,13022.9380938
220.278821584,9471.64778777,12900.0082138
220.797273735,9230.75951595,12914.9203719
221.428373337,9571.68602157,12651.2252295
223.128671217,9392.59491787,12809.3525727
224.321310028,9266.35327191,12838.6615130
224.556495650,9291.50565571,12652.9947471
225.943182438,9269.63842289,12599.9823905
225.963697024,9112.64624028,12774.4812359
226.068805763,9247.89050748,12590.1052263
226.068805763,9353.14359953,12567.7785355
226.760570545,9178.85552922,12527.4750706
227.428501965,9108.52428824,12574.4592131
228.312264319,9582.91908579,12452.6562223
229.652067829,9149.77711096,12466.7414678
229.659279143,9289.54713267,12432.7967593
229.951353477,9083.62689303,12895.7692271
232.459360049,9065.15265211,12760.1431998
232.923721996,9260.85276906,12378.4313734
233.231126617,9146.75977151,12570.1637731
233.903017572,9205.80047138,12434.4316271
234.003199294,9226.60920368,12386.1896303
234.111264504,8989.93956607,13115.2566128
234.373897996,9070.92299111,12696.5938940
234.544590625,9068.73441836,12615.2497755
234.716136542,9103.77877207,12428.0454942
234.979362196,9206.98720376,12406.5256426
235.045260722,9044.67796734,12754.5169154
235.711538147,9116.98163081,12354.4531898
236.827379167,9046.61081967,12542.0823926
237.249083822,9205.17373026,12332.3440573
237.700609135,8985.67759255,12885.2778957
238.157916423,8978.97402862,13248.3787874
238.473090096,8956.74800299,13387.9989850
238.473090096,8976.28634154,13168.9869855
238.606077629,8953.70506372,12944.9541301
238.634379825,9078.94443023,12506.1556422
238.634379825,9252.29709727,12324.9522648
238.836331973,8930.96826798,12560.0979170
239.558444234,9129.83576890,12318.6435781
240.217116178,8912.61644025,12825.9346556
240.217116178,8913.48816593,12744.6834005
240.400758052,9254.45473836,12310.8271047
240.654690545,8901.35741552,13099.7615031
240.772118357,9026.73724743,12507.1752942
240.799731237,9103.28813896,12459.2290685
241.413588076,9004.79619108,12491.7616127
241.658250748,8933.27442552,12523.7075713
242.681455498,8911.29170985,12979.2771970
242.819771994,9088.30769759,12490.8408414
243.498373614,8901.40105894,13030.3075673
243.761163787,8973.63259035,12504.8913146
243.894882709,8907.97043266,12947.8946518
244.040549411,9052.86795116,12312.0875105
244.198313009,8922.02000132,12629.2283712
244.553728448,9025.26076627,12449.7345065
245.500654359,8891.89028402,12904.8807695
246.005487862,8884.17450446,13658.5175688
246.574928598,9143.04820175,12310.1031602
246.640502177,8850.34421214,13019.4739979
246.865450403,8928.64513857,12585.3492918
247.094722018,8886.08030687,12993.2324086
247.119762981,8904.37389979,12843.6869094
247.265685190,8851.63845802,12913.4044239
247.350208432,8914.37155247,12708.7458485
247.350208432,8921.85216677,12674.1840916
247.712446722,8891.72333618,12768.6318532
247.712446722,8893.92838198,12712.1733203
249.075279424,9021.48313567,12475.3173497
249.233515242,8914.94745675,12679.7437711
249.464334639,8863.55287954,12830.8208948
249.818625518,8905.77628382,12706.8547536
249.875120976,8889.49853060,12738.6939284
249.912761519,8896.96284255,12627.3619687
249.912761519,8897.42623362,12580.4527780
250.038465949,8997.00608318,12490.2489268
250.038465949,9005.63035401,12464.0081966
250.577473698,9294.54752288,12295.4801017
251.177188215,8829.49723591,12896.1710523
251.388118503,8951.14829488,12488.9531772
252.025981950,9239.05289581,12239.7991164
252.145274071,8827.15478921,13472.7546760
253.592599989,8876.52023312,12789.5321568
253.758161287,8764.47858203,13109.4969924
255.215185725,8912.05558284,12522.1329595
255.393103300,8976.20317329,12454.3527631
255.407227808,8757.43734506,13162.1322342
255.488420084,8832.03376864,12677.7695898
257.222096235,8708.01273110,13116.2712421
257.940648698,8742.76545839,12900.8867220
259.726027508,8861.80877139,12495.2930555
262.027213545,8952.35239344,12436.3088198
262.564815826,8929.25328765,12346.4313527
264.928774939,8790.81270871,12750.3391373
265.451028085,8736.17930310,12953.0185423
265.716287372,8897.95560490,12456.8651410
269.531933976,8726.84252759,12824.7119808
270.697464487,8694.02572803,14079.5929543
271.836400179,8684.95342988,13293.1897326
278.824214810,8644.94878756,14234.4929136
280.993924874,8654.00331719,14134.8283239
281.295399906,8692.74644412,13245.7238101
282.455517664,8643.61034596,13570.1053920
287.458998087,9202.99609627,12282.3451841
302.561408983,8638.51834526,13888.5973473
302.744116067,8659.50903457,13395.7626031
312.437694157,8605.46351104,14896.6905309
315.543500536,8640.50589062,13857.1923923
327.514596864,8553.07307024,15148.1265946
328.696485340,8597.84663953,14638.5609665
