Cmax,TEC,TWC
200.448040455,10746.8652403,18253.7599112
204.552505567,10428.7614206,17254.8162205
219.594391704,10405.0523490,16974.7500275
225.556970256,10262.5060565,16956.2844795
227.296803502,10547.9416319,16838.6593316
228.359968868,10259.4283601,18827.2214439
228.759124930,10245.3782259,17128.7694302
229.126240855,10164.9648341,17039.1775693
233.259795916,10448.1433677,16485.8917871
233.496538057,9956.25677917,16116.8933715
233.496538057,9980.29601000,16016.7669538
235.001769145,10164.1391426,15922.8124111
239.353550353,9580.31084311,17581.4432107
239.637166163,9611.96726658,17541.3697923
239.996268056,9633.60731561,16948.7451754
239.996268056,9706.77076076,16735.6550254
240.590659182,9624.99275674,17514.6130518
241.300268475,9630.87303573,16950.1204585
245.876992218,9629.36816969,16971.2487943
246.193532532,9523.37399870,17325.0414904
246.193532532,9628.00521220,17022.8245114
249.575289758,10316.0212769,15878.7740018
252.693469857,9784.76432187,16459.3498858
257.919394047,9809.07362907,16437.1547888
259.411110635,10318.0598470,15411.8497307
260.413032244,9599.93381229,17202.1069332
260.413032244,9599.97531863,17191.4951633
260.740131488,9386.47596844,17803.6975001
260.740131488,9520.46614072,16733.9952296
260.740131488,9553.76353103,16700.1615108
260.740131488,9587.11739652,16659.3089750
260.740131488,9592.83899215,16658.0610564
260.740131488,9641.12137179,16584.9570168
264.846793817,9980.09277530,15700.9219412
265.105085459,9529.75383225,15831.7860362
265.105085459,9685.32682309,15605.1206395
265.763344308,9356.24123573,16143.8289555
267.726918025,9299.95391142,21321.3254211
268.718585294,9335.14402389,17628.6245495
268.834117320,9952.24902880,15563.3103644
270.985685436,9314.98037688,16236.3745149
271.424837092,9311.03724004,16136.5738126
271.424837092,9337.78839580,16114.4043848
271.625496459,10490.3804602,15140.9949777
271.874858201,9282.10332678,19928.8067507
271.874858201,9298.20671329,19887.7152512
274.624004801,9538.66933120,15719.1762662
276.387393535,9290.44106913,16241.9434255
277.031985190,9160.29405276,17159.5806068
277.031985190,9167.47916902,17135.0659142
277.435040500,9280.61786175,17064.2932939
278.239219432,9208.73205138,17060.4612206
279.261798138,9616.87202686,14958.7754435
279.484300348,9612.20653037,14955.7659265
280.939975924,9789.77455220,14828.1084414
280.939975924,9983.01070487,14382.5797479
280.939975924,10166.9499617,14301.2317336
281.094619363,9104.70506741,18712.1131258
281.189432060,8887.25475409,20155.2632382
281.330061441,9064.23888007,19842.8297416
281.862946472,9061.74696326,20000.6421794
283.925837198,9301.06103786,16187.5297036
283.925837198,9339.17396196,16054.6878593
284.798769846,9028.48699387,20116.7979272
284.798769846,9065.71716991,19832.5807320
284.856895290,9139.52765367,18479.6572941
285.574188846,9297.84797894,16158.4129970
287.765564842,8955.21997909,20037.0419618
288.432691443,9649.96676840,14536.6175966
288.432691443,9850.11637819,14331.8354063
288.432691443,9894.71430217,13865.8028147
289.082867126,9008.42565605,17904.5023831
289.082867126,9020.31797769,17897.2391552
289.082867126,9108.83627358,17840.9861118
294.697719697,9019.83097922,16000.0561087
295.524729302,9003.41598192,20005.4433651
303.739499500,8996.11778688,18730.2200037
304.319244223,9772.86632896,14516.2791305
305.725167950,9544.59783563,14227.3517117
307.953968810,9187.43205540,15197.7934123
307.953968810,9277.57959085,15160.7554647
308.247108575,8843.20727199,19236.2118678
308.721345539,8854.55513596,19150.5926743
310.367887930,8995.52821474,17540.2676107
313.451303123,8853.74375287,19120.9302588
318.495557731,8984.59381244,18873.2016767
319.287170252,8915.82978812,18627.0857938
319.287170252,8924.40583065,18590.6014872
323.253296097,9682.41319397,13872.1066703
324.248211316,8929.25631961,18333.3757134
326.405060168,8789.74554249,18938.5651985
327.192056894,8916.46541160,18017.2016658
331.017237340,8875.58985621,17630.1326230
335.593490043,8853.28357679,18665.1455304
336.834493075,9539.50228037,13866.4888291
339.519606994,9361.05246987,15011.7587270
342.117885385,8938.36117191,17469.8295459
342.146467495,9484.69543125,14557.8959248
342.465538665,9818.98713421,13767.5676634
342.465538665,9935.60551930,13757.2652600
342.503823441,9479.82735925,14625.2458968
342.503823441,9481.06320555,14603.0856164
342.797571193,9472.32180093,14625.9390258
343.346708218,9297.82049782,15154.8265831
343.346708218,9326.91820713,15151.0973878
345.103072577,9392.54411765,14999.9979285
345.159867457,9673.22925760,13234.4326642
347.462296590,9136.39930253,15724.2408400
347.727118018,8986.50155235,17156.2565321
347.994352624,8931.93648775,16891.2093843
349.706162929,8947.34410250,16878.7267436
350.565854061,9982.81410579,13135.6605080
350.567566539,9858.88796189,13094.6834974
351.293270831,9805.00910923,13225.4549272
352.802266565,8867.84002599,18131.6892101
354.543475033,9667.22728456,13319.9173149
355.130701571,8863.10044897,16890.5989360
359.201460194,9258.76980483,14970.3260099
364.043969805,8993.69482199,16758.5604352
364.320849656,8843.83736705,16159.0332243
367.720217721,9341.54509834,14669.8965697
367.720217721,9367.90889201,14623.6544016
367.720217721,9388.69339990,14592.0553384
368.839671104,9399.04468120,14273.6869688
369.383885181,9647.35979737,13552.1307879
370.578356062,9377.25975301,14018.6302336
370.767251856,9341.23710096,13827.8754947
371.504236295,9282.29621230,14043.9469753
371.504236295,9294.15601912,14027.7799656
372.792114467,9376.18518202,13814.9825135
373.955833793,9192.33885582,15175.3904258
376.183051814,9295.38926550,13813.1452357
378.646684663,9434.61406318,13236.4655520
378.717436592,9379.88746148,13213.0241204
379.124104369,9380.23924242,13207.0396141
379.271577008,9240.47167849,13168.9039359
381.524858222,8927.45022616,15040.3093112
381.686310353,9336.03418691,13167.1820812
381.686310353,9418.01326896,13119.5415947
384.365664502,9340.76845855,13143.5071675
384.365664502,9353.45907804,13115.1212770
385.365391983,8793.03372220,16903.7759038
385.741006941,8856.73286155,15226.3736114
387.627789101,9081.90709041,14722.1478650
388.959551124,9026.82979674,14838.6430564
388.959551124,9043.01147832,14818.1956955
392.320624677,9529.28909208,13016.5042576
402.967171869,8978.76286503,15024.8069236
412.572695985,8738.84553133,17535.4053234
413.514995069,8726.38751010,17546.5046736
413.877240720,8766.61090382,15574.7315154
413.978344381,9119.68890590,13874.2957572
413.978344381,9200.60563205,13857.1846471
415.857177399,8989.31565943,14900.2985096
419.112394942,9189.77822695,13581.0799794
421.957583006,9030.04266492,14289.8693513
443.946341834,8781.90259829,15560.4903470
444.837300494,9038.66558138,13568.0050399
447.679019775,8981.53420353,14208.6488550
447.757786360,8937.21913891,13786.4440455
448.680434902,9024.53264489,13677.4418083
458.745964035,8671.44171728,16257.6583590
472.543956645,8874.10848653,14049.9477331
473.928926507,8935.75053227,13982.7010165
474.675846288,8733.95682799,14173.1379628
