instance,label,seed,status,fullEvaluations,wallClockMillis,caTaEvaluations,cfvfRepairs,illegalSolutions,frontSize,minCmax,minTEC,minTWC,Fmax,Favg,fatigueExcess,highFatigueRatio,totalNaturalRecovery,configurationSha256,initialPopulationSha256,reason
"chapter4-golden-author-bridge",B0,20260808,COMPLETED,20000,1560,17700,0,0,108,46.1363636364,1801.20140802,2440.55944056,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,b691e704a61047db6405442d99992d8420aca6d4abb78dafdac11a2723472bb2,e8885798be70374e73d48e996145681d926aa9ba1fe44836c234daf7b552dc41,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B1,20260808,COMPLETED,20000,1703,17800,0,0,92,47.5485236272,1954.24199377,2650.72724571,0.860590332965,0.353944801915,0.00461374512891,0.000195691235657,15.6749955640,91726e022905ba7f3625b527a71ceb0ec6aa129122b8929f599efc59ae992d9e,e8885798be70374e73d48e996145681d926aa9ba1fe44836c234daf7b552dc41,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B5,20260808,COMPLETED,20000,1985,17700,0,0,121,48.2779465938,1935.57020259,2639.03794353,0.805740688804,0.354872361654,3.64259227267e-05,3.00959989572e-05,12.7412218475,d942c7f5fa5f495caf11e9d2d14058d6327c455570e368eb05c43c5aadaeb4e6,e8885798be70374e73d48e996145681d926aa9ba1fe44836c234daf7b552dc41,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",FULL,20260808,COMPLETED,20000,3666,16000,0,0,103,46.4076595764,1922.03604714,2630.99213594,0.770369675929,0.362601785413,0.00000000000,0.00000000000,10.4105917604,e3b029c15590ae3d56f40c7a376fb0e0c7cf3115e21fce01eb26b2462f36cbd6,e8885798be70374e73d48e996145681d926aa9ba1fe44836c234daf7b552dc41,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B0,20260809,COMPLETED,20000,707,17700,0,0,118,44.5538720539,1800.46755433,2500.07284382,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,fea7a5be600b3a1af5983144e2b456a3603ae8bdf096ed2c34709a5a8676307c,9d07395e14e49a617db0a39d5cc27281e539b9128162899794e388b2fc26c591,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B1,20260809,COMPLETED,20000,812,17700,0,0,81,46.4473743488,1950.27959098,2671.56871683,0.817238377831,0.356312838585,0.000878806254510,0.000202337720188,16.1491797406,84e8950e1f53e4e981ac359f1d6c026eb44bc544c5cf52d105d3f7431c267fac,9d07395e14e49a617db0a39d5cc27281e539b9128162899794e388b2fc26c591,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B5,20260809,COMPLETED,20000,1312,17700,0,0,122,44.1868427040,1942.33386990,2665.77964130,0.866192202537,0.358425229461,0.0227024692940,0.00158925115961,6.84046314369,6e539b43ff1820bcbebbf385a930db7119d51d13d9bd18fd4503e909354b8a06,9d07395e14e49a617db0a39d5cc27281e539b9128162899794e388b2fc26c591,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",FULL,20260809,COMPLETED,20000,3138,16000,0,0,132,45.4288287436,1930.48816590,2625.79563070,0.862892175259,0.362448184478,0.0204574125295,0.00128294189002,9.65399852155,a77c5e981c2921da26d94566e1c48a6447d16ef842a1c632b8aae7c7055f23b7,9d07395e14e49a617db0a39d5cc27281e539b9128162899794e388b2fc26c591,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B0,20260810,COMPLETED,20000,639,17700,0,0,88,43.8321678322,1790.03749617,2436.62004662,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,25cf595a57d393fda25f062b71c120cfb19bb8d588d8c5f16188559c7cda514e,71388ca53a64c156bffef906b8f86ce424598c07047142903f1d38b2306db2d5,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",B1,20260810,COMPLETED,19941,746,17741,0,0,96,47.6859453377,1944.13130005,2641.84379940,0.804037601717,0.356902205367,1.57607568377e-05,1.37757130019e-05,17.5938257467,98b14a5fe852e68fcc5bcfc70cbf9841c07c8b3d6573a344e3624405265e79ce,71388ca53a64c156bffef906b8f86ce424598c07047142903f1d38b2306db2d5,"BUDGET_BEFORE_PARTIAL_GENERATION"
"chapter4-golden-author-bridge",B5,20260810,COMPLETED,20000,1203,17700,0,0,126,47.8221569776,1925.76062908,2661.83493260,0.853254095108,0.368984065383,0.00579292285945,0.000524512852250,16.3485292447,2356f51976f659ef408c2ea6e913e3a7399477d9ac4ca658907ff3b448bfe57d,71388ca53a64c156bffef906b8f86ce424598c07047142903f1d38b2306db2d5,"MAX_FES_REACHED"
"chapter4-golden-author-bridge",FULL,20260810,COMPLETED,20000,3077,16000,0,0,160,45.3202438905,1914.98756353,2684.76628996,0.885430331867,0.365945717820,0.0364712616300,0.00181625643249,15.1835337051,a129981f29d625a5c493199baf189feb03f707074c03a043135101f1f72a7db9,71388ca53a64c156bffef906b8f86ce424598c07047142903f1d38b2306db2d5,"MAX_FES_REACHED"
"20_2_3_1",B0,20260808,COMPLETED,20000,882,17700,0,0,45,191.282051282,8426.19114910,11796.2071262,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,b691e704a61047db6405442d99992d8420aca6d4abb78dafdac11a2723472bb2,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,"MAX_FES_REACHED"
"20_2_3_1",B1,20260808,COMPLETED,20000,1105,17700,0,0,56,217.080496876,9492.73542354,13258.2794855,0.999766020466,0.661006317582,35.1462163961,0.0744511980584,447.832890319,91726e022905ba7f3625b527a71ceb0ec6aa129122b8929f599efc59ae992d9e,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,"MAX_FES_REACHED"
"20_2_3_1",B5,20260808,COMPLETED,20000,1657,17600,0,0,111,191.176644211,8789.87088639,13110.2267042,0.999961829116,0.700594507699,44.6855292234,0.0921505452538,398.129824355,d942c7f5fa5f495caf11e9d2d14058d6327c455570e368eb05c43c5aadaeb4e6,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,"MAX_FES_REACHED"
