seed,fromArm,toArm,deltaHV,deltaIGD,deltaCmax,deltaTEC,deltaTWC,deltaFrontSize,bothHvIgdImproved,bothHvIgdWorsened
20260808,A2,A3,-0.22493780757454207,-1.640145546266303,-0.015399336584733922,0.03670142140787013,-0.07322005966071944,0.599009900990099,false,true
20260808,A3,A4,0.1287476982912295,0.41943861067343446,-0.00025016438574133057,-0.07282328844219739,0.07151339129678261,0.7027863777089783,true,false
20260808,A2,A4,-0.12515033426721037,-0.5327665663647093,-0.0156533533360528,-0.03344914883690329,0.0035295464133539697,1.7227722772277227,false,true
20260809,A2,A3,0.0984081034838289,0.16131761594967425,0.03376251840970034,0.05726058820004455,0.02044519451448313,0.25625,true,false
20260809,A3,A4,-0.003832876073663607,-0.051449814121919325,0.005088404542018542,-0.026665625790974517,-0.021764309407499946,0.3283582089552239,false,true
20260809,A2,A4,0.09419804134486752,0.11816756318295683,0.038679125599692984,0.03212185182658351,-0.0008741393537070852,0.66875,true,false
20260810,A2,A3,-0.2700336295862881,-0.6104150552942368,0.045762108544689935,0.018419614485100717,-0.09895169053614593,-0.2217573221757322,false,true
20260810,A3,A4,0.3991180169392201,0.4561584840798582,0.030144398185718204,-0.033456416802587305,0.10166360156234971,2.763440860215054,true,false
20260810,A2,A4,0.021309100605552744,0.12418943506816331,0.07452703550861894,-0.014420548017930086,0.012771696266791461,1.9288702928870294,true,false
20260811,A2,A3,0.3391071154750361,0.2595236122182965,0.07087945890926096,-0.003157834535533363,0.01987660151017327,1.8243243243243243,true,false
20260811,A3,A4,0.393078057112226,0.4003432467718046,-0.017355846674132824,-0.009451480919249779,0.04581048591968865,0.04784688995215311,true,false
20260811,A2,A4,0.8654807386911205,0.5559683334606815,0.05475378525630278,-0.012639161667641882,0.06477653065624886,1.9594594594594594,true,false
20260812,A2,A3,-0.28291867642081353,-0.4284680196569034,-0.02257475675960288,-0.00844911106941035,-0.026287471129200702,-0.10106382978723404,false,true
20260812,A3,A4,0.6077790675097728,0.42940098174962377,0.01820705079029017,-0.02915509751942653,0.03961651969964757,4.165680473372781,true,false
20260812,A2,A4,0.15290834175281814,0.1849175503817118,-0.00395668622641217,-0.037850543246018005,0.014370466688290765,3.643617021276596,true,false
20260813,A2,A3,-0.4477898298517572,-1.2400515888003794,0.01185247797540325,0.03561310473244492,-0.0960493392402339,-0.281767955801105,false,true
20260813,A3,A4,0.7628602538796769,0.5362508863688537,-0.05286042909854756,-0.045946807681310854,0.11510721677834373,2.4461538461538463,true,false
20260813,A2,A4,-0.026530639257529073,-0.038821938794217144,-0.04038142405148341,-0.00869739447478991,0.030113849651452106,1.4751381215469612,false,true
20260814,A2,A3,-0.476970155151502,-1.2226757715304672,0.03581402112190404,-0.02511109303070319,-0.058849580367934536,-0.30952380952380953,false,true
20260814,A3,A4,0.5270374321737349,0.3066416005845957,0.00540523234416435,0.03196978118818782,0.04034030950654838,0.270935960591133,true,false
20260814,A2,A4,-0.2013138487723226,-0.5411109153677636,0.041025670360725686,0.0076614843070724374,-0.01613526057501319,-0.12244897959183673,false,true
20260815,A2,A3,0.03622487773640193,0.18053724616479455,0.07254248020523484,-0.001922306610683898,0.06293666216201202,-0.3485342019543974,true,false
20260815,A3,A4,0.07737995216404987,0.3566370796472304,0.06016382859492397,-0.027834677335543467,0.0028701548502695017,0.935,true,false
20260815,A2,A4,0.11640790920684314,0.4727880495722595,0.1283418754552404,-0.029810490730475734,0.06562617904611745,0.26058631921824105,true,false
20260816,A2,A3,-0.09982814750223973,-0.07022901955854105,0.01319532839786243,-0.004921367174162041,0.016728617011349575,1.696969696969697,false,true
20260816,A3,A4,0.1941418469226765,0.211379330686602,0.007974210566656072,0.013255701873659532,-0.048674251177322575,1.7303370786516854,true,false
20260816,A2,A4,0.07493287848948256,0.15599527427712162,0.021064316637377768,0.008399570875568996,-0.03113138125971334,6.363636363636363,true,false
20260817,A2,A3,0.01825593172293403,-0.000276000141077818,-0.00917604028816851,-0.0050976981628824795,0.013977170009502124,0.1320754716981132,false,false
20260817,A3,A4,0.26225618577748566,0.41044618262986315,0.02812570147731264,0.013572821969605485,-0.0027070120922592636,0.8458333333333333,true,false
20260817,A2,A4,0.28529984852189055,0.41028346569309604,0.01920774375903295,0.008544313956342593,0.011307994285474146,1.0896226415094339,true,false
20260818,A2,A3,0.29356541734616604,0.27955852426502253,-0.055381823406966686,-0.008804167945542058,0.028289908677264754,0.30857142857142855,true,false
20260818,A3,A4,0.06102089656126209,0.06650792161672356,0.05553506562870986,0.037137930906441095,-0.0019279404286839728,1.3187772925764192,true,false
20260818,A2,A4,0.37249993887327226,0.3274735894626411,0.0032288754192866917,0.028660731541749286,0.026416509507243457,2.0342857142857143,true,false
20260819,A2,A3,-0.36270463135459385,-0.6832041897508113,-0.04374829752206442,-0.048441300797968365,-0.06230100942671548,-0.2913907284768212,false,true
20260819,A3,A4,0.03980301265161562,0.25241581882111785,0.11065973148714273,0.021308673242759434,0.0743963900680893,0.32242990654205606,true,false
20260819,A2,A4,-0.3373383557335847,-0.25833682595172414,0.07175260882188958,-0.026100407705050805,0.016730350840319458,-0.06291390728476821,false,true
