seed,deltaHV,deltaIGD,deltaCmax,deltaTEC,deltaTWC,pilot_A2_actualFE,pilot_A3_actualFE,pilot_A2_utilization,pilot_A3_utilization,pilot_A2_rawN,pilot_A3_rawN
20260808,-0.22493780757454207,-1.640145546266303,-0.015399336584733922,0.03670142140787013,-0.07322005966071944,500000,500000,1.0,1.0,202,323
20260809,0.0984081034838289,0.16131761594967425,0.03376251840970034,0.05726058820004455,0.02044519451448313,500000,495301,1.0,0.990602,160,201
20260810,-0.2700336295862881,-0.6104150552942368,0.045762108544689935,0.018419614485100717,-0.09895169053614593,500000,495590,1.0,0.99118,239,186
20260811,0.3391071154750361,0.2595236122182965,0.07087945890926096,-0.003157834535533363,0.01987660151017327,500000,500000,1.0,1.0,74,209
20260812,-0.28291867642081353,-0.4284680196569034,-0.02257475675960288,-0.00844911106941035,-0.026287471129200702,500000,500000,1.0,1.0,188,169
20260813,-0.4477898298517572,-1.2400515888003794,0.01185247797540325,0.03561310473244492,-0.0960493392402339,500000,500000,1.0,1.0,181,130
20260814,-0.476970155151502,-1.2226757715304672,0.03581402112190404,-0.02511109303070319,-0.058849580367934536,500000,500000,1.0,1.0,294,203
20260815,0.03622487773640193,0.18053724616479455,0.07254248020523484,-0.001922306610683898,0.06293666216201202,500000,499452,1.0,0.998904,307,200
20260816,-0.09982814750223973,-0.07022901955854105,0.01319532839786243,-0.004921367174162041,0.016728617011349575,500000,500000,1.0,1.0,99,267
20260817,0.01825593172293403,-0.000276000141077818,-0.00917604028816851,-0.0050976981628824795,0.013977170009502124,499607,500000,0.999214,1.0,212,240
20260818,0.29356541734616604,0.27955852426502253,-0.055381823406966686,-0.008804167945542058,0.028289908677264754,500000,500000,1.0,1.0,175,229
20260819,-0.36270463135459385,-0.6832041897508113,-0.04374829752206442,-0.048441300797968365,-0.06230100942671548,500000,500000,1.0,1.0,302,214
