seed,A2_profile_pddrSelectionMode,A3_profile_pddrSelectionMode,same_profile_pddrSelectionMode,A2_profile_dscr,A3_profile_dscr,same_profile_dscr,A2_profile_cfvf,A3_profile_cfvf,same_profile_cfvf,A2_profile_qg,A3_profile_qg,same_profile_qg,A2_profile_qp,A3_profile_qp,same_profile_qp,A2_dualQ_mode,A3_dualQ_mode,same_dualQ_mode,A2_dualQ_warmupRatio,A3_dualQ_warmupRatio,same_dualQ_warmupRatio,A2_dualQ_blockLength,A3_dualQ_blockLength,same_dualQ_blockLength,A2_dualQ_gBlockLength,A3_dualQ_gBlockLength,same_dualQ_gBlockLength,A2_dualQ_frozenSelectionPolicy,A3_dualQ_frozenSelectionPolicy,same_dualQ_frozenSelectionPolicy,changed_profile_fields
20260808,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260809,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260810,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260811,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260812,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260813,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260814,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260815,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260816,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260817,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260818,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
20260819,GLOBAL_ORIGINAL,GLOBAL_ORIGINAL,True,true,true,True,true,true,True,true,true,True,false,true,False,NOT_APPLICABLE,BLOCK_FROZEN,False,,0.1,False,,5,False,,5,False,NOT_APPLICABLE,GREEDY,False,profile_qp;dualQ_mode;dualQ_warmupRatio;dualQ_blockLength;dualQ_gBlockLength;dualQ_frozenSelectionPolicy
