fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,931.769411328885,931.769411328885,988.767559720978,931.769411328885,975.837154749295,,931.769411328885,,56868.018341925060,129430.194169353850,56752.656796426580,129430.194169353850
2000,878.524222449424,878.524222449424,888.397048004995,878.524222449424,878.524222449424,,878.524222449424,,54771.517069067430,112940.775364562720,54606.712753448500,111724.141565901530
3000,838.125742740252,838.125742740252,845.887017669928,838.125742740252,838.125742740252,,838.125742740252,,52668.874641992500,110957.279678631600,52668.874641992500,110957.279678631600
4000,809.333264798786,809.333264798786,815.701040468024,809.333264798786,815.701040468024,,809.333264798786,,52668.874641992500,106227.954854883790,52668.874641992500,106227.954854883790
5000,806.345198882452,806.345198882452,819.384163117604,805.464170109171,805.464170109171,,805.464170109171,,52668.874641992500,105262.677333406840,52668.874641992500,105262.677333406840
6000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,764.703925105236,,52668.874641992500,105262.677333406840,52668.874641992500,105088.659353835800
7000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,788.062299293045,,52668.874641992500,105262.677333406840,52668.874641992500,105088.659353835800
8000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,791.753386132652,,52668.874641992500,105262.677333406840,52668.874641992500,105088.659353835800
9000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,785.239617363289,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
10000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,795.197017161185,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
11000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,801.053107243059,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
12000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,847.091499948234,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
13000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,855.618897097891,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
14000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,841.128640506736,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
15000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,833.641382652618,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
16000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,855.091566128554,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
17000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,877.136517672455,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
18000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,881.634673739292,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
19000,805.464170109171,805.464170109171,811.216533628378,764.703925105236,764.703925105236,,856.497390406316,,52668.874641992500,105262.677333406840,52668.874641992500,103848.390911039650
