fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,226.021205120391,226.021205120391,226.021205120391,226.021205120391,226.990629343372,,226.021205120391,,9465.421038349280,13876.125786832881,9465.421038349280,13876.125786832881
2000,226.021205120391,226.021205120391,228.905111167256,226.021205120391,226.990629343372,,228.905111167256,,9465.421038349280,13523.023529697015,9465.421038349280,13523.023529697015
3000,226.021205120391,226.021205120391,244.937816214625,226.021205120391,226.990629343372,,226.990629343372,,9174.958233807818,13523.023529697015,9174.958233807818,13523.023529697015
4000,223.760869418786,223.760869418786,226.990629343372,223.760869418786,223.760869418786,,223.760869418786,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
5000,222.207069981483,222.207069981483,226.990629343372,222.207069981483,222.207069981483,,222.207069981483,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
6000,222.207069981483,222.207069981483,228.750357985794,204.850617288472,204.850617288472,,204.850617288472,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
7000,222.207069981483,222.207069981483,228.750357985794,204.850617288472,204.850617288472,,209.988146247739,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
8000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,203.691639347766,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
9000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,205.178521975543,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
10000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,211.437533345460,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
11000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,211.437533345460,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
12000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,251.539484122420,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
13000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,239.664150621849,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
14000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,221.570678545902,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
15000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,237.840841803158,,9174.958233807818,12805.715992083906,9174.958233807818,12805.715992083906
16000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,249.866641841555,,9174.958233807818,12805.715992083906,9063.527372321008,12805.715992083906
17000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,217.151487940038,,9174.958233807818,12805.715992083906,9063.527372321008,12805.715992083906
18000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,246.933098008074,,9174.958233807818,12805.715992083906,9063.527372321008,12805.715992083906
19000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,230.653250016048,,9174.958233807818,12805.715992083906,9063.527372321008,12805.715992083906
20000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,251.934153185389,,9174.958233807818,12805.715992083906,9063.527372321008,12805.715992083906
21000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,257.045670413603,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
22000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,280.619456734097,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
23000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,296.355328703578,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
24000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,292.458218048372,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
25000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,323.876478229841,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
26000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,284.805245387220,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
27000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,312.962275313598,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
28000,222.207069981483,222.207069981483,228.750357985794,203.691639347766,203.691639347766,,277.098574247176,,9174.958233807818,12805.715992083906,8636.089519664833,12805.715992083906
29000,203.691639347766,203.691639347766,205.178521975543,203.691639347766,203.691639347766,203.691639347766,205.178521975543,203.691639347766,8636.089519664833,12805.715992083906,8636.089519664833,12805.715992083906
30000,203.691639347766,203.691639347766,205.178521975543,203.691639347766,203.691639347766,203.691639347766,205.178521975543,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
31000,203.691639347766,203.691639347766,206.400257037450,203.691639347766,203.691639347766,203.691639347766,205.178521975543,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
32000,203.691639347766,203.691639347766,205.178521975543,203.691639347766,203.691639347766,203.691639347766,205.178521975543,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
33000,203.691639347766,203.691639347766,205.178521975543,203.691639347766,203.691639347766,203.691639347766,205.178521975543,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
34000,203.691639347766,203.691639347766,225.755871145152,203.691639347766,203.691639347766,203.691639347766,205.178521975543,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
35000,203.691639347766,203.691639347766,225.755871145152,203.691639347766,203.691639347766,203.691639347766,210.027278934808,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
36000,203.691639347766,203.691639347766,225.755871145152,203.691639347766,203.691639347766,203.691639347766,217.676987410799,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
37000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,203.463439323028,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
38000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,205.699665186654,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
39000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,206.582911845449,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
40000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,252.194840994234,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
41000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,228.062194973437,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
42000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,240.142587024882,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
43000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,243.874033089127,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
44000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,288.266948007704,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
45000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,270.046826602496,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
46000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,248.831670339688,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
47000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,235.961537705591,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
48000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,233.140737040387,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
49000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,286.171614002525,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
50000,203.691639347766,203.691639347766,225.755871145152,203.463439323028,203.463439323028,203.691639347766,286.973756017169,,8636.089519664833,12707.667888790347,8636.089519664833,12707.667888790347
