runId,instance,seed,arm,status,actualFE,decoderCalls,remainingFE,utilizationRate,frontRawCount,frontNondominatedCount,algorithmRunSeconds,frontSha256
V35A2A4-100_2_4_1-20260901-A2,100_2_4_1,20260901,A2,ACCEPTED,500000,500000,0,1.0,238,238,220.447551367,e1e75a27b96fec9869944f172e3e0775ff88a3330d77ee0baafc0e07f34dc785
V35A2A4-100_2_4_1-20260901-A4,100_2_4_1,20260901,A4,ACCEPTED,500000,500000,0,1.0,344,344,777.368504388,623228f4dee65b05f678aa0e1579c24fe0e847af16c59ab166497d4fa720362f
V35A2A4-100_2_4_1-20260902-A2,100_2_4_1,20260902,A2,ACCEPTED,500000,500000,0,1.0,158,158,216.584208359,d8df833451c7a4b38d4b172886f96d260a98659e2388d0bc7eef36dc4e10f05d
V35A2A4-100_2_4_1-20260902-A4,100_2_4_1,20260902,A4,ACCEPTED,500000,500000,0,1.0,416,416,684.339673016,2f9eb8a4db70c7cb6851beaf383f88244a5fbabd25b53a6aed34160101c478d7
V35A2A4-100_2_4_1-20260903-A2,100_2_4_1,20260903,A2,ACCEPTED,500000,500000,0,1.0,176,176,207.815466162,d47984f986ade3b88152542f87d4a3f14c38d740c9fefc0f9813b4994e979469
V35A2A4-100_2_4_1-20260903-A4,100_2_4_1,20260903,A4,ACCEPTED,500000,500000,0,1.0,500,500,929.010694384,9c6b72cb69f93bf009bf77c41d923d8cb122e58b2dcb3ed6900ca9643c7040de
V35A2A4-100_2_4_1-20260904-A2,100_2_4_1,20260904,A2,ACCEPTED,500000,500000,0,1.0,156,156,210.63730417,d819804d73b346f5ef4331d2614bf5c5b3c20c99b48400d37dc0c1e2f8fd6b05
V35A2A4-100_2_4_1-20260904-A4,100_2_4_1,20260904,A4,ACCEPTED,500000,500000,0,1.0,368,368,717.517413925,72564f78e405ca36bac330d012e0d6c4a543ccff4907981e7953f1dfe34fad58
V35A2A4-100_2_4_1-20260905-A2,100_2_4_1,20260905,A2,ACCEPTED,500000,500000,0,1.0,224,224,208.516033072,04472383c7b08edb5a9d350495fb0035d3de367261c074ef0bd407f08dcc6873
V35A2A4-100_2_4_1-20260905-A4,100_2_4_1,20260905,A4,ACCEPTED,500000,500000,0,1.0,561,561,831.600744933,8c8f1fa7e320ae051237b9fc38e5e45d6a7d8aab465384faf5d8d92d85b301ef
V35A2A4-100_5_3_1-20260901-A2,100_5_3_1,20260901,A2,ACCEPTED,500000,500000,0,1.0,412,412,363.298488016,75d8a44a71428274a591a1c6413ddac0cb7e7deb421da419a11b2d3196a204aa
