arm,kind,field,old,new,equal
D1_PA_DIRECTIONAL,status,status,COMPLETED,COMPLETED,true
D1_PA_DIRECTIONAL,status,mode,V35_DIAG_PA_DIRECTIONAL,V35_DIAG_PA_DIRECTIONAL,true
D1_PA_DIRECTIONAL,status,fullEvaluations,100,100,true
D1_PA_DIRECTIONAL,status,decoderCalls,100,100,true
D1_PA_DIRECTIONAL,status,illegalSolutions,0,0,true
D1_PA_DIRECTIONAL,status,duplicateEvaluations,0,0,true
D1_PA_DIRECTIONAL,status,initialPopulationHash,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,true
D1_PA_DIRECTIONAL,status,evaluationTraceHash,3a0641ee598052f993e0c94d4418d85b1c922179c484fecab4f7644342efd4ee,3a0641ee598052f993e0c94d4418d85b1c922179c484fecab4f7644342efd4ee,true
D1_PA_DIRECTIONAL,status,stopReason,BUDGET_OR_NORMAL_STOP,BUDGET_OR_NORMAL_STOP,true
D1_PA_DIRECTIONAL,file_sha256,front.csv,746049d1911da6b381254e01251b48f772ae5f577a9a3410f472c32d57308381,746049d1911da6b381254e01251b48f772ae5f577a9a3410f472c32d57308381,true
D1_PA_DIRECTIONAL,file_sha256,a2a3-personal-leader-events.csv,a11273b4944631c0e93ec2f0048e78e696856dedb2f13bad856e072f2ee9eba1,a11273b4944631c0e93ec2f0048e78e696856dedb2f13bad856e072f2ee9eba1,true
D1_PA_DIRECTIONAL,file_sha256,qp-events.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true
D1_PA_DIRECTIONAL,file_sha256,dual-q-events.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true
D1_PA_DIRECTIONAL,file_sha256,profile.sha256,2ce3c019a6c4b85fde24cb3990b09f1e14a35a77227116f63d03be7b8ce6e6b5,2ce3c019a6c4b85fde24cb3990b09f1e14a35a77227116f63d03be7b8ce6e6b5,true
D1_PA_DIRECTIONAL,qp_summary,tableHash,disabled,disabled,true
D1_PA_DIRECTIONAL,qp_summary,KEEP.count,0,0,true
D1_PA_DIRECTIONAL,qp_summary,DIRECTIONAL.count,0,0,true
D1_PA_DIRECTIONAL,qp_summary,EPSILON.count,0,0,true
D1_PA_DIRECTIONAL,qp_summary,COMPLEMENTARY.count,0,0,true
D2_QP_SYNCHRONOUS,status,status,COMPLETED,COMPLETED,true
D2_QP_SYNCHRONOUS,status,mode,V35_DIAG_QP_SYNCHRONOUS,V35_DIAG_QP_SYNCHRONOUS,true
D2_QP_SYNCHRONOUS,status,fullEvaluations,100,100,true
D2_QP_SYNCHRONOUS,status,decoderCalls,100,100,true
D2_QP_SYNCHRONOUS,status,illegalSolutions,0,0,true
D2_QP_SYNCHRONOUS,status,duplicateEvaluations,0,0,true
D2_QP_SYNCHRONOUS,status,initialPopulationHash,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,165ad2bc3a58953ed2f10674b2162bf18eb9960667e33e7de6133317297e77f2,true
D2_QP_SYNCHRONOUS,status,evaluationTraceHash,3a0641ee598052f993e0c94d4418d85b1c922179c484fecab4f7644342efd4ee,3a0641ee598052f993e0c94d4418d85b1c922179c484fecab4f7644342efd4ee,true
D2_QP_SYNCHRONOUS,status,stopReason,BUDGET_OR_NORMAL_STOP,BUDGET_OR_NORMAL_STOP,true
D2_QP_SYNCHRONOUS,file_sha256,front.csv,746049d1911da6b381254e01251b48f772ae5f577a9a3410f472c32d57308381,746049d1911da6b381254e01251b48f772ae5f577a9a3410f472c32d57308381,true
D2_QP_SYNCHRONOUS,file_sha256,a2a3-personal-leader-events.csv,a11273b4944631c0e93ec2f0048e78e696856dedb2f13bad856e072f2ee9eba1,a11273b4944631c0e93ec2f0048e78e696856dedb2f13bad856e072f2ee9eba1,true
D2_QP_SYNCHRONOUS,file_sha256,qp-events.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true
D2_QP_SYNCHRONOUS,file_sha256,dual-q-events.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true
D2_QP_SYNCHRONOUS,file_sha256,profile.sha256,07489f60508bf5a6ca6b898b5a9edc1a51719f7237b4a2114b4d4e8c591ba4fe,07489f60508bf5a6ca6b898b5a9edc1a51719f7237b4a2114b4d4e8c591ba4fe,true
D2_QP_SYNCHRONOUS,qp_summary,tableHash,4A6EA04ADD51DF5C34CB94585D94069396C85DA2665C0D347146FCDF380C178A,4A6EA04ADD51DF5C34CB94585D94069396C85DA2665C0D347146FCDF380C178A,true
D2_QP_SYNCHRONOUS,qp_summary,KEEP.count,0,0,true
D2_QP_SYNCHRONOUS,qp_summary,DIRECTIONAL.count,0,0,true
D2_QP_SYNCHRONOUS,qp_summary,EPSILON.count,0,0,true
D2_QP_SYNCHRONOUS,qp_summary,COMPLEMENTARY.count,0,0,true
