candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,407.145286647958,12289.821770709996,25025.720435131694,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,0501cba85a8dca6473d791ab937d10d7cccd026feaf7d07182850272f0616844
2,INITIAL,-1,true,true,2,0,396.561202978850,12435.043933569157,24701.198091532990,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,158ce2988d49147e7abe48fd2ab6d4c8707bc9b4b47d6bbd0a1304440a9b6228
3,INITIAL,-1,true,true,4,0,308.467071317750,12860.986742511745,21162.093723110447,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,40afd27552cbe92f8d9863e80daab14182293b8805109661bf7fc5791f9b1a80
4,INITIAL,-1,true,true,8,0,303.148218268385,11473.867655739818,19383.130581110847,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,a399cabdc9b882e6676dd40d90a0848081c15368d8e7273b2fa5d558f8adbb62
5,INITIAL,-1,true,true,33,0,300.184314531190,12453.458978462142,19065.836728199574,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,5,1,100,400,1,1,14b1f634f21252e5cface59b4ca4dbf911c9840fc2f36a45b00220912dd7ca46
6,INITIAL,-1,true,true,43,0,290.770226208013,12760.858923088945,20387.671027940632,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,7ed3e977c493d03cb2f2e835b93c4dc9560a8280d2b83c2f7b26a189b5f54c75
7,INITIAL,-1,true,true,44,0,284.280723584511,12556.446267311505,20324.120391094360,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,2,1,100,200,1,1,83218198483f65a6545dfaa7b77bf31573cf9955e22f7b462c6981784f4f5c6d
8,INITIAL,-1,true,true,59,0,249.672761520688,11531.497004920822,17886.996611914943,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,40,1,6,1,100,600,1,1,0b734970376e33d2bb571cf4517394f0581cee58cac5c40c635ee1d88a0bd7c8
9,GLOBAL_SLOT_G1_CMAX,71,true,true,202,1,247.316421994298,11696.748275596185,20220.715271966050,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,41e7c488a58bed62e52cd6d1aceff842daf53d50fbbd2e5a16e2f17f1ea0ceea
10,GLOBAL_SLOT_G4_BALANCED,76,true,true,339,1,229.995679148074,11120.019046716894,17283.798789731780,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,40d3a7fc1ef8128f3270d139f824d2d689bced0624c1b50f886d73e97fa365e5
11,GLOBAL_SLOT_G4_BALANCED,20,true,true,359,1,226.990629343372,11222.562238393700,18721.405401333030,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,400,400,1,1,c5e67a37bd19629b17e21697e24ce80db0e01ae7d3a151d67666b90f907f3ab8
12,GLOBAL_SLOT_G2_TEC,63,true,true,875,1,226.021205120391,10329.105659430683,18268.658496026380,G2_TEC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,40,1,0,0,29655,29855,2,2,76b310803068cba6031ecc0e89efbeff6e0923594da19c487fd5683e445d78a1
13,GLOBAL_SLOT_G1_CMAX,20,true,true,3412,1,223.760869418786,11232.212361223164,20390.746165728386,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,9d9e7b9aaa51387b68ddb9de574fcd9f954d880c1292a79154dbda23955501cd
