candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,417.041369677306,13007.457203173424,28831.898633504217,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f694e023db4542d820a81f521bee779bf7192104380b507fdc3d6ba180de1cea
2,INITIAL,-1,true,true,3,0,416.849806384074,13729.247727038965,29122.781518226060,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,94eca3699d98989ce5c60b9e24632ed84c9cca8677ab46c547f11a982833c466
3,INITIAL,-1,true,true,4,0,388.455700521809,12837.993819513100,26758.939002656236,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,cb3cb1a761933424d8f8f93177bcd30a101ffc5d21437fbc77f98ea8c505455e
4,INITIAL,-1,true,true,5,0,270.259961012823,11932.379890691655,22126.002484851793,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,10,1,100,700,1,1,8e1d5de04bb733ec573bd4832b718b01f9034fcd74feedf65bf73ba44c03169b
5,GLOBAL_SLOT_G1_CMAX,5,true,true,106,1,244.749088597086,12116.483363602663,18159.374961799316,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,8ac8991942e412fb50b592c5e8d7b4ab1aeb230f3c3a92d18716baad7d1c8262
6,GLOBAL_SLOT_G3_TWC,23,true,true,282,1,238.952296128000,10855.423275616610,18075.970757274616,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,240,1,0,0,300,1900,1,1,d1238882093a39afba66c8c306707e247d48a0139cbd94262f266dda616a8bac
7,GLOBAL_SLOT_G1_CMAX,63,true,true,419,1,223.098274698871,11007.011200017374,18659.190256641745,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,580,1,0,0,2000,5000,1,1,8605bcafe9dcd3db0b4515d9e0f252716563675d68fe5b40313aa5fa32eb42e0
8,GLOBAL_SLOT_G3_TWC,81,true,true,696,1,219.014667242620,11349.249830881252,20084.112455011090,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ffd2f7be9756770217461e41bc729ae2cbef1957f70525decbc7227b90cca6b5
9,GLOBAL_SLOT_G1_CMAX,63,true,true,2918,1,217.536528042557,11511.168614670883,18059.136856111570,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6fbde0d793d738bbb9920c0d982404f398d54174c6da593f9f23f8b9412f487a
10,GLOBAL_SLOT_G1_CMAX,63,true,true,4915,1,213.497372998042,11315.069800437734,18017.818623386138,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,862eff0e914af0d1d696456af18491d44ab7204ca2bcb89d4421ea2820d7f324
11,NOT_APPLICABLE,63,true,true,5813,1,209.602907657558,11290.288585592712,16699.620069884920,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,0,0,15,1,29050,30150,2,2,8997b3bb14910beb8e929440c1fbde233236dd170825aaf9f0ca446c85fc4c2f
12,NOT_APPLICABLE,63,true,true,6677,1,207.533217292017,10844.963422367070,16930.565310947920,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,3aa3d568dd1db322b64311bbcee60389e62cf22ff5f24fd20cf5b0e286479607
13,NOT_APPLICABLE,63,true,true,6684,1,206.024321049105,10877.101367167033,16975.183536638470,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,c9dfef0392c7bd18288c35cd78eadcd36102ce0fe476df12ae9e6ee6949e7ca7
14,NOT_APPLICABLE,63,true,true,6686,1,204.400848179814,10851.762790156197,16834.384889926485,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,c9b56a29e850db9928c392b7fa92375743cc985fbfae9033c7bfbeb0bcea00f3
15,NOT_APPLICABLE,63,true,true,6691,1,202.451876403686,10714.828555859604,16598.767868471085,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,10f16abaee676c55e15c3dc87bb94508c2dd9983d8bf13df60df988a99d8ef5f
16,NOT_APPLICABLE,63,true,true,6693,1,202.433728118589,10710.912372313447,16592.685354009610,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,22ced501da54ac6887b7bb154a18ff6e8dc0af75081e1814e7215a697b947c6e
17,NOT_APPLICABLE,63,true,true,6734,1,201.940723965314,10742.842065729103,16743.893094565465,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,140,1,823,1,29050,33950,2,2,98f882e294ef187df9af2a7a5d2d2a81e657ac8f8c60b6423e79dbb3f415a554
18,GLOBAL_SLOT_G4_BALANCED,166,true,true,29691,2,201.102690223303,10722.367640440516,16526.784543388945,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,840,1,0,0,29750,33950,2,2,d9ba8f3979fde4db015c122ac64bcf7c290239ede287259bfc6e85ec793bff19
19,GLOBAL_SLOT_G4_BALANCED,166,true,true,29708,2,198.499537876261,10819.978219022134,16707.065026292620,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,90767b4355d9a448b5be3890df2369d0aa54e382a187592b71c3d6df62776641
20,NOT_APPLICABLE,166,true,true,36268,2,196.853859053835,11093.916988540708,17433.287179889237,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,77e53b03c13423fd68a7f4fe48dfa78d9486decf1b46dc94e32080ea32f1e828
21,NOT_APPLICABLE,166,true,true,36271,2,196.244858641589,11331.494920472875,17470.117314040850,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,7bd11dcb5f5e5bb32af46650ff1b5a0d163493162034b655339c842a2bd8b2cd
22,NOT_APPLICABLE,166,true,true,36281,2,196.111601990849,11384.389100160439,17307.504032372460,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,41fa04306c87544ee13ed119b4ec146599689251b6751754f2157d93770c6b3b
23,NOT_APPLICABLE,166,true,true,36283,2,195.109195613618,11347.050673267127,16781.651876418186,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,0,0,0,0,,,,,c684417846d2519e8f4b1317765c3b7a36a03c161f79685b57ef490905e45d43
24,NOT_APPLICABLE,166,true,true,38145,2,192.367426225386,10981.655281465846,16948.567356435330,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,0,0,0,0,,,,,aa9a3d3a9ad15adbaa9d33ab01decc5e6a80424ced325234676df0252e164424
