fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,235.521356667309,235.521356667309,235.521356667309,222.252316121716,235.521356667309,,222.252316121716,,9183.511835527199,13791.886634689916,9183.511835527199,13791.886634689916
2000,222.252316121716,222.252316121716,226.738058146842,222.252316121716,226.738058146842,,226.659283804067,,9183.511835527199,13572.479448128817,9183.511835527199,13572.479448128817
3000,222.252316121716,222.252316121716,239.957532756137,222.252316121716,226.738058146842,,239.957532756137,,9183.511835527199,13572.479448128817,9183.511835527199,13572.479448128817
4000,222.252316121716,222.252316121716,256.744569463208,222.252316121716,224.426237399890,,224.426237399890,,8930.787923562650,13373.060154864967,8930.787923562650,13373.060154864967
5000,222.252316121716,222.252316121716,261.656891365699,222.252316121716,224.426237399890,,227.619437412164,,8902.129642393695,13180.412332806610,8902.129642393695,13162.819593056925
6000,222.252316121716,222.252316121716,269.475262734781,220.128912493229,220.128912493229,,220.128912493229,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
7000,222.252316121716,222.252316121716,269.475262734781,220.128912493229,220.128912493229,,229.221234173886,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
8000,222.252316121716,222.252316121716,269.475262734781,211.702453245751,211.702453245751,,211.702453245751,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
9000,222.252316121716,222.252316121716,269.475262734781,211.702453245751,211.702453245751,,218.749412255158,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
10000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,195.735161471995,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
11000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,223.083869816150,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
12000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,251.691852700956,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
13000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,238.640798504164,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
14000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,205.309485118757,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
15000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,255.651277767230,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
16000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,276.451078678479,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
17000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,245.204593555793,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
18000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,306.760220809903,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
19000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,256.863298874208,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
20000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,286.916477547036,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
21000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,280.908797329421,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
22000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,319.655530915879,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
23000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,296.357061935663,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
24000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,308.397615324555,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
25000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,324.793784489610,,8902.129642393695,13162.819593056925,8902.129642393695,13162.819593056925
26000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,324.793784489610,,8902.129642393695,13162.819593056925,8902.129642393695,12828.649614764177
27000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,268.312916300060,,8902.129642393695,13162.819593056925,8902.129642393695,12828.649614764177
28000,222.252316121716,222.252316121716,269.475262734781,195.735161471995,195.735161471995,,310.148609396821,,8902.129642393695,13162.819593056925,8902.129642393695,12828.649614764177
29000,195.735161471995,195.735161471995,241.984092139654,195.735161471995,195.735161471995,195.735161471995,229.030029472767,195.735161471995,8902.129642393695,12828.649614764177,8902.129642393695,12828.649614764177
30000,195.735161471995,195.735161471995,211.444799038834,195.735161471995,195.735161471995,195.735161471995,211.444799038834,,8701.646268306295,12828.649614764177,8701.646268306295,12828.649614764177
31000,195.735161471995,195.735161471995,254.173034653726,195.735161471995,195.735161471995,195.735161471995,207.592443937179,,8701.646268306295,12828.649614764177,8701.646268306295,12828.649614764177
32000,195.735161471995,195.735161471995,250.543529707118,195.735161471995,195.735161471995,195.735161471995,210.413704211523,,8677.568448036041,12828.649614764177,8677.568448036041,12828.027582672059
33000,195.735161471995,195.735161471995,272.897383197666,195.735161471995,195.735161471995,195.735161471995,245.931389027281,,8624.424114550640,12828.027582672059,8624.424114550640,12828.027582672059
34000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,220.302259573039,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
35000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,213.291856513735,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
36000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,232.845323573746,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
37000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,217.156787414573,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
38000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,231.029917626566,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
39000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,227.076266384211,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
40000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,229.889045402784,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
41000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,270.674849672344,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
42000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,256.887423735286,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
43000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,268.156920143703,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
44000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,264.554692524961,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
45000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,257.256870252546,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
46000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,249.153376904208,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
47000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,280.681281176244,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
48000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,265.652880701964,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
49000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,279.701151680749,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
50000,195.735161471995,195.735161471995,233.851898827238,195.735161471995,195.735161471995,195.735161471995,316.124175068283,,8624.424114550640,12813.415802274940,8624.424114550640,12813.415802274940
