candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,417.041369677306,13007.457203173424,28831.898633504217,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f694e023db4542d820a81f521bee779bf7192104380b507fdc3d6ba180de1cea
2,INITIAL,-1,true,true,3,0,416.849806384074,13729.247727038965,29122.781518226060,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,94eca3699d98989ce5c60b9e24632ed84c9cca8677ab46c547f11a982833c466
3,INITIAL,-1,true,true,4,0,388.455700521809,12837.993819513100,26758.939002656236,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,cb3cb1a761933424d8f8f93177bcd30a101ffc5d21437fbc77f98ea8c505455e
4,INITIAL,-1,true,true,5,0,270.259961012823,11932.379890691655,22126.002484851793,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,8e1d5de04bb733ec573bd4832b718b01f9034fcd74feedf65bf73ba44c03169b
5,GLOBAL_SLOT_G4_BALANCED,-1,true,true,13,1,269.839148226412,12198.790273001776,23866.755888784366,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,988a7a5ad870a8d2082ae90aa8f01e2f1b3770d5037dbe586d8924da76d5a2b2
6,GLOBAL_SLOT_G4_BALANCED,-1,true,true,14,1,248.917487129272,11972.596879567560,19387.259307436594,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b0defd4e0d2c4b80714071d6782a1c5255ca4347f2ded7a833242ca4bf17dbb7
7,GLOBAL_SLOT_G2_TEC,-1,true,true,17,1,239.689159326114,11465.326626285016,19461.388137756338,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,51e296be29ace0f9c1e650becc70cedf7c1416ab13b580c1453801669d3ae8fb
8,GLOBAL_SLOT_G2_TEC,-1,true,true,48,1,237.145747002338,11649.432082724283,18695.897614847360,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b0a66213beaac1c3c6d067c0c1fe4254fc91d4f6d2c1265a0f3c5d3c9e8602e2
9,GLOBAL_SLOT_G4_BALANCED,-1,true,true,66,1,226.241710964258,11396.780013008847,20019.938652625067,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,2fc97108481354dee0e7f2f5a0b7f51589bfc4301ea1076de07f8cc70f002c62
10,GLOBAL_SLOT_G1_CMAX,-1,true,true,91,1,224.076352131883,11808.319193467929,17925.593810881000,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,be0c187b308db0584ba005ea16adcbf9f224179a8a8196d1711a5515809eb027
11,GLOBAL_SLOT_G4_BALANCED,-1,true,true,93,1,217.617460459157,11784.395644293856,18639.338321866800,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ba0dbe8008e41451d88b41afc7d439ead7126b8a177aeb776a4d71de63d8d0f0
12,GLOBAL_SLOT_G1_CMAX,-1,true,true,151,1,214.957998882590,11747.249397377000,19024.859391651610,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,bd383347e4de1c5ec4460b29906cf358a06120c2069a416fe25f383354291c05
13,GLOBAL_SLOT_G1_CMAX,-1,true,true,212,1,213.383993369503,11699.052709537202,18616.139885034503,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,46cf0126509d93eb934578733f7d241b8e088edf3d8d36d4d8fca8d8bf34f4b1
14,GLOBAL_SLOT_G3_TWC,-1,true,true,239,1,212.655735338124,11464.011724819451,18264.338141536310,G3_TWC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,439779127f85da550c48c532c8be0342b3024c166e63a56c4884b86dfffdf32e
15,GLOBAL_SLOT_G4_BALANCED,-1,true,true,253,1,211.983096755181,11565.527347257190,18094.018989868130,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,8d38fc70c5722333958a07011dcebb51fb68b3e276818ed50272e36aaec11fec
16,GLOBAL_SLOT_G4_BALANCED,-1,true,true,325,1,210.443989803544,11728.545721670540,17271.624120362234,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,09a7aab2d9a28573c231210559e52f808ddc71b8fbb4704706d618e0b09e4746
17,GLOBAL_SLOT_G1_CMAX,-1,true,true,331,1,204.841907853920,11442.328834876698,17805.242681179790,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,080e8ba882de04b12971a60202aba79e77b3923d0254721fec830bff0309eddb
18,GLOBAL_SLOT_G4_BALANCED,-1,true,true,404,1,203.161182693791,11362.802675386658,17393.354824073933,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,bc236941958f6ada91ac5da0916fafb12fea28f0df60077883d0617f47537483
19,GLOBAL_SLOT_G4_BALANCED,-1,true,true,416,1,199.874795573532,10666.852947936233,18547.156646520983,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,9b259931b6e83187536f3b66e78f66fc3f33a68be5e08f6e6564d653822ea3d3
