instance,seed,mixture,HV,IGD,Spacing,C_forward,C_reverse,frontSize
100_2_3_1,20260822,10/40/20/30,0.7006045324179051,0.2543861123568321,0.014329059283504593,0.01347040056717476,1.0,391
100_2_3_1,20260823,10/40/20/30,0.46641219474069134,0.4047033435236783,0.01736678429131837,0.0,1.0,293
100_2_3_1,20260824,10/40/20/30,0.7273650368634246,0.20371739069851416,0.012849501062297264,0.004608294930875576,1.0,497
20_2_3_1,20260822,10/40/20/30,0.8557148955626073,0.0607162670471682,0.018494329281392698,0.01095759885659838,1.0,601
20_2_3_1,20260823,10/40/20/30,0.8761571994019991,0.06559055775191887,0.016969657223204797,0.013816102906145784,1.0,526
20_2_3_1,20260824,10/40/20/30,0.8713717521087926,0.058510310881679545,0.015170469786788694,0.009051929490233444,1.0,636
50_2_3_1,20260822,10/40/20/30,0.8414544072170858,0.09661395003461626,0.01385626417135218,0.05472197705207414,1.0,564
50_2_3_1,20260823,10/40/20/30,0.813060445896749,0.0841233548788226,0.014662110801160365,0.11871138570167697,1.0,705
50_2_3_1,20260824,10/40/20/30,0.7011851197475654,0.1910162018797725,0.01690817310675711,0.07325684024713151,1.0,685
100_2_3_1,20260822,10/40/30/20,0.7849508417914046,0.16812638306793876,0.010525157048874845,0.10173697270471464,1.0,646
100_2_3_1,20260823,10/40/30/20,0.6129950831250076,0.2796376153878743,0.03141726805618557,0.0,1.0,245
100_2_3_1,20260824,10/40/30/20,0.6453779535776993,0.2506847145795098,0.013618898720434947,0.0,1.0,647
20_2_3_1,20260822,10/40/30/20,0.8639682416802537,0.055162663072827925,0.015303323569712906,0.0505002382086708,1.0,878
20_2_3_1,20260823,10/40/30/20,0.8707301996704726,0.06649731409392101,0.01856735441724253,0.041448308718437354,1.0,540
20_2_3_1,20260824,10/40/30/20,0.852214512030481,0.06998265576025876,0.01607842130224041,0.0,1.0,601
50_2_3_1,20260822,10/40/30/20,0.7408986536798473,0.14539991809085634,0.016619727939607382,0.002206531332744925,1.0,646
50_2_3_1,20260823,10/40/30/20,0.8474703986943076,0.0765855174694989,0.014640062742706201,0.02471315092674316,1.0,553
50_2_3_1,20260824,10/40/30/20,0.8342491189183835,0.08724169696196217,0.014557804331386556,0.010150044130626656,1.0,555
100_2_3_1,20260822,20/60/10/10,0.684629932755515,0.1863806996689711,0.014947973208909206,0.0,1.0,821
100_2_3_1,20260823,20/60/10/10,0.5100250869314031,0.34309925180268097,0.01669088457919441,0.0,1.0,316
100_2_3_1,20260824,20/60/10/10,0.4999753433689304,0.39343716003097484,0.013024092925518486,0.0,1.0,255
20_2_3_1,20260822,20/60/10/10,0.9193197103388301,0.038059423501052576,0.01392881150507083,0.11052882324916627,1.0,644
20_2_3_1,20260823,20/60/10/10,0.8894411761484539,0.04529181993874316,0.01563934991036498,0.010481181515007145,1.0,629
20_2_3_1,20260824,20/60/10/10,0.8258283851333375,0.06518591751832323,0.01867018394520647,0.0,1.0,528
50_2_3_1,20260822,20/60/10/10,0.8506805977791914,0.0904645008833516,0.01460231102071945,0.001323918799646955,1.0,486
50_2_3_1,20260823,20/60/10/10,0.825669821617451,0.10968525679887352,0.015045862221455588,0.00529567519858782,1.0,403
50_2_3_1,20260824,20/60/10/10,0.9047936458722609,0.08550875850337761,0.012210664600852508,0.0048543689320388345,1.0,757
100_2_3_1,20260822,25/25/25/25,0.7259897993024018,0.2143008379402387,0.014884112762520963,0.0,1.0,598
100_2_3_1,20260823,25/25/25/25,0.5916666005289658,0.30515213632296734,0.01493005502012431,0.0,1.0,447
100_2_3_1,20260824,25/25/25/25,0.6655817092786249,0.238388604988916,0.013789704843656927,0.0,1.0,556
20_2_3_1,20260822,25/25/25/25,0.8701730091731672,0.05846021527103458,0.021352083293872025,0.010004764173415913,1.0,505
20_2_3_1,20260823,25/25/25/25,0.9021699443399703,0.042612661801195446,0.014708070925863213,0.016198189614101955,1.0,668
20_2_3_1,20260824,25/25/25/25,0.8760269586004352,0.05431444206014672,0.0163498841481301,0.03525488327775131,1.0,705
50_2_3_1,20260822,25/25/25/25,0.7711904097149286,0.15767150421962733,0.01701385842559432,0.06045895851721095,1.0,517
50_2_3_1,20260823,25/25/25/25,0.7855437244523108,0.12239731553507797,0.020078871637623275,0.0,1.0,549
50_2_3_1,20260824,25/25/25/25,0.9259384359199434,0.07282681972579536,0.01560124092308287,0.05516328331862312,1.0,542
100_2_3_1,20260822,30/30/10/30,0.7113242021253541,0.21299589598772506,0.014283211786698034,0.027649769585253458,1.0,619
100_2_3_1,20260823,30/30/10/30,0.5937256044787529,0.33692841061425854,0.012705338815025396,0.0,1.0,338
100_2_3_1,20260824,30/30/10/30,0.6037194045307578,0.307785750989455,0.011347652275242696,0.0,1.0,443
20_2_3_1,20260822,30/30/10/30,0.9051722502889004,0.054106285600749315,0.016476099088358735,0.014292520247737018,1.0,510
20_2_3_1,20260823,30/30/10/30,0.8618580138453453,0.07600732924881834,0.017193793282309168,0.004764173415912339,1.0,518
20_2_3_1,20260824,30/30/10/30,0.8069114894367165,0.12546699452797477,0.019453837777260972,0.01095759885659838,1.0,486
50_2_3_1,20260822,30/30/10/30,0.8332325169049184,0.1004724810813816,0.0158532638558521,0.0,1.0,573
50_2_3_1,20260823,30/30/10/30,0.6690694652481306,0.1832591022065678,0.018634504423865078,0.0,1.0,389
50_2_3_1,20260824,30/30/10/30,0.883913295041242,0.10036267935272628,0.01332431485235471,0.00176522506619594,1.0,699
100_2_3_1,20260822,30/30/30/10,0.468564782898649,0.37915317829578593,0.015368189313793043,0.0,1.0,255
100_2_3_1,20260823,30/30/30/10,0.5252054401261581,0.3566608658812827,0.014668615057985515,0.0,1.0,375
100_2_3_1,20260824,30/30/30/10,0.6767868119041147,0.21029695648165606,0.013776181750752748,0.0,1.0,585
20_2_3_1,20260822,30/30/30/10,0.8437069282353598,0.0677280379185008,0.017728290567296332,0.012863268222963315,1.0,543
20_2_3_1,20260823,30/30/30/10,0.9030055896233644,0.04595512054787312,0.01581997157931596,0.04525964745116722,1.0,748
20_2_3_1,20260824,30/30/30/10,0.9039934580066991,0.04189262823008697,0.0146376944792073,0.03334921391138637,1.0,620
50_2_3_1,20260822,30/30/30/10,0.8272076817276063,0.12460623184053532,0.012620450713902663,0.019417475728155338,1.0,378
50_2_3_1,20260823,30/30/30/10,0.8080260588607264,0.1237547612080508,0.01959551872376574,0.001323918799646955,1.0,458
50_2_3_1,20260824,30/30/30/10,0.8599945168541271,0.10253815904972137,0.014941403983179767,0.0,1.0,596
100_2_3_1,20260822,30/50/10/10,0.5015294088903991,0.35860283812930244,0.015566981825937715,0.0,1.0,227
100_2_3_1,20260823,30/50/10/10,0.7080365520264575,0.2628718462632983,0.010724802359541274,0.03792981212336051,1.0,602
100_2_3_1,20260824,30/50/10/10,0.5994685814049794,0.27303637693457167,0.021479710675103594,0.0,1.0,320
20_2_3_1,20260822,30/50/10/10,0.8748980565419661,0.05689293655879087,0.01709118938571763,0.0014292520247737017,1.0,541
20_2_3_1,20260823,30/50/10/10,0.870994914247211,0.08205203979310136,0.016381408527512742,0.008099094807050978,1.0,606
20_2_3_1,20260824,30/50/10/10,0.8246068333226946,0.1251126956074021,0.01660089382220985,0.016674606955693186,1.0,562
50_2_3_1,20260822,30/50/10/10,0.8238333980064942,0.09940571122473288,0.015930777629394488,0.010150044130626656,1.0,583
50_2_3_1,20260823,30/50/10/10,0.7887373044725481,0.12420000899182862,0.01358580352716523,0.0,1.0,448
50_2_3_1,20260824,30/50/10/10,0.8687712720333856,0.08030586697692052,0.016821544457226056,0.0,1.0,539
100_2_3_1,20260822,10/50/10/30,0.9116076431667746,0.11436655870272476,0.010347468906108832,0.18504076568592698,1.0,701
100_2_3_1,20260823,10/50/10/30,0.5135016333090029,0.385448573949119,0.014937456683462752,0.0,1.0,362
100_2_3_1,20260824,10/50/10/30,0.612106298390573,0.3066574441676036,0.018262688414743378,0.006380716058135413,1.0,274
20_2_3_1,20260822,10/50/10/30,0.8130044591059384,0.0748230526895349,0.020374258774796407,0.0033349213911386373,1.0,432
20_2_3_1,20260823,10/50/10/30,0.885159325704306,0.05614923616463264,0.020223479930372202,0.01095759885659838,1.0,426
20_2_3_1,20260824,10/50/10/30,0.8791742681366369,0.0592639162853668,0.017186508650112224,0.003811338732729871,1.0,586
50_2_3_1,20260822,10/50/10/30,0.7981620102927423,0.11294525854475276,0.017296971213790962,0.003089143865842895,1.0,524
50_2_3_1,20260823,10/50/10/30,0.8681467555531865,0.1170234205951367,0.01483066560172573,0.05163283318623124,1.0,472
50_2_3_1,20260824,10/50/10/30,0.8689855207174071,0.11737839736917094,0.011476942275792885,0.15489849955869373,1.0,724
100_2_3_1,20260822,10/50/30/10,0.6263420172699184,0.2859480018862726,0.01244143736934852,0.0,1.0,469
100_2_3_1,20260823,10/50/30/10,0.7676522584368959,0.18674775470795874,0.011256018746306752,0.0,1.0,422
100_2_3_1,20260824,10/50/30/10,0.6600422429013855,0.23824286931288166,0.01012645013816791,0.0,1.0,574
20_2_3_1,20260822,10/50/30/10,0.8663390090610343,0.05048433234218319,0.018979090816307432,0.058599333015721775,1.0,632
20_2_3_1,20260823,10/50/30/10,0.8416851752888276,0.06607090682669035,0.019544375663097448,0.03954263935207242,1.0,557
20_2_3_1,20260824,10/50/30/10,0.8564433127166746,0.056843361105387374,0.01859873669393853,0.0023820867079561697,1.0,488
50_2_3_1,20260822,10/50/30/10,0.8434921506494472,0.1011749619717851,0.014391589004155088,0.0,1.0,719
50_2_3_1,20260823,10/50/30/10,0.8367414196066281,0.07493055058384164,0.015384112599869486,0.00529567519858782,1.0,514
50_2_3_1,20260824,10/50/30/10,0.8519729621558693,0.09166360572714082,0.01773836425738424,0.041924095322153576,1.0,557
100_2_3_1,20260822,10/60/10/20,0.72336254028231,0.2354602418549199,0.01933050835015714,0.04182913860333215,1.0,367
100_2_3_1,20260823,10/60/10/20,0.49956951688832474,0.3970634300669141,0.014617039950293776,0.0,1.0,240
100_2_3_1,20260824,10/60/10/20,0.5646168554272051,0.3500365913989619,0.014491111399905053,0.0,1.0,370
20_2_3_1,20260822,10/60/10/20,0.8596637931289279,0.05330477711090276,0.015708830585703222,4.764173415912339E-4,1.0,915
20_2_3_1,20260823,10/60/10/20,0.88965571242308,0.0543208962709974,0.014501041635265409,0.010004764173415913,1.0,603
20_2_3_1,20260824,10/60/10/20,0.8789127632271866,0.07001341994803383,0.018016726315173308,0.0014292520247737017,1.0,500
50_2_3_1,20260822,10/60/10/20,0.7765497645249417,0.11708614116992297,0.01967077612654253,0.0,1.0,428
50_2_3_1,20260823,10/60/10/20,0.8431134592034054,0.0975944621580136,0.014300632924270374,0.04677846425419241,1.0,567
50_2_3_1,20260824,10/60/10/20,0.7225149738108934,0.15350637721979749,0.013752546117328015,0.0,1.0,584
100_2_3_1,20260822,10/60/20/10,0.6674990158973871,0.24027490712428026,0.019372138140956036,0.0,1.0,337
100_2_3_1,20260823,10/60/20/10,0.6423996519475745,0.273145419455289,0.016175545069435835,0.008507621410847217,1.0,499
100_2_3_1,20260824,10/60/20/10,0.5621919209385319,0.2818661137806164,0.01185880462492918,0.0,1.0,609
20_2_3_1,20260822,10/60/20/10,0.8509354718119564,0.05876792951012609,0.02116266876588391,0.003811338732729871,1.0,486
20_2_3_1,20260823,10/60/20/10,0.8576839103437175,0.06857731959090271,0.017997849687169987,0.0,1.0,438
20_2_3_1,20260824,10/60/20/10,0.8760041417931884,0.05957921352009125,0.01963763759566513,0.004287756074321105,1.0,444
