campaign,comparison,instance,seed,arm,actualFE,utilizationRate,HV,IGD,Cmax,TEC,TWC,frontSize,sourceFile
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260911,A0,500000,1.0,0.6914077406767547,0.15223299850522148,549.931013568127,51190.46028654991,81305.63779306815,151,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260911,A2,500000,1.0,0.7544023130085913,0.1283489571609799,549.8919391680756,51194.415720641446,80784.79562997608,414,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260912,A0,500000,1.0,0.702595661099951,0.13649732635475784,558.2598366717546,52327.46554487713,80411.27359415816,247,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260912,A2,500000,1.0,0.7896406422002049,0.07953371321610321,545.895063925272,51427.26614176601,80930.49986830598,230,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260913,A0,498003,0.996006,0.7080842212385225,0.1344081569040993,602.6372377808871,51842.96370590488,81120.55494808032,243,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260913,A2,500000,1.0,0.7672738124255841,0.10341482474976715,557.0896774647563,51571.050082553455,82580.84866304041,462,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260914,A0,500000,1.0,0.653150169517498,0.14945731839916063,543.1624646013717,52631.944863776116,82133.18850355921,199,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260914,A2,500000,1.0,0.8170067536707195,0.08324050909812909,560.6847857270351,51591.018077067965,80408.54678961569,255,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260915,A0,499349,0.998698,0.6961548257245757,0.14222362934223426,555.7641211562001,53008.76331233423,80534.86586532932,206,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_2_5_1,20260915,A2,500000,1.0,0.9157783027100566,0.06712678809648162,526.8121681181668,47669.0776741825,77597.66575720739,249,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
V35-A2-FINAL-CANDIDATE-CONFIRMATION,A0_vs_A2,100_8_3_1,20260911,A0,495884,0.991768,0.6017735378014712,0.11846507943932474,1357.3827114899266,206650.0949014247,428369.3291252468,235,docs/evidence/V35-A2-FINAL-CANDIDATE-CONFIRMATION/04-analysis/analysis/metrics.csv
