instance,seed,arm,cycle,fe,cmaxGap,tecGap,twcGap,workingBestCmax,archiveBestCmax,workingSize,archiveSize
100_2_4_1,20260901,A2_CFVF,1,31503,0.0,0.0,0.0,620.1836997274739,620.1836997274739,100,43
100_2_4_1,20260901,A2_CFVF,2,50000,0.0,0.0,666.598692863743,620.1836997274739,620.1836997274739,100,61
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,1,6803,0.0,318.0411011139804,276.07454326425795,640.2915486193954,640.2915486193954,100,16
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,2,13673,0.0,0.0,1475.2784789068683,620.7156726266028,620.7156726266028,100,50
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,3,20875,0.0,254.39722018018074,2483.203141266349,619.4607256126169,619.4607256126169,100,86
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,4,28652,0.0,228.4566405802252,1797.8480178633763,603.6305722964004,603.6305722964004,100,70
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,5,37442,0.0,109.68871441815281,626.8249951932667,603.6305722964004,603.6305722964004,100,63
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,6,48269,0.0,0.0,356.38316885799577,603.6305722964004,603.6305722964004,100,104
100_2_4_1,20260902,A2_CFVF,1,30774,0.0,0.0,0.0,621.8799906687234,621.8799906687234,100,48
100_2_4_1,20260902,A2_CFVF,2,50000,0.0,433.8079316514413,0.0,621.8799906687234,621.8799906687234,100,71
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,1,6803,0.0,306.3324208650665,1472.4667225862504,613.1124962240324,613.1124962240324,100,29
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,2,13673,0.0,816.1296607314362,0.0,613.1124962240324,613.1124962240324,100,52
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,3,20875,0.0,279.5983587687515,394.8044299251342,602.85439663451,602.85439663451,100,93
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,4,28652,0.0,304.2165447205116,143.76054745115107,598.4949486441069,598.4949486441069,100,78
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,5,37442,0.0,100.97293894208269,150.86308765788272,598.4949486441069,598.4949486441069,100,117
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,6,48269,0.0,406.3521753188106,625.2927807474771,597.0178017161401,597.0178017161401,100,131
100_2_4_1,20260903,A2_CFVF,1,32056,0.0,0.0,0.0,600.5778129881518,600.5778129881518,100,104
100_2_4_1,20260903,A2_CFVF,2,50000,0.0,0.0,861.2442432551179,600.5778129881518,600.5778129881518,100,97
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,1,6803,0.0,4.6532323118372005,0.0,627.9461535409445,627.9461535409445,100,12
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,2,13673,0.0,63.28510452257615,664.8464138721902,620.3775333080018,620.3775333080018,100,46
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,3,20875,0.0,212.67625089624926,482.6858434498863,616.0485395735814,616.0485395735814,100,57
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,4,28652,0.0,335.0519123463964,401.65662205983244,616.0485395735814,616.0485395735814,100,47
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,5,37442,0.0,50.80814988344355,0.0,609.8587650483703,609.8587650483703,100,97
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,6,48269,0.0,0.0,0.0,609.8587650483703,609.8587650483703,100,135
100_2_5_1,20260911,A0_BASELINE,1,18459,0.0,0.0,0.0,610.5653944312032,610.5653944312032,100,45
100_2_5_1,20260911,A0_BASELINE,2,36736,0.0,0.0,0.0,610.5653944312032,610.5653944312032,100,77
100_2_5_1,20260911,A0_BASELINE,3,50000,0.0,189.32223917377996,20.244868072259123,610.5653944312032,610.5653944312032,100,71
100_2_5_1,20260911,A2_CFVF,1,30487,3.9442140092262434,0.0,0.0,611.0650981647925,607.1208841555663,100,74
