fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,680.191710884051,680.191710884051,680.191710884051,680.191710884051,680.191710884051,,680.191710884051,,49634.711551449550,84202.210056238720,49634.711551449550,84202.210056238720
2000,680.191710884051,680.191710884051,681.468141336976,672.902050643473,672.902050643473,,672.902050643473,,48539.327511298560,83578.046746921780,48539.327511298560,83578.046746921780
3000,670.274564011709,670.274564011709,670.274564011709,670.274564011709,670.274564011709,,670.274564011709,,47559.683377464420,79405.341065392150,47042.269164050800,77260.756642840050
4000,653.700744607367,653.700744607367,679.436205793815,653.700744607367,666.192955520748,,653.700744607367,,46047.618252880350,77260.756642840050,46047.618252880350,77260.756642840050
5000,652.696694245307,652.696694245307,667.760085510376,649.671778653676,652.696694245307,,649.671778653676,,45551.435765155315,75587.384589728960,45551.435765155315,75587.384589728960
6000,649.671778653676,649.671778653676,661.916755302260,649.671778653676,652.696694245307,,658.247458506404,,45551.435765155315,75587.384589728960,45551.435765155315,75587.384589728960
7000,649.671778653676,649.671778653676,661.916755302260,626.921554963469,626.921554963469,,626.921554963469,,45551.435765155315,75587.384589728960,45551.435765155315,75587.384589728960
8000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,621.879990668723,,45551.435765155315,75587.384589728960,45551.435765155315,75587.384589728960
9000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,634.767600495571,,45551.435765155315,75587.384589728960,45551.435765155315,75587.384589728960
10000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,660.795128908890,,45551.435765155315,75587.384589728960,45491.447635613220,75587.384589728960
11000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,675.231084800331,,45551.435765155315,75587.384589728960,45491.447635613220,75566.419842420010
12000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,683.208568772425,,45551.435765155315,75587.384589728960,45491.447635613220,75566.419842420010
13000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,683.208600679431,,45551.435765155315,75587.384589728960,45180.572630589595,74502.341441548150
14000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,697.676998765253,,45551.435765155315,75587.384589728960,45180.572630589595,74502.341441548150
15000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,675.033131510354,,45551.435765155315,75587.384589728960,45180.572630589595,74502.341441548150
16000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,656.361729798393,,45551.435765155315,75587.384589728960,45039.539563502520,74502.341441548150
17000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,655.461877241581,,45551.435765155315,75587.384589728960,45039.539563502520,74502.341441548150
18000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,664.026711233999,,45551.435765155315,75587.384589728960,45039.539563502520,74372.515386020530
19000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,685.873037213709,,45551.435765155315,75587.384589728960,45039.539563502520,74372.515386020530
20000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,695.778429397022,,45551.435765155315,75587.384589728960,45039.539563502520,74372.515386020530
21000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,748.837563753082,,45551.435765155315,75587.384589728960,44906.049363597970,74372.515386020530
22000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,796.227758637540,,45551.435765155315,75587.384589728960,44328.250880946750,74372.515386020530
23000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,768.301094055666,,45551.435765155315,75587.384589728960,44328.250880946750,74372.515386020530
24000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,725.120843558707,,45551.435765155315,75587.384589728960,44328.250880946750,74372.515386020530
25000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,750.259675529543,,45551.435765155315,75587.384589728960,44328.250880946750,74372.515386020530
26000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,718.532254751409,,45551.435765155315,75587.384589728960,44328.250880946750,72115.994825937550
27000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,703.203448544412,,45551.435765155315,75587.384589728960,44328.250880946750,72115.994825937550
28000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,684.057723322788,,45551.435765155315,75587.384589728960,44328.250880946750,72115.994825937550
29000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,683.892747216060,,45551.435765155315,75587.384589728960,44328.250880946750,72115.994825937550
30000,649.671778653676,649.671778653676,661.916755302260,621.879990668723,621.879990668723,,714.168776494381,,45551.435765155315,75587.384589728960,44328.250880946750,72115.994825937550
