candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,1167.972184153017,67401.170308123630,137250.723110837370,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,32cdc6321cabe5c987d85b0e491a5623b46b170add289ffca2abc78b38c81c76
2,INITIAL,-1,true,true,2,0,1158.752922280400,70231.415799246080,166350.001305106040,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,389df9c75c0231861a258a7bb4beef18980543d16d47019e12da576a4ec6c814
3,INITIAL,-1,true,true,3,0,994.153652631469,70035.776539226150,147680.532432269040,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,0dac32203036806a49973e8018089a6a0b39e6523eee06781356ac62692f8b25
4,INITIAL,-1,true,true,4,0,856.390865674713,67057.948205481470,136147.578394247340,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,5,1,100,300,1,1,583eba61bba4aaff4cd68edf1632d0d1591371676c1941b23759af8a2d6f1d97
5,INITIAL,-1,true,true,64,0,819.259586342478,67984.377687368190,142895.807542455700,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,20,1,3,1,100,400,1,1,2af37cff0f969fa5ae050c59fe391f8e12a2f0be90dc574c1e054823d254340c
6,GLOBAL_SLOT_G1_CMAX,-1,true,true,209,1,764.480867664574,70195.427440457250,149051.535767117220,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,6,1,300,600,1,1,c4c9bab7fd60b6b0b852c39af13ff54b6db3c0f1abc31a272b2c0fb72732050c
7,GLOBAL_SLOT_G1_CMAX,-1,true,true,215,1,724.350137913762,67246.730203322660,139813.520725960580,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,40,1,2,1,300,400,1,1,7c15293f1c6454dc49362dfe03d3df0996199cee861c32256d2997a0682b532a
8,GLOBAL_SLOT_G1_CMAX,-1,true,true,402,1,673.431982104367,66918.475444262120,149941.458766600380,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,16,1,500,3300,1,1,867e74fc4f96f41afedbf9aa47ef7fa117f4702b57e96061be8c291112798075
9,GLOBAL_SLOT_G1_CMAX,-1,true,true,609,1,647.855303744999,68477.111144535900,135340.194508798160,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,1,1,700,700,1,1,6b2658195053ed0cc00c6708ee128f8c21c336febe6714698d56b96c1206c7a8
10,GLOBAL_SLOT_G4_BALANCED,-1,true,true,941,1,642.297885108828,67137.799973201650,126768.370938609050,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,3,1,1000,1100,1,1,375ec6ea00383fde915c685384aa800ccf4f9d162ad1770fa0618936afc56190
