fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,880.720468458650,880.720468458650,889.653778298036,880.720468458650,907.922466787744,,880.720468458650,,125798.759231781950,375010.626575138500,125798.759231781950,375010.626575138500
2000,840.731950098292,840.731950098292,857.980309686676,840.731950098292,840.731950098292,,840.731950098292,,124137.054412045600,354976.936237001200,124137.054412045600,354976.936237001200
3000,839.900405402015,839.900405402015,848.364102549108,839.900405402015,839.900405402015,,839.900405402015,,122963.565612399530,354976.936237001200,122963.565612399530,354976.936237001200
4000,839.900405402015,839.900405402015,859.967230228610,839.900405402015,839.900405402015,,852.139091978774,,122963.565612399530,354976.936237001200,122963.565612399530,354976.936237001200
5000,832.228370385068,832.228370385068,881.741720977046,832.228370385068,832.228370385068,,832.228370385068,,122963.565612399530,352236.742131941950,122963.565612399530,352236.742131941950
6000,832.228370385068,832.228370385068,870.689406975918,807.956408200251,807.956408200251,,807.956408200251,,122963.565612399530,352236.742131941950,122963.565612399530,352236.742131941950
7000,807.956408200251,807.956408200251,863.527417160466,807.956408200251,807.956408200251,807.956408200251,835.247986127351,807.956408200251,122580.902882638040,352236.742131941950,122580.902882638040,352236.742131941950
8000,807.956408200251,807.956408200251,846.065697362758,807.956408200251,807.956408200251,807.956408200251,833.971235104331,,121815.465892026330,349304.426295362200,121700.270882141660,347749.550546054150
9000,807.956408200251,807.956408200251,831.691713801204,807.956408200251,807.956408200251,807.956408200251,821.605756609748,,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
10000,807.956408200251,807.956408200251,818.486937208316,807.956408200251,807.956408200251,807.956408200251,818.486937208316,,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
11000,807.956408200251,807.956408200251,828.469103755751,807.956408200251,807.956408200251,807.956408200251,823.821909100879,,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
12000,807.956408200251,807.956408200251,833.190804463752,807.956408200251,807.956408200251,807.956408200251,818.021847807888,,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
13000,807.956408200251,807.956408200251,833.190804463752,777.955931577906,777.955931577906,807.956408200251,777.955931577906,,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
14000,777.955931577906,777.955931577906,821.669077216893,777.955931577906,777.955931577906,777.955931577906,817.432842192815,777.955931577906,121341.875325781880,338595.765080750800,121341.875325781880,338595.765080750800
15000,777.955931577906,777.955931577906,816.218243867747,777.955931577906,777.955931577906,777.955931577906,798.314333143271,,121211.387567175960,336622.820165487000,121211.387567175960,336622.820165487000
16000,777.955931577906,777.955931577906,796.672540967893,777.955931577906,777.955931577906,777.955931577906,796.672540967893,,121211.387567175960,336622.820165487000,121211.387567175960,336622.820165487000
17000,777.955931577906,777.955931577906,812.276196426604,777.955931577906,777.955931577906,777.955931577906,805.157629468538,,121211.387567175960,336622.820165487000,121211.387567175960,336622.820165487000
18000,777.955931577906,777.955931577906,807.750794284305,777.955931577906,777.955931577906,777.955931577906,803.179714658486,,120806.940701640040,336622.820165487000,120806.940701640040,336622.820165487000
19000,777.955931577906,777.955931577906,811.155250912270,777.955931577906,777.955931577906,777.955931577906,798.656604984693,,120641.360958324350,336622.820165487000,120641.360958324350,336622.820165487000
20000,777.955931577906,777.955931577906,811.155250912270,777.955931577906,777.955931577906,777.955931577906,784.461836543156,,120641.360958324350,336622.820165487000,120641.360958324350,336622.820165487000
21000,777.955931577906,777.955931577906,811.908595432403,777.955931577906,777.955931577906,777.955931577906,777.995988294192,777.955931577906,120641.360958324350,336622.820165487000,120641.360958324350,336622.820165487000
22000,777.955931577906,777.955931577906,803.925770033058,777.955931577906,777.955931577906,777.955931577906,799.990341022899,,120641.360958324350,336622.820165487000,120641.360958324350,336622.820165487000
23000,777.955931577906,777.955931577906,804.079060192848,777.955931577906,777.955931577906,777.955931577906,796.310436932402,,120641.360958324350,336621.818095324900,120641.360958324350,336621.818095324900
24000,777.955931577906,777.955931577906,796.310436932402,777.955931577906,777.955931577906,777.955931577906,794.230223692247,,120641.360958324350,331548.385921832400,120641.360958324350,331548.385921832400
25000,777.955931577906,777.955931577906,802.210009320589,777.955931577906,777.955931577906,777.955931577906,796.822061380973,,120320.843375750350,331548.385921832400,120320.843375750350,331548.385921832400
