generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,1,G1_CMAX,0.25975592944084086,0.3458405468730789,0.5692859434784054,0.16336483803914764,0.3079201009820979,WOR,MAC,0.5692859434784054,0.3458405468730789,0.22344539660532653,false,BAL,FULL_MASK_AUDIT,28,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,1,G1_CMAX,0.21108339014423838,0.37283669056261515,0.6481410198480602,0.15566246078645318,0.36977599344646706,WOR,MAC,0.6481410198480602,0.37283669056261515,0.275304329285445,false,BAL,FULL_MASK_AUDIT,24,N1|N2|N3|N4|N5,APPLY,N3
1,5106,2,0,G1_CMAX,0.4799530430857559,0.5419381874853793,0.6697047057652925,0.17095705201277125,0.41609007313540625,WOR,MAC,0.6697047057652925,0.5419381874853793,0.12776651827991325,false,BAL,FULL_MASK_AUDIT,27,N1|N2|N3|N4|N5,APPLY,N3
1,5107,3,0,G1_CMAX,0.4370293132465246,0.4138781285622715,0.6469304998951557,0.16032325226734248,0.3449813406541149,WOR,SEQ,0.6469304998951557,0.4370293132465246,0.2099011866486311,false,BAL,FULL_MASK_AUDIT,28,N1|N2|N3|N4|N5,APPLY,N3
1,5108,4,1,G1_CMAX,0.2174836862097344,0.38741779913428187,0.6343812741814276,0.1637197400508939,0.35009946086457455,WOR,MAC,0.6343812741814276,0.38741779913428187,0.24696347504714578,false,BAL,FULL_MASK_AUDIT,26,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5113,5,1,G1_CMAX,0.29118257398155234,0.4811002483927571,0.5709751114913408,0.15761562240537041,0.36492868871587775,WOR,MAC,0.5709751114913408,0.4811002483927571,0.08987486309858372,false,BAL,FULL_MASK_AUDIT,22,N1|N2|N3|N4|N5,APPLY,N3
1,5114,6,1,G1_CMAX,0.19132873204095363,0.3199977367657838,0.6440830680717123,0.18023953883593669,0.3220241119832744,WOR,FAT,0.6440830680717123,0.3220241119832744,0.32205895608843793,false,BAL,FULL_MASK_AUDIT,26,N1|N2|N3|N4|N5,APPLY,N3
1,5115,7,1,G1_CMAX,0.2197440510732065,0.37642393365913374,0.611527959083629,0.15099315622651427,0.3496389151232845,WOR,MAC,0.611527959083629,0.37642393365913374,0.23510402542449527,false,BAL,FULL_MASK_AUDIT,28,N1|N2|N3|N4|N5,APPLY,N3
1,5116,8,1,G1_CMAX,0.5327697436643117,0.3789910818086144,0.7112325548223914,0.1397228439384602,0.37148801500641104,WOR,SEQ,0.7112325548223914,0.5327697436643117,0.17846281115807971,false,BAL,FULL_MASK_AUDIT,21,N1|N2|N3|N4|N5,APPLY,N3
1,5117,9,1,G1_CMAX,0.18589678660349912,0.3644605949512232,0.6353870683942423,0.17520844838229882,0.32784699431199715,WOR,MAC,0.6353870683942423,0.3644605949512232,0.2709264734430191,false,BAL,FULL_MASK_AUDIT,28,N1|N2|N3|N4|N5,APPLY,N3
1,5118,10,1,G1_CMAX,0.3233868770491073,0.3856797499076061,0.6325001589869872,0.16495608378885165,0.38080891016801877,WOR,MAC,0.6325001589869872,0.3856797499076061,0.24682040907938108,false,BAL,FULL_MASK_AUDIT,25,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5123,11,1,G1_CMAX,0.26555222677805684,0.3965696713169526,0.6218235177028906,0.1609981556540565,0.38291581960739085,WOR,MAC,0.6218235177028906,0.3965696713169526,0.22525384638593798,false,BAL,FULL_MASK_AUDIT,22,N1|N2|N3|N4|N5,APPLY,N3
1,5124,12,1,G1_CMAX,0.26664860883861824,0.4598357840504639,0.6109990028459468,0.15412562568797858,0.29540466178308017,WOR,MAC,0.6109990028459468,0.4598357840504639,0.1511632187954829,false,BAL,FULL_MASK_AUDIT,29,N1|N2|N3|N4|N5,APPLY,N3
1,5125,13,0,G1_CMAX,0.3767533028749732,0.5010411045190782,0.6577852185243281,0.17507516493653658,0.3889688197015818,WOR,MAC,0.6577852185243281,0.5010411045190782,0.1567441140052499,false,BAL,FULL_MASK_AUDIT,29,N1|N2|N3|N4|N5,APPLY,N4
1,5126,14,1,G1_CMAX,0.27747616849429424,0.3986191246196909,0.6041776299457753,0.17059564123231805,0.3134808496994154,WOR,MAC,0.6041776299457753,0.3986191246196909,0.20555850532608438,false,BAL,FULL_MASK_AUDIT,32,N1|N2|N3|N4|N5,APPLY,N3
1,5127,15,2,G1_CMAX,0.4939558081987001,0.4457376647067859,0.7046434838508264,0.17110312063250127,0.49353478717781185,WOR,SEQ,0.7046434838508264,0.4939558081987001,0.21068767565212632,false,BAL,FULL_MASK_AUDIT,28,N1|N2|N3|N4|N5,APPLY,N3
1,5128,16,0,G1_CMAX,0.1963403510009567,0.540670472077923,0.6587650205093313,0.1757783940218754,0.39118639958867,WOR,MAC,0.6587650205093313,0.540670472077923,0.11809454843140832,false,BAL,FULL_MASK_AUDIT,29,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5133,17,2,G1_CMAX,0.48925640689871874,0.43977103350411084,0.7202198624296388,0.16131395677375177,0.4518017504002262,WOR,SEQ,0.7202198624296388,0.48925640689871874,0.23096345553092001,false,BAL,FULL_MASK_AUDIT,25,N1|N2|N3|N4|N5,APPLY,N3
1,5134,18,0,G1_CMAX,0.2064595956698924,0.5704776004240255,0.6202596883537312,0.1729827068894672,0.38010081192217315,WOR,MAC,0.6202596883537312,0.5704776004240255,0.04978208792970573,false,BAL,FULL_MASK_AUDIT,27,N1|N2|N3|N4|N5,APPLY,N3
1,5135,19,0,G1_CMAX,0.4499320637775848,0.5282942417860643,0.6359943255943499,0.17491179933156076,0.36345655049464354,WOR,MAC,0.6359943255943499,0.5282942417860643,0.10770008380828555,false,BAL,FULL_MASK_AUDIT,26,N1|N2|N3|N4|N5,APPLY,N3
1,5136,20,1,G4_BALANCED,0.3544843801813735,0.40476732552626316,0.6791316388628781,0.15300010468849615,0.3871826210542898,WOR,MAC,0.6791316388628781,0.40476732552626316,0.27436431333661493,false,BAL,FULL_MASK_AUDIT,22,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5141,21,1,G4_BALANCED,0.3667076083296559,0.3568225221398656,0.6892517891710209,0.16041061443649962,0.3923184507019398,WOR,FAT,0.6892517891710209,0.3923184507019398,0.2969333384690811,false,BAL,FULL_MASK_AUDIT,38,N1|N2|N3|N4|N5,APPLY,N5
1,5142,22,1,G4_BALANCED,0.29725238030031126,0.2883088315518777,0.6745620620683139,0.15715609642973938,0.3590754279717305,WOR,FAT,0.6745620620683139,0.3590754279717305,0.31548663409658345,false,BAL,FULL_MASK_AUDIT,36,N1|N2|N3|N4|N5,APPLY,N5
1,5143,23,1,G4_BALANCED,0.24224580774805393,0.3126867774293064,0.6565217229707195,0.1660501576295263,0.3625013551446511,WOR,FAT,0.6565217229707195,0.3625013551446511,0.29402036782606844,false,BAL,FULL_MASK_AUDIT,29,N1|N2|N3|N4|N5,APPLY,N5
1,5144,24,1,G4_BALANCED,0.38655759824539326,0.38504912994700624,0.6186792599779257,0.15891320092536204,0.3660502762899779,WOR,SEQ,0.6186792599779257,0.38655759824539326,0.23212166173253246,false,BAL,FULL_MASK_AUDIT,23,N1|N2|N3|N4|N5,APPLY,N5
