fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,1643.670686416045,1643.670686416045,1643.670686416045,1643.670686416045,1643.670686416045,,1643.670686416045,,218224.376831455200,586687.645938491400,217149.368496213980,570951.884835619400
2000,1536.164618849937,1536.164618849937,1536.164618849937,1522.827352925002,1522.827352925002,,1522.827352925002,,215948.143037726460,535429.453926002600,215948.143037726460,534524.181803025300
3000,1521.063632609594,1521.063632609594,1571.489407828853,1521.063632609594,1522.393294577174,,1521.063632609594,,215066.089757002980,512339.678552035100,215066.089757002980,512339.678552035100
4000,1511.014893513009,1511.014893513009,1556.818973099307,1507.582718171604,1507.582718171604,,1507.582718171604,,214326.884202556800,497815.999659317430,214119.512936506940,497815.999659317430
5000,1467.104447705361,1467.104447705361,1467.104447705361,1461.201739182674,1461.201739182674,,1461.201739182674,,213358.036251149550,493393.646886753100,213358.036251149550,492244.697350251260
6000,1461.201739182674,1461.201739182674,1478.902994152425,1461.201739182674,1461.201739182674,,1464.123591555689,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
7000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1416.577033573956,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
8000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1458.413870925348,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
9000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1475.978717410109,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
10000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1488.479854081249,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
11000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2151.970912000607,,212792.722533067570,491656.987605458000,212792.722533067570,491656.987605458000
12000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1483.737866884532,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
13000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1556.161047053181,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
14000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1815.869059651440,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
15000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1517.458453065159,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
16000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1591.264770416482,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
17000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1707.696062346256,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
18000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1545.298380972426,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
19000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1611.700256600431,,212792.722533067570,491656.987605458000,210989.781459487040,491656.987605458000
20000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,1675.838839537393,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
21000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2130.783640840537,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
22000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2194.838857759643,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
23000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2182.125440296606,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
24000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2187.843957333222,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
25000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2116.240389733985,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
26000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2137.117814317904,,212792.722533067570,491656.987605458000,210989.781459487040,488077.534864848800
27000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2137.702627340279,,212792.722533067570,491656.987605458000,210989.781459487040,486673.835382591470
28000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2094.367967361764,,212792.722533067570,491656.987605458000,210989.781459487040,481180.910390638160
29000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2081.722344398481,,212792.722533067570,491656.987605458000,210989.781459487040,478405.097817187400
30000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2138.423516670501,,212792.722533067570,491656.987605458000,210989.781459487040,478405.097817187400
31000,1461.201739182674,1461.201739182674,1478.902994152425,1416.577033573956,1416.577033573956,,2192.176834161235,,212792.722533067570,491656.987605458000,210989.781459487040,478405.097817187400
32000,1416.577033573956,1416.577033573956,1497.898565076591,1416.577033573956,1416.577033573956,1416.577033573956,1461.344882127814,1416.577033573956,211431.508771355320,478405.097817187400,210989.781459487040,478405.097817187400
33000,1416.577033573956,1416.577033573956,1464.039131477249,1416.577033573956,1416.577033573956,1416.577033573956,1464.039131477249,,211431.508771355320,477102.705090404600,210989.781459487040,477102.705090404600
34000,1416.577033573956,1416.577033573956,1440.566910607722,1416.577033573956,1416.577033573956,1416.577033573956,1440.566910607722,,211431.508771355320,468422.942393917400,210989.781459487040,468422.942393917400
35000,1416.577033573956,1416.577033573956,1440.980192725487,1416.577033573956,1416.577033573956,1416.577033573956,1422.426587388365,,211178.248229372200,461299.642419392500,210989.781459487040,461299.642419392500
36000,1416.577033573956,1416.577033573956,1430.140723227773,1416.577033573956,1416.577033573956,1416.577033573956,1428.999954004248,,210744.467149030900,458094.501793864650,210744.467149030900,458094.501793864650
37000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1382.292388263837,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
38000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1413.605490444993,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
39000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1419.174349151611,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
40000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1415.323046073206,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
41000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1405.844746203721,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
42000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1425.648158474155,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
43000,1414.928020531233,1414.928020531233,1415.153818614374,1382.292388263837,1382.292388263837,1416.577033573956,1544.137303795753,,210744.467149030900,457394.017701966860,210744.467149030900,457394.017701966860
