candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,3288.622443270766,225994.872333241480,702887.150537233600,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,9b0b6be783d503b2d88481aec814fca2205206964e321e65c2ade4baf7a8e4e1
2,INITIAL,-1,true,true,2,0,2839.999558517849,226646.832517764330,733061.520778080100,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,5dd6b108a37219c6ff40998512c8781e88c3bea2f69045b2c7254e0ca5276b1c
3,INITIAL,-1,true,true,3,0,2149.958014736533,226229.293054473530,729550.992691062600,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6cd6560670c526bead00ac982c572f075b54c6df5728f3947d9efa8f50720301
4,INITIAL,-1,true,true,15,0,2067.808713481886,225948.721679498100,731208.928756223500,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,df5a9bf7073054445c87250fe1e52672833ee8f186f871f42786d94c6c943344
5,INITIAL,-1,true,true,60,0,2060.455813451808,226205.269091444380,728397.155157087500,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,626ee7a6a3b2f12358e5cfeb8f726e2374441b4283c2bd6a613af94fa62292d4
6,INITIAL,-1,true,true,83,0,2055.915889102862,225456.269515449530,715004.759081233900,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,97b913e79636a1b278679723cd4acbeba0035bd7ce708c937737515b649b2301
7,GLOBAL_SLOT_G1_CMAX,-1,true,true,101,1,2003.083572119708,225083.991914317100,748210.707570541800,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,9f3546b5facf8cb62b05503ff5bb0bb7afd35ee009307fde1d123835de2863ac
8,GLOBAL_SLOT_G4_BALANCED,-1,true,true,122,1,1975.052166995770,228030.090335114000,757011.886321520900,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,e73e2e483b3f6c3e608320e0b2f8a2742c4be0932f36978039f6a2ac1804e812
9,GLOBAL_SLOT_G4_BALANCED,-1,true,true,225,1,1970.397625150259,226472.526411562800,741860.897630433000,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,c43d9414e584138aed1a311b59ea6c76c000272b7c079da8a1628a240450c8c9
10,GLOBAL_SLOT_G4_BALANCED,-1,true,true,227,1,1950.228709252823,225593.288896260030,768289.857394443600,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,e51ee05643d530b51342df8c3f69289a86792a9d1ba74db87b5e21dc7b7beecb
11,GLOBAL_SLOT_G1_CMAX,-1,true,true,301,1,1920.873889871281,229516.583764314000,802749.181061028000,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,280aa3a3018b6663b94b6e5f727ef23304a4b125fea4a3a3bf3522e33ef62e58
12,GLOBAL_SLOT_G1_CMAX,-1,true,true,308,1,1911.952291352217,227988.721274524050,792273.740460226400,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,690207f0c5285b40f436f843e951af74adef88ebc3cbb8a0c22be357bd0eb262
13,GLOBAL_SLOT_G1_CMAX,-1,true,true,405,1,1842.707181123647,228072.256973653770,800808.791949246900,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a24fadf20dc04f68c919266fc6af5cd80170e63e48af25b82522703ce6e23f2e
14,GLOBAL_SLOT_G1_CMAX,-1,true,true,406,1,1744.016652247439,225265.785177242130,712218.370596019600,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,63c468cc226157da02f343a3236c3602512c6fdc850927c4a03c82b958006c4a
15,GLOBAL_SLOT_G1_CMAX,-1,true,true,607,1,1742.684396127834,225160.240831024000,751881.857648161900,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,8ff2bdcca595439520da96402e03348c7d34be0a87001a2407f8c04f188d8a65
16,GLOBAL_SLOT_G1_CMAX,-1,true,true,801,1,1643.670686416045,224076.593638406160,720312.101392046500,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,2b29481aa662e1c99f2e99cadc7e891116278575f6114d8662199fa3ceda95f5
17,GLOBAL_SLOT_G4_BALANCED,-1,true,true,1134,1,1624.364748608347,224996.266237374220,711195.166687565300,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,32a040a0c4b94c2d113c68d19ba0886d5528d31023903f273802c87b0510786c
18,GLOBAL_SLOT_G4_BALANCED,-1,true,true,1341,1,1619.709235102385,224976.861386291500,695660.493503618600,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,eace92551e4621a4a9fb38857a04140663a6906a6cbb5e1494d71f84244dfb75
19,GLOBAL_SLOT_G1_CMAX,-1,true,true,1401,1,1595.253299679628,223998.795773438760,693617.442168035500,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,479bbcf9af1300d72f1b084e3ba39d5bbfeed3dd4dff6262f50cf3ab712ab12a
20,GLOBAL_SLOT_G1_CMAX,-1,true,true,1407,1,1570.302854100849,223460.157172588800,678915.947668549100,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4079f7a9a9da9d3d20f5d46d6bca8352e879bcd15ecbf698b81f47bfb6424c32
21,GLOBAL_SLOT_G1_CMAX,-1,true,true,1501,1,1564.198119829491,223983.273469220320,687904.532348810700,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,a0b07a07d8a2c077940a26dcbaa39b87bc4d2bf69dba590d941f229f1376fa73
22,GLOBAL_SLOT_G1_CMAX,-1,true,true,1708,1,1552.670716829491,226657.334685178330,724096.494376662700,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,a37d995af7e1c9d3341b2a43125c8c94b43ea3c55da402b08e35086884c21715
