fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,874.806937398913,874.806937398913,874.806937398913,874.806937398913,877.742764637238,,874.806937398913,,123684.503594801760,350281.474817425000,122376.630366010970,349165.883649986400
2000,859.617989195821,859.617989195821,885.776184544128,859.617989195821,859.617989195821,,859.617989195821,,121010.115688427600,346273.065241789300,121010.115688427600,345537.539674826100
3000,843.362123555609,843.362123555609,846.192710502124,838.837203832631,838.837203832631,,838.837203832631,,119694.137198116100,338420.232852420500,119694.137198116100,338420.232852420500
4000,822.115741842883,822.115741842883,823.429095271018,821.893672629230,821.893672629230,,821.893672629230,,118835.225549396450,332207.639449264850,118835.225549396450,332207.639449264850
5000,821.893672629230,821.893672629230,844.460192751538,821.893672629230,821.893672629230,,828.752088645045,,117994.798156856790,322870.090465750000,117605.627174378940,322870.090465750000
6000,821.893672629230,821.893672629230,831.667599548042,804.135901334664,804.135901334664,,804.135901334664,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
7000,821.893672629230,821.893672629230,831.667599548042,804.135901334664,804.135901334664,,805.312990273679,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
8000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,802.742086371245,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
9000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,823.529640546697,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
10000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,831.841222478339,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
11000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,847.924547362127,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
12000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,890.344114470058,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
13000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,879.300788516198,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
14000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,837.444602909694,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
15000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,812.767961642467,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
16000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,852.656084733916,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
17000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,840.685437926707,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
18000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,854.746904009587,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
19000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,860.469523415572,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
20000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,858.295865009609,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
21000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,845.000979224065,,117605.627174378940,322870.090465750000,117605.627174378940,322870.090465750000
22000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,854.653955923663,,117605.627174378940,322870.090465750000,117528.652483282550,322870.090465750000
23000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,953.816488134057,,117605.627174378940,322870.090465750000,117528.652483282550,321302.894561490160
24000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,981.076904343996,,117605.627174378940,322870.090465750000,117528.652483282550,321302.894561490160
25000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,933.575141981415,,117605.627174378940,322870.090465750000,117528.652483282550,320769.120764412570
26000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,937.666075128344,,117605.627174378940,322870.090465750000,117528.652483282550,320769.120764412570
27000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,956.935605739327,,117605.627174378940,322870.090465750000,117528.652483282550,320769.120764412570
28000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,974.256053076558,,117605.627174378940,322870.090465750000,117528.652483282550,312491.596056320530
29000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,943.230797336754,,117605.627174378940,322870.090465750000,117528.652483282550,312491.596056320530
30000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,956.888274338895,,117605.627174378940,322870.090465750000,117528.652483282550,312491.596056320530
31000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,913.895606007343,,117605.627174378940,322870.090465750000,117528.652483282550,312491.596056320530
32000,821.893672629230,821.893672629230,831.667599548042,802.742086371245,802.742086371245,,900.576850293402,,117605.627174378940,322870.090465750000,117528.652483282550,312491.596056320530
33000,802.742086371245,802.742086371245,838.820745324391,802.742086371245,802.742086371245,802.742086371245,830.275741223877,802.742086371245,116704.993328793590,312491.596056320530,116704.993328793590,312491.596056320530
34000,802.742086371245,802.742086371245,826.914664260573,802.742086371245,802.742086371245,802.742086371245,825.135686664633,,115799.782211810150,312491.596056320530,115799.782211810150,312491.596056320530
35000,802.742086371245,802.742086371245,832.354973919063,802.742086371245,802.742086371245,802.742086371245,828.923981100300,,115799.782211810150,312491.596056320530,115799.782211810150,312491.596056320530
36000,802.742086371245,802.742086371245,832.501968527765,802.742086371245,802.742086371245,802.742086371245,832.501968527765,,115683.099515169540,312491.596056320530,115683.099515169540,312491.596056320530
37000,802.742086371245,802.742086371245,826.834409772385,802.742086371245,802.742086371245,802.742086371245,826.834409772385,,115311.693791325840,312491.596056320530,115311.693791325840,312491.596056320530
38000,802.742086371245,802.742086371245,859.140685338774,802.742086371245,802.742086371245,802.742086371245,827.913741630447,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
39000,802.742086371245,802.742086371245,859.140685338774,802.742086371245,802.742086371245,802.742086371245,808.319327875123,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
40000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,790.016835586742,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
41000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,808.988004077627,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
42000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,839.440244450816,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
43000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,806.659175267197,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
44000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,818.570854708910,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
45000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,871.875585319030,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
46000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,857.052824578230,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
47000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,825.109027993862,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
48000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,869.788720412991,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
49000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,867.697468841243,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
50000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,859.913980747177,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
51000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,897.435109507797,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
52000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,877.746763199902,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
53000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,858.652687098555,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
54000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,873.757939650326,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
55000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,902.309894842936,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
56000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,910.609626928805,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
57000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,911.374088601042,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
58000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,916.770490011474,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
59000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,986.472843449212,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
60000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,966.948352317058,,115166.920421727290,312491.596056320530,115166.920421727290,312491.596056320530
61000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,1015.587506811891,,115166.920421727290,312491.596056320530,115166.920421727290,310783.485636011230
62000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,985.213703533914,,115166.920421727290,312491.596056320530,115166.920421727290,310783.485636011230
63000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,1053.482099217053,,115166.920421727290,312491.596056320530,115166.920421727290,307743.874799917700
64000,802.742086371245,802.742086371245,859.140685338774,790.016835586742,790.016835586742,802.742086371245,1057.570506241685,,115166.920421727290,312491.596056320530,115166.920421727290,307743.874799917700
65000,790.016835586742,790.016835586742,824.586664298747,790.016835586742,790.016835586742,790.016835586742,813.689542247579,790.016835586742,114693.180155633690,307743.874799917700,114693.180155633690,307743.874799917700
66000,790.016835586742,790.016835586742,840.707963457968,790.016835586742,790.016835586742,790.016835586742,827.697107492054,,114341.587895367090,307743.874799917700,114341.587895367090,307743.874799917700
67000,790.016835586742,790.016835586742,861.067308596607,790.016835586742,790.016835586742,790.016835586742,826.824126312856,,114341.587895367090,307743.874799917700,114341.587895367090,307743.874799917700
68000,790.016835586742,790.016835586742,857.035300181414,790.016835586742,790.016835586742,790.016835586742,836.579934009958,,114341.587895367090,307743.874799917700,114341.587895367090,307743.874799917700
69000,790.016835586742,790.016835586742,862.449974306207,790.016835586742,790.016835586742,790.016835586742,840.244880258540,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
70000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,811.691141517073,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
71000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,815.276383746457,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
72000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,794.551010828949,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
73000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,857.865001033922,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
74000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,809.286167167096,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
75000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,864.591846785265,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
76000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,910.405984920570,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
77000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,878.809429900351,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
78000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,844.617241321115,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
79000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,834.938476246290,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
80000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,823.619849605165,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
81000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,845.166985798204,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
82000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,961.683929365132,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
83000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,840.830666686279,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
84000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,858.827405558969,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
85000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,893.053759370592,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
86000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,937.156165264591,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
87000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1110.790223537197,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
88000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1081.248332341444,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
89000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1137.108689836292,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
90000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1139.036798216515,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
91000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1028.100158651265,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
92000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1091.633824050074,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
93000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1116.156977325781,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
94000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1081.574896709804,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
95000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1107.912509722906,,114270.449758011500,306555.289695520540,114270.449758011500,306555.289695520540
96000,790.016835586742,790.016835586742,883.595412910298,790.016835586742,790.016835586742,790.016835586742,1090.413600697080,,114270.449758011500,306555.289695520540,114270.449758011500,305686.486815949200
96680,790.016835586742,790.016835586742,790.016835586742,790.016835586742,790.016835586742,790.016835586742,1083.296291581331,790.016835586742,114270.449758011500,305686.486815949200,114270.449758011500,305686.486815949200
