runId	instance	seed	arm	maxFEs	telemetry	termination	pddr	mixture	ShiftMode	decodeMode
250k-100_2_4_1-A2-s20260901	100_2_4_1	20260901	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_2_4_1-A4-s20260901	100_2_4_1	20260901	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_2_4_1-A2-s20260902	100_2_4_1	20260902	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_2_4_1-A4-s20260902	100_2_4_1	20260902	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_2_4_1-A2-s20260903	100_2_4_1	20260903	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_2_4_1-A4-s20260903	100_2_4_1	20260903	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A2-s20260901	100_5_3_1	20260901	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A4-s20260901	100_5_3_1	20260901	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A2-s20260902	100_5_3_1	20260902	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A4-s20260902	100_5_3_1	20260902	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A2-s20260903	100_5_3_1	20260903	A2	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
250k-100_5_3_1-A4-s20260903	100_5_3_1	20260903	A4	250000	ON	PHASE_CONSISTENT_BUDGET_TERMINATION	GLOBAL_ORIGINAL	20/40/20/20	NONE	FM3
