instance,seed,checkpointFE,A2_minCmax,A4_minCmax,deltaCmaxBetter,A2_HV,A4_HV,deltaHVBetter,A2_IGD,A4_IGD,deltaIGDBetter,jointA4Worse
100_2_4_1,20260901,25000,647.3694943984907,616.2104485298418,0.04813177966873564,0.0,0.016316416039614805,16316416039.614805,1.5968092601273478,0.8218099763080876,0.4853424282856757,false
100_2_4_1,20260901,50000,620.1836997274739,599.9797345869551,0.03257738819868529,0.34526720928896315,0.08849676670801081,-0.7436861528488053,0.30342340280027574,0.6149036581202681,-1.0265531677693958,true
100_2_4_1,20260901,75000,620.1836997274739,599.9797345869551,0.03257738819868529,0.5002051477256573,0.1624445344332779,-0.6752441769704212,0.1750961084583955,0.4923554143838024,-1.8119152316899767,true
100_2_4_1,20260901,100000,620.1836997274739,599.9797345869551,0.03257738819868529,0.6043834641827247,0.21934104957386158,-0.6370829736871364,0.13581108543706022,0.4180901498181652,-2.0784685099356146,true
100_2_4_1,20260901,125000,620.1836997274739,599.9797345869551,0.03257738819868529,0.6082971768819257,0.2563096880815928,-0.5786439624865395,0.13442898784704652,0.36443178906445,-1.710961340266141,true
100_2_4_1,20260901,150000,620.1836997274739,599.9797345869551,0.03257738819868529,0.6569184754198194,0.32619520859869333,-0.5034464384789444,0.11976686582208618,0.2935101402835602,-1.450678977602786,true
100_2_4_1,20260901,175000,620.1836997274739,599.9797345869551,0.03257738819868529,0.6804822240879563,0.4092311537869412,-0.3986159530685321,0.11562613415805328,0.2206148647666922,-0.9080017365721685,true
100_2_4_1,20260901,200000,620.1836997274739,599.9797345869551,0.03257738819868529,0.6923702744482892,0.4353593617639745,-0.3712044294349757,0.1104913208323913,0.2025740991497226,-0.8333937690636838,true
100_2_4_1,20260901,225000,620.1836997274739,599.9797345869551,0.03257738819868529,0.7069790914358836,0.4753243800419165,-0.3276684051907014,0.10819834344242377,0.1813290761760708,-0.6758951237785127,true
100_2_4_1,20260901,250000,620.1836997274739,599.9797345869551,0.03257738819868529,0.7087810051924673,0.4899559719935576,-0.30873433627004215,0.1076852695470005,0.16688631978886126,-0.5497599670865082,true
100_2_4_1,20260902,25000,649.6717786536759,596.6234068343277,0.08165411144883201,0.0,0.0028755062498503656,2875506249.8503656,0.9097832531267622,0.8456156372020636,0.07053066288499601,false
100_2_4_1,20260902,50000,621.8799906687234,596.6234068343277,0.040613276216262574,0.10930781433504824,0.05663373774725437,-0.4818875659368532,0.5527798851453358,0.6568833350016273,-0.18832713102236132,true
100_2_4_1,20260902,75000,621.8799906687234,596.6234068343277,0.040613276216262574,0.18795501107862708,0.1355771247325479,-0.2786724655304241,0.4299318689878017,0.514418733906489,-0.19651221743016298,true
100_2_4_1,20260902,100000,621.8799906687234,596.6234068343277,0.040613276216262574,0.25980907720335644,0.23299278682830904,-0.10321537131690704,0.3875280013401045,0.3911870347963272,-0.009441984691607983,true
100_2_4_1,20260902,125000,621.8799906687234,596.6234068343277,0.040613276216262574,0.25980907720335644,0.2639011552480892,0.015750327466541293,0.3875280013401045,0.3657291489101252,0.056251038259421356,false
100_2_4_1,20260902,150000,618.4355074031091,596.6234068343277,0.03526980632204191,0.28317835358391374,0.2865291519642464,0.011832819627365007,0.36832021349960775,0.3338150458337399,0.09368252515390284,false
100_2_4_1,20260902,175000,618.4355074031091,595.7717843625286,0.03664686579163029,0.3306382936929353,0.33890974203827806,0.02501660728089919,0.3181445408368163,0.289079363503407,0.09135840350099705,false
100_2_4_1,20260902,200000,618.4355074031091,595.2081205114579,0.03755830092807259,0.40781685434545456,0.3597620460935711,-0.11783428698407121,0.2868900074346813,0.2697540565349301,0.05973003749059703,false
100_2_4_1,20260902,225000,618.4355074031091,595.2081205114579,0.03755830092807259,0.41268193259211333,0.3666682716419505,-0.11149909243941106,0.28630340997826226,0.26208098445711675,0.08460404129655531,false
