instance,seed,arm,windowEndFE,rounds,meanNmerge,meanUniqueObjectives,meanNnd,maxNnd,meanRoverflow,maxRoverflow,roundsNndOver100
100_2_4_1,20260901,A2,50000,1,300,248,32,32,0.32,0.32,0
100_2_4_1,20260901,A2,100000,2,300,265,40,53,0.4,0.53,0
100_2_4_1,20260901,A2,150000,1,300,266,59,59,0.59,0.59,0
100_2_4_1,20260901,A2,200000,2,300,265,68.5,70,0.685,0.7,0
100_2_4_1,20260901,A2,250000,2,293,255.5,69,70,0.69,0.7,0
100_2_4_1,20260901,A4,50000,7,236.28571428571428,191,24.428571428571427,37,0.24428571428571427,0.37,0
100_2_4_1,20260901,A4,100000,7,226.57142857142858,182,53,59,0.53,0.59,0
100_2_4_1,20260901,A4,150000,7,229.28571428571428,188.14285714285714,56.42857142857143,67,0.5642857142857143,0.67,0
100_2_4_1,20260901,A4,200000,5,242.8,198,58.4,65,0.584,0.65,0
100_2_4_1,20260901,A4,250000,5,249.4,210,64,72,0.64,0.72,0
100_2_4_1,20260902,A2,50000,1,300,245,34,34,0.34,0.34,0
100_2_4_1,20260902,A2,100000,2,300,267.5,43.5,45,0.435,0.45,0
100_2_4_1,20260902,A2,150000,1,300,259,48,48,0.48,0.48,0
100_2_4_1,20260902,A2,200000,2,300,250.5,48,50,0.48,0.5,0
100_2_4_1,20260902,A2,250000,2,298.5,249.5,51,52,0.51,0.52,0
100_2_4_1,20260902,A4,50000,7,245.28571428571428,202.57142857142858,41.42857142857143,55,0.4142857142857143,0.55,0
100_2_4_1,20260902,A4,100000,7,249.71428571428572,207.42857142857142,59.142857142857146,62,0.5914285714285714,0.62,0
100_2_4_1,20260902,A4,150000,7,262.14285714285717,226.57142857142858,65.57142857142857,75,0.6557142857142857,0.75,0
100_2_4_1,20260902,A4,200000,5,249.4,214,59.2,68,0.592,0.68,0
100_2_4_1,20260902,A4,250000,5,261.4,225.8,70,78,0.7,0.78,0
100_2_4_1,20260903,A2,50000,1,300,245,54,54,0.54,0.54,0
100_2_4_1,20260903,A2,100000,2,300,269,45,46,0.45,0.46,0
100_2_4_1,20260903,A2,150000,1,300,259,54,54,0.54,0.54,0
100_2_4_1,20260903,A2,200000,2,300,259,51.5,57,0.515,0.57,0
100_2_4_1,20260903,A2,250000,2,295,251.5,62.5,64,0.625,0.64,0
100_2_4_1,20260903,A4,50000,7,260.42857142857144,217.71428571428572,32.714285714285715,51,0.3271428571428571,0.51,0
100_2_4_1,20260903,A4,100000,7,262.14285714285717,218.14285714285714,62.285714285714285,70,0.6228571428571429,0.7,0
100_2_4_1,20260903,A4,150000,7,253.85714285714286,209.85714285714286,61.142857142857146,68,0.6114285714285714,0.68,0
100_2_4_1,20260903,A4,200000,5,259.8,218.2,66.6,70,0.666,0.7,0
100_2_4_1,20260903,A4,250000,5,263.4,225,71,77,0.71,0.77,0
100_5_3_1,20260901,A2,50000,1,300,244,40,40,0.4,0.4,0
100_5_3_1,20260901,A2,100000,2,299,261,50.5,59,0.505,0.59,0
100_5_3_1,20260901,A2,150000,1,300,260,64,64,0.64,0.64,0
100_5_3_1,20260901,A2,200000,2,299.5,258,70,73,0.7,0.73,0
100_5_3_1,20260901,A2,250000,2,286,245,71.5,75,0.7150000000000001,0.75,0
100_5_3_1,20260901,A4,50000,7,256.57142857142856,214.28571428571428,47.857142857142854,71,0.47857142857142854,0.71,0
100_5_3_1,20260901,A4,100000,7,251.57142857142858,210,68.42857142857143,81,0.6842857142857143,0.81,0
100_5_3_1,20260901,A4,150000,7,257.14285714285717,214.28571428571428,62.714285714285715,72,0.6271428571428571,0.72,0
100_5_3_1,20260901,A4,200000,5,255.8,212.6,53.6,58,0.536,0.58,0
100_5_3_1,20260901,A4,250000,5,251.6,197.8,59.8,63,0.598,0.63,0
100_5_3_1,20260902,A2,50000,1,300,244,59,59,0.59,0.59,0
