candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,1144.567214470264,133144.211083536500,467879.383518873830,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,cede5eb82e5f3a387e518f2b974f4750bad5185a4e9deb46ad36d80fff39cf8b
2,INITIAL,-1,true,true,3,0,964.389285334371,131702.636820946600,421523.377683734100,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,25,1,100,1000,1,1,936fd717204bfbd1ae62e1b33a524d8fa3d59d92db7d5cb01b362d41483e005a
3,INITIAL,-1,true,true,22,0,941.640487079836,134816.203030974250,418161.812808699800,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,15,1,100,1200,1,1,db0f2877f0b338d7430f198a07b3130e7d5f28a5179fd0b7617278ad8dbfc3a2
4,INITIAL,-1,true,true,25,0,929.925212973407,131758.152145743170,419164.459134141570,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,20,1,25,1,100,1300,1,1,6ca9d75e7872d77a388113a0ed0a275a5966e01e93743851a0aa1dc57b30c0ce
5,GLOBAL_SLOT_G1_CMAX,26,true,true,214,1,928.089178955446,132119.588641365500,415143.991219825500,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,ad2c224b037873c7bd7b677896b99c29df8d2905bb2bdae01a3e89e3f6b229f5
6,GLOBAL_SLOT_G4_BALANCED,6,true,true,252,1,878.370873336765,130030.568533724380,403468.708826659200,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,160,1,0,0,300,1100,1,1,b5a2939def6e01260b247d8eacd8816699cd0687225bbfd674e0221b27c36215
7,GLOBAL_SLOT_G4_BALANCED,24,true,true,1123,1,873.402372364125,127223.015807710000,381478.495926400200,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,3916e9c5c387259876c6e1d501a5eabd3cd3b8c96598c094343bb0cdea6ac019
8,GLOBAL_SLOT_G4_BALANCED,24,true,true,1125,1,868.197874490289,129739.088455879190,388499.484396706340,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,60,1,0,0,1300,1500,1,1,7bc8e4d05ccecfe639776656e4042122e8620846f0f96fd432fa26facff17e67
9,GLOBAL_SLOT_G1_CMAX,24,true,true,1304,1,862.834875667513,130057.073158411240,390350.769927935600,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b8b33efa2585d9930b43bdb7f4e4b2a7dc35f9da09376f0eb8da9c75df55012c
10,GLOBAL_SLOT_G4_BALANCED,24,true,true,1560,1,851.558751634519,127791.998914133100,363604.432485274560,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,220,1,0,0,1600,2700,1,1,c64b30716beae2c46f17dbda656de2e10270965feb0dc273fdc3fa76a6e16c49
11,GLOBAL_SLOT_G1_CMAX,24,true,true,1711,1,840.254676067412,128385.170198735660,365630.958252032500,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,570f264f6400f57728b1b1794276f31abc901de4d1c1012ef0853e1e7bfdafab
12,GLOBAL_SLOT_G3_TWC,24,true,true,2189,1,830.527336542374,128400.754474750810,356963.274426622600,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,66543c6c9c5aee6a81994de49bc14bb7ba00df6ddd4535655fdd2251b067c162
13,GLOBAL_SLOT_G1_CMAX,24,true,true,2403,1,800.640055767852,128359.540197624880,356028.101250672300,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,180,1,0,0,17216,18216,3,3,b4d35ea332d5c1b495266973bace4b6f4e7430633bf1031117ea42d21a944912
14,NOT_APPLICABLE,168,true,true,12896,2,794.000484735737,129163.242767209940,350980.864692960300,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,8a968170cd187146d28dec4024be5b8c74548e49ece6b99fad46b6b11bc1eb0e
15,NOT_APPLICABLE,168,true,true,12988,2,793.550044468781,128693.587858384330,350416.212008722600,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,47cd154023e57b01a208dad3d282517a715753d34838b8c61b14641643e7c475
16,NOT_APPLICABLE,168,true,true,13015,2,793.197700368341,128470.510140322200,348096.613655779600,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,fe1c81e92d59fdcbf85003b58316defc7b3f6d2b84b810db8a754ccc58ba20cd
17,NOT_APPLICABLE,168,true,true,13016,2,790.973669576583,128423.613503551300,348582.897860582500,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,25c1a38b2688e013f322006c0d4db1fbfd827612c206a91d1b740dde3bbedd53
18,NOT_APPLICABLE,168,true,true,13031,2,789.886311363602,128592.397767221070,346488.619383350300,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,8598168646806309559dcc217098c6ce298e804b7afe393b11dbf3e1eb199aa5
19,NOT_APPLICABLE,168,true,true,13036,2,787.074360298545,129151.244380071080,345216.621223662500,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,0,0,1,1,13916,13916,3,3,3b32c9c44934a0dc3bb69cc15d58902d477dd969e9485843773aba6847f94f88
