generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,0,G1_CMAX,0.32505543813402327,0.3427877445057687,0.6079625418455331,0.156071509833837,0.3344741725864557,WOR,MAC,0.6079625418455331,0.3427877445057687,0.2651747973397644,false,BAL,FULL_MASK_AUDIT,16,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,0,G1_CMAX,0.2927314948708021,0.3023041972395088,0.6159272356450539,0.17148378884330037,0.44209476448816654,WOR,FAT,0.6159272356450539,0.44209476448816654,0.17383247115688738,false,BAL,FULL_MASK_AUDIT,16,N1|N2|N3|N4|N5,APPLY,N3
1,5106,2,1,G1_CMAX,0.4735028538583555,0.2374777734134788,0.5502649358937705,0.17192116219018694,0.6214088700792564,FAT,WOR,0.6214088700792564,0.5502649358937705,0.07114393418548592,false,BAL,FULL_MASK_AUDIT,15,N1|N2|N3|N4|N5,APPLY,N3
1,5107,3,1,G1_CMAX,0.3713011107068479,0.35679309322361613,0.6067629525608154,0.15576696746561725,0.5912939910261039,WOR,FAT,0.6067629525608154,0.5912939910261039,0.015468961534711445,false,BAL,FULL_MASK_AUDIT,18,N1|N2|N3|N4|N5,APPLY,N3
1,5108,4,0,G1_CMAX,0.5848752787563147,0.2560760048928067,0.6647828473094224,0.13715065694177286,0.4705999900985829,WOR,SEQ,0.6647828473094224,0.5848752787563147,0.07990756855310766,false,BAL,FULL_MASK_AUDIT,14,N1|N2|N3|N4|N5,APPLY,N3
1,5109,5,1,G1_CMAX,0.37164187598765897,0.3726273400750103,0.576597134776553,0.17217260326020717,0.6827529411490598,FAT,WOR,0.6827529411490598,0.576597134776553,0.10615580637250677,false,BAL,FULL_MASK_AUDIT,18,N1|N2|N3|N4|N5,APPLY,N3
1,5110,6,1,G1_CMAX,0.4098493317976087,0.34850898868219427,0.568338754941776,0.14404143213661255,0.49928721915584734,WOR,FAT,0.568338754941776,0.49928721915584734,0.06905153578592865,false,BAL,FULL_MASK_AUDIT,19,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5115,7,0,G1_CMAX,0.42879752973147406,0.409365277814994,0.5669658817788974,0.14046894804421223,0.35861351536208347,WOR,SEQ,0.5669658817788974,0.42879752973147406,0.13816835204742334,false,BAL,FULL_MASK_AUDIT,13,N1|N2|N3|N4|N5,APPLY,N3
1,5116,8,0,G1_CMAX,0.4129026149285919,0.46487240576403877,0.5794979718914619,0.1689504538832537,0.2499395653432691,WOR,MAC,0.5794979718914619,0.46487240576403877,0.11462556612742314,false,BAL,FULL_MASK_AUDIT,16,N1|N2|N3|N4|N5,APPLY,N3
1,5117,9,0,G1_CMAX,0.4202701837681143,0.3834315129160033,0.6100192556239058,0.13476935708037613,0.527413861467754,WOR,FAT,0.6100192556239058,0.527413861467754,0.08260539415615176,false,BAL,FULL_MASK_AUDIT,13,N1|N2|N3|N4|N5,APPLY,N1
1,5118,10,0,G1_CMAX,0.320784554109526,0.3683063680203501,0.5844337831699176,0.1542913460279582,0.3482225703775712,WOR,MAC,0.5844337831699176,0.3683063680203501,0.21612741514956746,false,BAL,FULL_MASK_AUDIT,11,N1|N2|N3|N4|N5,APPLY,N3
1,5119,11,0,G1_CMAX,0.3716083614414615,0.2785785041685719,0.6203895111183779,0.17077722206982887,0.5314296541048625,WOR,FAT,0.6203895111183779,0.5314296541048625,0.08895985701351539,false,BAL,FULL_MASK_AUDIT,15,N1|N2|N3|N4|N5,APPLY,N3
1,5120,12,0,G1_CMAX,0.3044936791916511,0.47187525050539053,0.6923348310000281,0.14378446511036247,0.3844764632066934,WOR,MAC,0.6923348310000281,0.47187525050539053,0.2204595804946376,false,BAL,FULL_MASK_AUDIT,14,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5125,13,0,G1_CMAX,0.408861683497873,0.36589119745235893,0.597452748901734,0.13645228669258327,0.44920906109373204,WOR,FAT,0.597452748901734,0.44920906109373204,0.148243687808002,false,BAL,FULL_MASK_AUDIT,13,N1|N2|N3|N4|N5,APPLY,N3
1,5126,14,1,G1_CMAX,0.46314449700478655,0.3877595265464379,0.5329907124077036,0.15837527440009525,0.5816802182816742,FAT,WOR,0.5816802182816742,0.5329907124077036,0.048689505873970584,false,BAL,FULL_MASK_AUDIT,17,N1|N2|N3|N4|N5,APPLY,N3
1,5127,15,1,G1_CMAX,0.43981448712785753,0.287563645326232,0.5346818032568955,0.12597604383695865,0.5316415940170302,WOR,FAT,0.5346818032568955,0.5316415940170302,0.0030402092398653657,false,BAL,FULL_MASK_AUDIT,14,N1|N2|N3|N4|N5,APPLY,N3
1,5128,16,0,G1_CMAX,0.4066674880786113,0.5305674267858653,0.5356805044000438,0.16006640296453717,0.35944680437770815,WOR,MAC,0.5356805044000438,0.5305674267858653,0.005113077614178452,false,BAL,FULL_MASK_AUDIT,15,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5133,17,2,G1_CMAX,0.8233110002214481,0.5928473138973992,0.5928473138973992,0.14257664462750796,0.7463040465141452,SEQ,FAT,0.8233110002214481,0.7463040465141452,0.07700695370730293,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5137,18,0,G1_CMAX,0.3465270589299562,0.23265638398892008,0.5967610528974177,0.1665679354690312,0.461788576373229,WOR,FAT,0.5967610528974177,0.461788576373229,0.13497247652418864,false,BAL,FULL_MASK_AUDIT,12,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5142,19,0,G1_CMAX,0.5597769136545625,0.2918176908012529,0.6380819505659746,0.15084397312660147,0.49620868076693164,WOR,SEQ,0.6380819505659746,0.5597769136545625,0.07830503691141211,false,BAL,FULL_MASK_AUDIT,15,N1|N2|N4|N5,TEST,N1|N2|N4|N5
