fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,385.270948658919,385.270948658919,411.308677423110,385.270948658919,391.347122481962,,385.270948658919,,21940.064697415160,36330.712653267550,21940.064697415160,36330.712653267550
2000,380.037026349136,380.037026349136,381.030261755791,380.037026349136,380.037026349136,,380.037026349136,,21757.742739443092,36330.712653267550,21757.742739443092,36330.712653267550
3000,368.257896806937,368.257896806937,407.384792717808,368.257896806937,368.257896806937,,368.257896806937,,21757.742739443092,36330.712653267550,21757.742739443092,36330.712653267550
4000,364.618278098246,364.618278098246,364.618278098246,364.618278098246,365.798846768606,,364.618278098246,,21738.572948120567,36330.712653267550,21738.572948120567,36330.712653267550
5000,364.618278098246,364.618278098246,373.156724797250,364.618278098246,365.798846768606,,367.368957713906,,21363.840756416415,35878.770744391375,21363.840756416415,35878.770744391375
6000,364.618278098246,364.618278098246,367.166658054895,344.247689654157,344.247689654157,,344.247689654157,,21363.840756416415,35878.770744391375,21363.840756416415,35878.770744391375
7000,327.143235215021,327.143235215021,373.658978851571,327.143235215021,327.143235215021,327.143235215021,327.143235215021,327.143235215021,21363.840756416415,35147.596858821950,21363.840756416415,35147.596858821950
8000,327.143235215021,327.143235215021,378.541491575410,327.143235215021,327.143235215021,327.143235215021,354.731745531742,,21310.411877616578,34918.595153673110,21310.411877616578,34918.595153673110
9000,327.143235215021,327.143235215021,364.320570478822,327.143235215021,327.143235215021,327.143235215021,364.320570478822,,21310.411877616578,34362.493350605300,21310.411877616578,34362.493350605300
10000,327.143235215021,327.143235215021,391.285496968588,327.143235215021,327.143235215021,327.143235215021,357.487120496931,,21227.735319576022,34362.493350605300,21227.735319576022,34362.493350605300
11000,327.143235215021,327.143235215021,404.435128748500,327.143235215021,327.143235215021,327.143235215021,367.398574397417,,21227.735319576022,34362.493350605300,21227.735319576022,34362.493350605300
12000,327.143235215021,327.143235215021,370.892096562150,327.143235215021,327.143235215021,327.143235215021,358.050789584953,,21174.320516037013,34362.493350605300,21174.320516037013,34362.493350605300
13000,327.143235215021,327.143235215021,370.892096562150,327.143235215021,327.143235215021,327.143235215021,352.460829926728,,21174.320516037013,34362.493350605300,21174.320516037013,34362.493350605300
14000,327.143235215021,327.143235215021,366.341646779833,327.143235215021,327.143235215021,327.143235215021,338.972210145924,327.143235215021,21174.320516037013,34138.745064511850,21174.320516037013,34138.745064511850
15000,327.143235215021,327.143235215021,379.158214162054,327.143235215021,327.143235215021,327.143235215021,357.970709732315,,21174.320516037013,33710.456871088120,21087.144728031460,33710.456871088120
16000,327.143235215021,327.143235215021,373.630593914705,327.143235215021,327.143235215021,327.143235215021,362.987507413712,,21087.144728031460,33710.456871088120,21087.144728031460,33710.456871088120
17000,327.143235215021,327.143235215021,362.525596079203,327.143235215021,327.143235215021,327.143235215021,362.525596079203,,21087.144728031460,33710.456871088120,21087.144728031460,33710.456871088120
