artifact,value,role
formalJarSha256,8dad8f40266feeaa4cdb9b47dbe4e342d9064847df32c7f2933149b9b6bad8b9,frozen formal algorithm jar (read-only, untouched)
checkpointV2JarSha256,c2cf429422b43c785509d94d7a35bfded7ab2d74e1b4054b620f972640135758,V2 experimental jar (shadow FairRunner+PassiveArchive+hook+runner; 18 classes major=52; OFF/ON validated)
v1RepairJarSha256,a0788580684cff71ecc526e0f23d6e186dcd9131aad98776c25419378dc7331c,V1 experimental jar (20k/50k lineage; snapshot materializer tool)
instanceSha256-50_2_3_1,d08d6abc46788d46bc24c135a8dc810b4675e333e3d61e65c7551835fc93e787,instance input (unchanged chain)
setupFileSha256-50_2_3_1,f9bde51a5f873896291527676bcbfaf8291c72b91175a6828dd722eaa54df54e,SUT extension (unchanged chain)
fatigueFileSha256-50_2_3_1,46192fe26bfc79201456c98d70d9acc25e40dd84cdd86b050af1718e3715b4da,fatigue parameters v1 (unchanged chain)
instanceSha256-100_5_3_1,2e88fa97a6f84af347a4603f04c387a65c8f9891bcab8ac6b70fdec622ea35cf,instance input (unchanged chain)
setupFileSha256-100_5_3_1,4b49b780f6ee887099574f9008bebdc106e9cf5808a11b5af97a5ee4512c1d90,SUT extension (unchanged chain)
fatigueFileSha256-100_5_3_1,cf611bfb3690d50f1b4dc8d6d6631dd9d04546d3ca4c4020cc9017475d4bf457,fatigue parameters v1 (unchanged chain)
snapshot-50_2_3_1-20260916,8837b8ab67a9036a8e43293cee24636c2b64f6adbd385464e27b06f8c6b34986,four-vector initial population (materialized 2026-08-31 zero-FE)
snapshot-100_5_3_1-20260916,a0970322545e12ec2c79a040f7d754056b8b4f5aa9b83ed1b92e1e53d438f042,four-vector initial population (materialized 2026-08-31 zero-FE)
snapshot-50_2_3_1-20260917,98de7e1ced083100a9c818c2c52438b69ce5ab615e6ec705c0c7359fb470a220,four-vector initial population (materialized 2026-08-31 zero-FE)
snapshot-100_5_3_1-20260917,d81ff94a11be3b20b6327893286e5ea1b88476acba5c180e810dae961bcbeba7,four-vector initial population (materialized 2026-08-31 zero-FE)
snapshot-50_2_3_1-20260918,923ba9e6b306d77cfa5eb1afe9140d9574f38cf0e31e4ba68aa327ee89efe520,four-vector initial population (materialized 2026-08-31 zero-FE)
snapshot-100_5_3_1-20260918,e0178f264de26268ec53429522dd3629242a09d7fec2b37cefa75d991b5bf070,four-vector initial population (materialized 2026-08-31 zero-FE)
initialV35-50_2_3_1-20260916,f3a6a54d56cbf949cb5f7f69d8ccb344723a99da4172c38bd81034e6b06c7799,initial population hash V35
initialP8-50_2_3_1-20260916,1f7b22c2026514d27bce59208b1a26efa92d626815b696820220b54c9c3d4faf,initial population hash P8
initialV35-100_5_3_1-20260916,342383fdcaae248e4cf7a25d3d7229651153d3aa93f1190fa8ac0ef7c08f7023,initial population hash V35
initialP8-100_5_3_1-20260916,622483e62f40af476a872ff7ac6059959f587dd3f797933c8299dc8c1f073f06,initial population hash P8
initialV35-50_2_3_1-20260917,52a4d666297f51070ea029d55edc62812c067e7407f4832518094bf9b9ee22e3,initial population hash V35
initialP8-50_2_3_1-20260917,35a39308f4d5e3fb399c75422712cb46cdd0a46f5b681627327ccfb8a31bdc3b,initial population hash P8
initialV35-100_5_3_1-20260917,3a663e8ebe8d938ebf47ad527c0001a65268f551ce3a0ea98a0767120d8c1677,initial population hash V35
initialP8-100_5_3_1-20260917,0f91d1e3d351ff95e22a3d1ec130421533cbc7bd4c439637414987cb289d8761,initial population hash P8
initialV35-50_2_3_1-20260918,dcdc975f12f7f67582286d1ec903fb339248164b94d002cb3f597a9cee4277e5,initial population hash V35
initialP8-50_2_3_1-20260918,7397181e31dc2930a50e30c22e799d96364a0cf26b3f0bd095b3b44f273e8669,initial population hash P8
initialV35-100_5_3_1-20260918,76f74a02f1de3d5e7ffa8be9a6f53a94fdf3e41c3f814c2ae08cc1d60996f194,initial population hash V35
initialP8-100_5_3_1-20260918,f282c546891d6f5906628a070d7cf0f77d9f597e37026d99d79a5860a6b180ce,initial population hash P8
