observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
1,INITIAL_POPULATION,0f6188dca6b83c160f37b99b7b71b06b500b6f3dafd956faffa9bf21b014819b,1004.2501083891675,133947.8591506139,449762.54895052355,-1
2,INITIAL_POPULATION,81b9c99482830d9c44804c6b657c6bd19db7de987cb08425cc93d84d0fb63ce3,1065.6624373426619,133576.6478836289,462348.7254165884,-1
3,INITIAL_POPULATION,6e23cbf51f63078314658e6dc904bdac07539dbd5be767142cdac297c189a326,1104.4089724668768,132660.43844842195,441869.0718436281,-1
4,INITIAL_POPULATION,cfea5d773bea7e6e0c1d1517b422a9356e188f07448048526be208e157b78b29,900.2519056632486,131779.2729158501,401808.62769680965,-1
5,INITIAL_POPULATION,f0675f0fd3cbc24a931b1e7ac623a3d1020ea69fc20aed0fe3e9f16f7a0a1bb6,1059.231151856707,134184.15188280673,450262.1670361194,-1
6,INITIAL_POPULATION,03beeb1141d168edccb43e6183b8b96f672067f0b84365cb4dcccd887f8435e4,1077.4253814870283,135494.13198624493,463707.2667346526,-1
7,INITIAL_POPULATION,629c0f15d54c48b12b68cc4c2212fbf240440db168bd36079edbe267db0255b8,1117.5000087654655,132633.59589097538,441149.1279480939,-1
8,INITIAL_POPULATION,51f62a30fc97b8daea3c038989ad118aef95a48e572fd58d88438a9cb6d4c359,1149.1725444984288,134025.8559617687,434530.625930259,-1
9,INITIAL_POPULATION,586b31cf922d1c68672b669860cbe2c62c7b8278f13dae7a24d42f37643cd127,1159.0929510302244,137196.52080015483,484190.0844129119,-1
10,INITIAL_POPULATION,6b6d8ae5bb74aeba9f398333d4bb5693bb0711232028ea656d5f396c69278fc5,1158.377853337926,134770.31972199716,466989.88645898964,-1
11,INITIAL_POPULATION,e0ebb8f18768912a63227fb44dd01dc967e6dbfcaf2f0b91dc6b800964792af2,936.6229630689277,132061.76921442713,408298.08323240216,-1
12,INITIAL_POPULATION,9787120ae3d0a95072004e85b619266c57b6d7269cf8ab6257fd8f207a95dc8d,1170.6949135523644,136184.63678047713,446985.9516180963,-1
13,INITIAL_POPULATION,17db29e9b8f0bfd2620d257f8279c76c800e5f06985ce5b382e40577ec4f39be,989.9076979358887,132886.09301162953,416931.30196584814,-1
14,INITIAL_POPULATION,cc25aa0a1aa3ad64f03ac516770216d7c04198c6d1803e8989ce721a36940e72,1109.7707360055283,133219.7917503156,453644.8795681325,-1
15,INITIAL_POPULATION,758e932363fd96d117ec19afc695a58f8f891829f58e48f5c7b0530edf1ceb2c,1217.857392057119,134821.9266496551,463913.3039966366,-1
16,INITIAL_POPULATION,bd55b206775dbf2d95eb471aca8e33b3dc26adb3f7d8bb4dae6ddb29cda1a896,1015.6629799925752,131852.26130817522,420001.6650895973,-1
17,INITIAL_POPULATION,105e474ceb527c2bdefd32a037f8add8d5fadcb6157a60dacfcac0fd1bb6ed9f,1110.255205595162,131652.3794231168,420805.6683963251,-1
18,INITIAL_POPULATION,fb7f39ef4ced1a4f0af06b33de1da630591ebd229872c3ff1d30aa1700223fe8,1205.3969712901446,133572.50121535925,467851.83250560204,-1
19,INITIAL_POPULATION,4beb101afda3bf5a3e76dabf942402ac48fb48b9f1497822c8da86aa70ba8a03,1226.8150786862936,137098.43556673205,507169.9234449659,-1
20,INITIAL_POPULATION,7966b6f6878fca454b334ff9b9e0ac6bcf7fda533c53bb5ce0300fd8b3cbd9a8,947.3762128672598,130730.27096575403,409261.68120335496,-1
21,INITIAL_POPULATION,43d6460fa76a8d0c053231ef6844afaf8ba3e4f16bbec9149764263729e7ea27,1305.3952632370597,138454.63868754555,470890.1130715788,-1
22,INITIAL_POPULATION,58f304575665dadbafdc5be6b9e592eb10dc66f5f288683b0f92ff2616b6b573,1190.6318995308686,133041.8160746744,443817.55998941476,-1
23,INITIAL_POPULATION,68c34344d91c5168d36f2050a35bd221cf4e3fd5a0c51ab70112124b4d783665,1211.59134551688,131848.80212972563,461814.0808881391,-1
24,INITIAL_POPULATION,b5aa0e27069b011d2578af305a2a8eecde400d7c88237bb2b75899f7a8c51779,1055.426431033709,132879.51529286828,432840.7586404205,-1
25,INITIAL_POPULATION,21aa1dd2dbdfa7e47e3bcf03d7e3bbd03ac50833ee5d75935e484c664e1face6,994.902895242653,135947.08893105312,458083.8289237154,-1
26,INITIAL_POPULATION,fef68b35169504c04d6a5ff4d43e148d48879b80a023b611859bfa97418015e7,1119.7865374156024,133714.70293135813,462828.99042863084,-1
27,INITIAL_POPULATION,0ad7fbd841f244b6ae98fe8ec549b0162c466c6f92bae86821a8546ab2c379a8,1130.0798240058828,131974.565051833,439321.28862981964,-1
28,INITIAL_POPULATION,77cd5dfd781509d32903db8b2df46977acca58c57a62896887dd743911cf3c5f,1018.684111495305,135396.64103362156,448580.9917929723,-1
29,INITIAL_POPULATION,aa4d9accecb76b4ecaa7a7b210b2731eaaa5324c37d81e944edcd12449393c61,1385.8045275203642,137695.5605989017,482663.2503145373,-1
30,INITIAL_POPULATION,15756ee4db9deaa6b56336b5b0fef1ce336e63f36a1ed04e6a4e77b065aa7e80,1023.2612955338151,135158.4934648822,466877.45358074544,-1
31,INITIAL_POPULATION,e910a937722ef04aa3d2a45938f411846f8f623ae5745131ce3ae88745e1d96f,1141.3788224181483,131947.07797257003,441475.04946047533,-1
32,INITIAL_POPULATION,64793e7d7ec6d003074cbcf1343416ca55b5d88106a7c09909a3b38572bc9922,1032.7368918599607,134258.17967632198,444417.47992176353,-1
33,INITIAL_POPULATION,32d626e4434012f19a3916f94580237849792f9fec8486f03c4b50e7bc49754e,1091.3995095106272,136057.7770233657,469650.00883566565,-1
34,INITIAL_POPULATION,5d375dbb7766b757c667d6be51e9d0025a0e4d8f836f6203154410fd3de55921,1063.8158348577463,134404.86870907125,427530.4900709719,-1
35,INITIAL_POPULATION,14fc9bf0ea8cc9523c96df39ebd99445a28626c2e7bc9d4a802a2f9bfb0402cc,977.7300166276276,135815.6935607923,422525.64211530297,-1
36,INITIAL_POPULATION,f51b370add4c4b0e06993eadd04aebebc2c0e48d73135cde121873506fb0b897,1139.1460040857764,135522.51733468412,453373.2514832643,-1
