checkpointTargetFE,checkpointObservedFE,overshootFE,frontType,candidateFingerprint,Cmax,TEC,TWC
25000,25000,0,checkpoint-decision-front,5cf0299acc0559b1916589466de17cdd07fe5e8f73b946d077a1bfbbc8b4dbba,329.9385223420672,24101.154100575568,41397.86444511824
25000,25000,0,checkpoint-decision-front,70758f1683b37a480c37d715f615e445cc572cf03d527b18b2492da144cf77bf,1190.8490201253944,21351.56691388331,40967.25002021818
25000,25000,0,checkpoint-decision-front,70d6765cf849f31a1ad059bec879c53ebe117625cdf46a05cd2be36d3058d768,379.8000468404374,22635.856954520408,43516.16777937932
25000,25000,0,checkpoint-decision-front,b062c2bfb5a3b3f5c090abea21878f8cea98dcd76618c8f033de99ceef03a101,915.2124950754105,21649.1935693657,34743.936404940396
25000,25000,0,checkpoint-decision-front,189f07fbde572dd84abc2032dedf82c4930dc8b87a865c41b2150dc387dfe880,688.8860032218107,21625.324475417707,35694.28205809879
25000,25000,0,checkpoint-decision-front,c3fcf1f415525f038ce2a8a4aa0d617a52169211f8d94b1ff57cebc9760a3496,380.0269294984777,22599.738865467512,42928.883115107565
25000,25000,0,checkpoint-decision-front,3b471d21e89d80ba6018634bb4b53576108909ec323c6f8df5c6fac9aa925431,520.9573853707179,22187.81880966402,36791.147157768544
25000,25000,0,checkpoint-decision-front,d2f452f1c2a0af081134cb415f065765a61cd1a5d7421e9dca541e99f95afa07,585.256867092923,21905.80783604065,34596.15113639186
25000,25000,0,checkpoint-decision-front,fbc1ce08386fa8a6cd4afc4a8c7b5656c3f3da9d5de9ac7e91e0df35350c3acf,529.1749720313303,22216.031567268124,36341.90632055585
25000,25000,0,checkpoint-decision-front,8aec8e4a1d953bcc390030b6b1af1b441c9832d02b5e83d03e2aa706cf3fe4cb,529.287172594726,21931.92954971199,36818.29678731868
25000,25000,0,checkpoint-decision-front,eecb5ea93d959e0ccf728742246d5538b356da8683a257ab56c94d1f6964328f,558.9409735906105,21897.647397639576,35824.27302444834
25000,25000,0,checkpoint-decision-front,7fde28f0a2a4dd82f87955e5d424394dca674853e5da5a8cc2ed0ee76e1117c0,519.3756927598673,22203.241469243974,36615.14544587439
25000,25000,0,checkpoint-decision-front,27a98d4a331aca5a8928eef1b0eee90add6b024ca5e4be5598d2bc192a43356e,335.3645441116431,24151.326237575406,41249.327233302545
25000,25000,0,checkpoint-decision-front,8f7451e4c300dcdce82e8fdb847ce09c39784ac3fb862a29998e15ed859b4392,487.0690259413638,21869.73665384555,44851.523476472925
25000,25000,0,checkpoint-decision-front,48d9b58744524c212f17e525837e121e6427c0a7ea92c0344552a3a8c8d23f5b,373.25332473353785,22672.93873543904,43526.017747526865
25000,25000,0,checkpoint-decision-front,33dfddba53c0a911949f8bf42cc001b937a5372de99139712e65c6fac3990d72,546.4231477266648,22297.694555372138,35139.37854228308
25000,25000,0,checkpoint-decision-front,253f6ae4f600281c8ada30a60af7166acf341a439807bbeae5d322db967d35d8,780.1111103704462,21543.37465571394,41281.25531543621
25000,25000,0,checkpoint-decision-front,d99c84161d3d7256355cd2466d347d079c48a2b0b3b2935e6b3fb1d221d088ac,526.5276210386987,22133.896300183933,36630.73072307059
25000,25000,0,checkpoint-decision-front,cf563aa3656f4182174daea2b1e02ffd6f27cd7ec48a5e77fb4fd87af524387c,496.29818856669186,22018.50928822985,41454.327594837254
25000,25000,0,checkpoint-decision-front,4605d55631b65b97be7073765f1c64a9f39ae65a5c5146a463768def2732ff6f,779.153775130058,21807.601619476998,34261.193124716374
25000,25000,0,checkpoint-decision-front,64962a113ca404dfee0903ef759a0d5c876ca0cbd21e8c923c6da5ea244a77f4,503.6151424489811,21878.889201044178,42137.93498819677
25000,25000,0,checkpoint-decision-front,24d9bd62e03353e26b214f65a7e08ee0f9e3d7b630fde4077c4dfe5445f6dbd8,406.39446469283655,23107.351855694542,39285.891556070696
25000,25000,0,checkpoint-decision-front,01d2a304f5e22e2289a3ae66cbc2048667ea9899a355b5360a8280b50bb907aa,383.27000202224576,22466.196054086795,43492.18209499945
25000,25000,0,checkpoint-decision-front,c2c18b01be6a0105cfdef085477338e116a13cdffe53ccddc154d83ad1cd71ab,400.6951679919268,23023.783466747293,39600.14523601284
