generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,0,G1_CMAX,0.6172408765135005,0.6166541432079795,0.49506253139215245,0.17909929959084647,0.37453514439392666,SEQ,MAC,0.6172408765135005,0.6166541432079795,5.867333055209478E-4,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5104,1,2,G1_CMAX,0.6825664816933695,0.7954474494935075,0.6168724786080543,0.21636335142515717,0.24902903786520642,MAC,SEQ,0.7954474494935075,0.6825664816933695,0.11288096780013801,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5109,2,1,G1_CMAX,0.6229585262565805,0.49625690680720136,0.6467244931773206,0.11828045144085683,0.2565053323274338,WOR,SEQ,0.6467244931773206,0.6229585262565805,0.023765966920740067,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N2
1,5110,3,1,G1_CMAX,0.713194685005311,0.5164358105192584,0.7473984597017118,0.15001109466414908,0.3716399169190735,WOR,SEQ,0.7473984597017118,0.713194685005311,0.03420377469640079,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N5
1,5111,4,1,G1_CMAX,0.5813476739451109,0.6471656347126589,0.5943141927770415,0.12052374010605482,0.21167418578834485,MAC,WOR,0.6471656347126589,0.5943141927770415,0.052851441935617416,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N5
1,5112,5,2,G1_CMAX,0.6640971469309045,0.6375501444061481,0.7440705121572994,0.20428885331030075,0.3146615079109917,WOR,SEQ,0.7440705121572994,0.6640971469309045,0.07997336522639487,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N5
1,5113,6,2,G1_CMAX,0.6366443433327869,0.6762533467013442,0.5018753850865392,0.21873873705495045,0.12074240895823928,MAC,SEQ,0.6762533467013442,0.6366443433327869,0.03960900336855733,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N5
1,5114,7,1,G1_CMAX,0.7048896028615058,0.5033876767744023,0.7245508084650227,0.14178561716928767,0.390528365659746,WOR,SEQ,0.7245508084650227,0.7048896028615058,0.019661205603516918,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5119,8,0,G1_CMAX,0.5314950736373687,0.5341419033532525,0.4792931505833876,0.19242795618729502,0.3035321627652593,MAC,SEQ,0.5341419033532525,0.5314950736373687,0.002646829715883814,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N5
1,5120,9,0,G1_CMAX,0.5464985714746216,0.6181122469012765,0.5599680967440803,0.1799610481258585,0.4503514954555059,MAC,WOR,0.6181122469012765,0.5599680967440803,0.058144150157196206,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N5
