generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,510,0,1,G1_CMAX,0.4587757585926179,0.40170392469487826,0.5516617537692254,0.12572004646277538,0.14875792667899543,WOR,SEQ,0.5516617537692254,0.4587757585926179,0.09288599517660756,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,514,1,1,G1_CMAX,0.4904654052952484,0.298162155016728,0.5405196767207316,0.12481681187019988,0.10876608633449664,WOR,SEQ,0.5405196767207316,0.4904654052952484,0.05005427142548324,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,APPLY,N1
1,515,2,1,G4_BALANCED,0.6105350862578,0.5975952132866515,0.37795805774786234,0.14034488464262754,0.09746615686900324,SEQ,MAC,0.6105350862578,0.5975952132866515,0.012939872971148403,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,520,3,1,G4_BALANCED,0.524689902703114,0.41118999706566106,0.5013851026626879,0.1321771895936389,0.11426377102213146,SEQ,WOR,0.524689902703114,0.5013851026626879,0.02330480004042612,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,524,4,0,G4_BALANCED,0.4916888798407859,0.4801792514383523,0.5023754782974235,0.1567066748498525,0.1476938805020602,WOR,SEQ,0.5023754782974235,0.4916888798407859,0.010686598456637553,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,529,5,1,G4_BALANCED,0.594110292461912,0.5706877546931005,0.3536506633212108,0.1281621769928763,0.0836933691409356,SEQ,MAC,0.594110292461912,0.5706877546931005,0.023422537768811535,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N1
1,530,6,0,G2_TEC,0.6927461589123427,0.7022941032464647,0.4170413875385683,0.14163349521744495,0.06326277572224763,MAC,SEQ,0.7022941032464647,0.6927461589123427,0.009547944334121983,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,535,7,1,G2_TEC,0.5685465487236352,0.46494371286494485,0.5568750615806182,0.13139866569119363,0.12832402828214734,SEQ,WOR,0.5685465487236352,0.5568750615806182,0.011671487143017023,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,539,8,0,G3_TWC,0.6070123450313192,0.5993852615037606,0.5230302457426923,0.15218210384476383,0.1442780818457115,SEQ,MAC,0.6070123450313192,0.5993852615037606,0.007627083527558587,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,544,9,1,G3_TWC,0.6098632616782478,0.6050906939381768,0.5286550862143641,0.14638224344253628,0.10377605991607158,SEQ,MAC,0.6098632616782478,0.6050906939381768,0.004772567740070954,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N5
2,1180,0,1,G1_CMAX,0.5876231710330225,0.5665152457832872,0.4801943032175542,0.1507613512684599,0.09977226058138265,SEQ,MAC,0.5876231710330225,0.5665152457832872,0.02110792524973537,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
2,1185,1,1,G1_CMAX,0.4965674836873305,0.4064823290876482,0.4377466897993867,0.12263048258829645,0.07652394289144138,SEQ,WOR,0.4965674836873305,0.4377466897993867,0.05882079388794381,false,BAL,FULL_MASK_AUDIT,3,N1|N2|N3|N4|N5,APPLY,N1
2,1186,2,1,G4_BALANCED,0.6287073183675201,0.37622628285563275,0.564142847835059,0.11521600426212805,0.1166257325145511,SEQ,WOR,0.6287073183675201,0.564142847835059,0.06456447053246117,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,1190,3,1,G4_BALANCED,0.546553634367484,0.4604473861996021,0.5394790214812673,0.13530292225390647,0.09204946719841298,SEQ,WOR,0.546553634367484,0.5394790214812673,0.007074612886216802,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
2,1195,4,1,G4_BALANCED,0.6552776799867202,0.367126749361057,0.6052751659236276,0.14318421013706967,0.14595247314041507,SEQ,WOR,0.6552776799867202,0.6052751659236276,0.05000251406309253,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N2
2,1196,5,0,G4_BALANCED,0.5970471199392674,0.5840811702175772,0.5021457365937181,0.15095296511680473,0.14795455548120456,SEQ,MAC,0.5970471199392674,0.5840811702175772,0.012965949721690184,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,1200,6,1,G2_TEC,0.6051139187564185,0.5957143368176872,0.3535554611781431,0.13877666663471483,0.09583283233012323,SEQ,MAC,0.6051139187564185,0.5957143368176872,0.00939958193873136,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
2,1205,7,1,G2_TEC,0.5406193525762093,0.46577673872495295,0.6122820180813782,0.13882439547312037,0.09729256916770347,WOR,SEQ,0.6122820180813782,0.5406193525762093,0.07166266550516887,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N2
