generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,1,G1_CMAX,0.589010536576983,0.5387966135408173,0.4628329126203833,0.18089045224552147,0.30115761515816114,SEQ,MAC,0.589010536576983,0.5387966135408173,0.050213923036165675,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,0,G1_CMAX,0.6221549001590617,0.6436742352037166,0.6415592742455891,0.19372616563424,0.48773769502513853,MAC,WOR,0.6436742352037166,0.6415592742455891,0.0021149609581274653,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N1
1,5106,2,1,G1_CMAX,0.5711543804540322,0.5178755731958276,0.5325941033091229,0.15856428079056917,0.15743972621990465,SEQ,WOR,0.5711543804540322,0.5325941033091229,0.03856027714490928,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5110,3,2,G1_CMAX,0.6029198934147573,0.6461971845014615,0.7531884397319075,0.20809523930891982,0.3248849799450798,WOR,MAC,0.7531884397319075,0.6461971845014615,0.10699125523044606,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5115,4,0,G1_CMAX,0.5330856388021478,0.3816475439225497,0.5582371010203236,0.17530614732305114,0.3452166567976138,WOR,SEQ,0.5582371010203236,0.5330856388021478,0.02515146221817588,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N1
1,5116,5,0,G1_CMAX,0.6592812586826197,0.5808253109545731,0.6068885837692355,0.15445774216709057,0.6281710694240252,SEQ,FAT,0.6592812586826197,0.6281710694240252,0.031110189258594434,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N1
1,5117,6,1,G1_CMAX,0.5683145339088294,0.4762413027664436,0.4796661981100768,0.1663222586953443,0.11787471027169594,SEQ,WOR,0.5683145339088294,0.4796661981100768,0.08864833579875253,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5121,7,1,G1_CMAX,0.47422591065868097,0.5001641177623326,0.5145991796710804,0.19543504283435073,0.2136372319137167,WOR,MAC,0.5145991796710804,0.5001641177623326,0.01443506190874777,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N4|N5,APPLY,N1
1,5122,8,2,G1_CMAX,0.5242151307067942,0.7158226860108197,0.5582825557949065,0.20398913720326683,0.19405226572913603,MAC,WOR,0.7158226860108197,0.5582825557949065,0.15754013021591318,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5127,9,1,G1_CMAX,0.6373805924167063,0.6231369478785582,0.6661174257735321,0.18116711176755818,0.3279703487151115,WOR,SEQ,0.6661174257735321,0.6373805924167063,0.028736833356825753,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N1
1,5128,10,2,G1_CMAX,0.5167414788030833,0.6634396351122076,0.5410340827366658,0.16958548696714626,0.19744402342839054,MAC,WOR,0.6634396351122076,0.5410340827366658,0.12240555237554185,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5132,11,0,G1_CMAX,0.5430719742350154,0.43852918511380007,0.5502021895110436,0.19994304270371915,0.3866716988339907,WOR,SEQ,0.5502021895110436,0.5430719742350154,0.007130215276028196,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5137,12,1,G1_CMAX,0.7827521802783916,0.49671571808868165,0.8024826444688345,0.1649131943285278,0.5428684267853839,WOR,SEQ,0.8024826444688345,0.7827521802783916,0.019730464190442998,false,BAL,FULL_MASK_AUDIT,11,N1|N2|N3|N4|N5,APPLY,N1
1,5138,13,0,G1_CMAX,0.6648479119521638,0.5276569121170622,0.6191569119409193,0.15171178034195254,0.6057081661734329,SEQ,WOR,0.6648479119521638,0.6191569119409193,0.04569100001124449,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N1
1,5139,14,1,G1_CMAX,0.6594980389117102,0.6668711324362981,0.6596221091163146,0.16150477796395568,0.14549192416116694,MAC,WOR,0.6668711324362981,0.6596221091163146,0.007249023319983561,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N2
1,5140,15,0,G1_CMAX,0.6381557374207539,0.5461856257370239,0.6445438617207482,0.16563876796286864,0.6563631294111089,FAT,WOR,0.6563631294111089,0.6445438617207482,0.01181926769036068,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N1
1,5141,16,1,G1_CMAX,0.6362094349713799,0.606160421813194,0.6371976058390575,0.23318286291052162,0.3599552410502875,WOR,SEQ,0.6371976058390575,0.6362094349713799,9.881708676775514E-4,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5145,17,1,G1_CMAX,0.5883955781052861,0.6117772208198953,0.5935341417180112,0.19667905294231558,0.23641080041396084,MAC,WOR,0.6117772208198953,0.5935341417180112,0.018243079101884052,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N4|N5,APPLY,N1
1,5146,18,2,G1_CMAX,0.7045230059263503,0.7116973498538511,0.7418226786142417,0.22760189387376345,0.35497330401449123,WOR,MAC,0.7418226786142417,0.7116973498538511,0.030125328760390535,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5151,19,0,G1_CMAX,0.6781547284021545,0.5620602796324377,0.5799933499348153,0.18299808927386324,0.5161381650717736,SEQ,WOR,0.6781547284021545,0.5799933499348153,0.09816137846733919,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N1
1,5152,20,1,G4_BALANCED,0.7963951424651079,0.6584459925638946,0.8031069592058048,0.18247484384419388,0.5392478603899936,WOR,SEQ,0.8031069592058048,0.7963951424651079,0.006711816740696874,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5157,21,0,G4_BALANCED,0.46908995145692023,0.409317411855417,0.5161208004243851,0.1706184455234962,0.530419718718268,FAT,WOR,0.530419718718268,0.5161208004243851,0.014298918293882856,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N2
1,5158,22,0,G4_BALANCED,0.6763906510007938,0.6389378095776974,0.6454910133067019,0.15622183236856618,0.7149530914743003,FAT,SEQ,0.7149530914743003,0.6763906510007938,0.03856244047350654,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5159,23,0,G4_BALANCED,0.558911066145144,0.5484884312379645,0.5959801494108102,0.1759707764750555,0.5589809291537067,WOR,FAT,0.5959801494108102,0.5589809291537067,0.03699922025710356,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,APPLY,N3
1,5160,24,1,G4_BALANCED,0.7838180223430835,0.7500511186438572,0.8060035967841093,0.18091107321247799,0.49974829640056584,WOR,SEQ,0.8060035967841093,0.7838180223430835,0.022185574441025757,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5161,25,0,G4_BALANCED,0.5961327210678505,0.5767023469464462,0.5368611500411666,0.1601030940836884,0.38911001166495784,SEQ,MAC,0.5961327210678505,0.5767023469464462,0.01943037412140436,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5162,26,2,G4_BALANCED,0.6545486517158936,0.5372418774191643,0.7016451984127989,0.18420151574944504,0.15479444767162143,WOR,SEQ,0.7016451984127989,0.6545486517158936,0.04709654669690533,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5167,27,1,G4_BALANCED,0.7215312318829705,0.7620958708958001,0.7401022862682829,0.16799153416218382,0.49345519104083313,MAC,WOR,0.7620958708958001,0.7401022862682829,0.021993584627517215,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,APPLY,N3
1,5168,28,1,G4_BALANCED,0.6695032415857795,0.7661372225028313,0.6429832803877131,0.16586768463530233,0.3169927885039063,MAC,SEQ,0.7661372225028313,0.6695032415857795,0.09663398091705189,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5169,29,1,G4_BALANCED,0.6645530391886092,0.6398463170002084,0.7180477723129803,0.14045395397623212,0.25545857473908495,WOR,SEQ,0.7180477723129803,0.6645530391886092,0.05349473312437114,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N3
1,5170,30,1,G4_BALANCED,0.8041227549584533,0.8503558925038786,0.6676377909725827,0.21159643592682031,0.23842022345542827,MAC,SEQ,0.8503558925038786,0.8041227549584533,0.04623313754542524,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5171,31,1,G4_BALANCED,0.7219633241033159,0.7558516118840529,0.7327549677102525,0.1560826628472989,0.4194251590635788,MAC,WOR,0.7558516118840529,0.7327549677102525,0.023096644173800418,false,BAL,FULL_MASK_AUDIT,11,N1|N2|N3|N4|N5,APPLY,N3
1,5172,32,1,G4_BALANCED,0.7533361954297029,0.824934699669932,0.7825054552768588,0.18366503576883028,0.45738633760115477,MAC,WOR,0.824934699669932,0.7825054552768588,0.04242924439307327,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5177,33,1,G4_BALANCED,0.7960481483180731,0.8227723783041907,0.68824547353088,0.1606953690514822,0.4509579088649466,MAC,SEQ,0.8227723783041907,0.7960481483180731,0.026724229986117565,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5181,34,1,G4_BALANCED,0.7703658052728795,0.8045739955442633,0.695484620666733,0.14401423384799064,0.3234829438637377,MAC,SEQ,0.8045739955442633,0.7703658052728795,0.03420819027138389,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5186,35,1,G4_BALANCED,0.7001513530127789,0.7258097512272059,0.7521174569553849,0.16934906805797045,0.4589122951724584,WOR,MAC,0.7521174569553849,0.7258097512272059,0.026307705728178976,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N3
