generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,510,0,0,G1_CMAX,0.5505933501433091,0.5209882108718917,0.46257120792875017,0.17017890708783262,0.15241398090817432,SEQ,MAC,0.5505933501433091,0.5209882108718917,0.02960513927141739,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,515,1,1,G1_CMAX,0.5927159193282577,0.4044287508449844,0.4944879045266395,0.1395400313084002,0.1145733180041407,SEQ,WOR,0.5927159193282577,0.4944879045266395,0.09822801480161825,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N3
1,516,2,1,G4_BALANCED,0.652268357260237,0.42800311635260047,0.5964586564222254,0.14393254349249882,0.1014384145317871,SEQ,WOR,0.652268357260237,0.5964586564222254,0.05580970083801162,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,521,3,1,G4_BALANCED,0.6017197913924073,0.588755989630438,0.5122586846072765,0.1446893238898125,0.11281883723399778,SEQ,MAC,0.6017197913924073,0.588755989630438,0.012963801761969318,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N4
1,522,4,0,G4_BALANCED,0.637282353532591,0.5024738742054039,0.5799137176774166,0.1556962310800566,0.17819242281500414,SEQ,WOR,0.637282353532591,0.5799137176774166,0.05736863585517438,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N4
1,523,5,1,G4_BALANCED,0.6251512440229603,0.39504080212079584,0.5438133599615628,0.13917241226171714,0.10713666318004546,SEQ,WOR,0.6251512440229603,0.5438133599615628,0.08133788406139753,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N4
1,524,6,1,G2_TEC,0.6051139187564185,0.5957143368176872,0.3535554611781431,0.13877666663471483,0.09583283233012323,SEQ,MAC,0.6051139187564185,0.5957143368176872,0.00939958193873136,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,529,7,0,G2_TEC,0.5934591850080452,0.5773756932056222,0.49573185470791825,0.17560377584668396,0.1162715352641133,SEQ,MAC,0.5934591850080452,0.5773756932056222,0.016083491802422967,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N2
1,530,8,0,G3_TWC,0.5916788959580785,0.571456459968061,0.48255892191051025,0.14302264936777292,0.19874500910228962,SEQ,MAC,0.5916788959580785,0.571456459968061,0.020222435990017495,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,534,9,1,G3_TWC,0.6444571820580915,0.6132218747309803,0.5523270653481782,0.11570539354158618,0.09421166807887187,SEQ,MAC,0.6444571820580915,0.6132218747309803,0.031235307327111217,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,APPLY,N5
2,3692,0,0,G1_CMAX,0.6056174682785526,0.5977470233310755,0.4302130603532185,0.1505969944301765,0.132147307879833,SEQ,MAC,0.6056174682785526,0.5977470233310755,0.007870444947477018,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N3
2,3693,1,1,G1_CMAX,0.6190824830309001,0.3765987126410651,0.5278232369474778,0.14210844898299135,0.12737818532186995,SEQ,WOR,0.6190824830309001,0.5278232369474778,0.09125924608342229,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N3
2,3694,2,1,G4_BALANCED,0.5287308625010653,0.4949240463041761,0.40141309473097536,0.12231459740668457,0.13519985565047068,SEQ,MAC,0.5287308625010653,0.4949240463041761,0.03380681619688919,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N4
2,3695,3,0,G4_BALANCED,0.4717103634460443,0.4384284132728971,0.5218455267482975,0.16381245492631308,0.15852711779158427,WOR,SEQ,0.5218455267482975,0.4717103634460443,0.05013516330225326,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N4
2,3696,4,1,G4_BALANCED,0.5199370424921463,0.38687638780984046,0.4738700387482372,0.13740658112996124,0.13900305805107743,SEQ,WOR,0.5199370424921463,0.4738700387482372,0.04606700374390915,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,3700,5,0,G4_BALANCED,0.5700368295183145,0.544469311985851,0.4769729666320459,0.15448119033107566,0.08266679545269885,SEQ,MAC,0.5700368295183145,0.544469311985851,0.025567517532463446,false,BAL,FULL_MASK_AUDIT,3,N1|N2|N4|N5,APPLY,N4
2,3701,6,1,G2_TEC,0.6281050958971278,0.46164423598743376,0.5629112566736979,0.1438857489770424,0.21052124334750996,SEQ,WOR,0.6281050958971278,0.5629112566736979,0.06519383922342992,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,3705,7,1,G2_TEC,0.5207772860568394,0.3539552425123742,0.48060059057749815,0.14718153269756643,0.14615015151812813,SEQ,WOR,0.5207772860568394,0.48060059057749815,0.04017669547934122,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,APPLY,N2
2,3706,8,1,G3_TWC,0.5607839869479652,0.503358651114506,0.470373136584376,0.15356091354561707,0.0854200498594827,SEQ,MAC,0.5607839869479652,0.503358651114506,0.05742533583345921,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,APPLY,N5
2,3707,9,0,G3_TWC,0.47926730506283693,0.4203930525754762,0.5364052848996017,0.1562708785111876,0.14778485852967738,WOR,SEQ,0.5364052848996017,0.47926730506283693,0.057137979836764774,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
