candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,328.503690752287,11988.009008888948,22149.212508214827,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6f0e7bdab26f5750911389b5cd4a525f89defc524f1374e1496ce986c0350f9f
2,INITIAL,-1,true,true,6,0,300.361405859232,11656.040697088010,19091.935064700792,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,3,1,100,600,1,1,06dfa49a126194adda57c705af59f46fa2b30665c0e0a9a875e493300a6e06f7
3,INITIAL,-1,true,true,43,0,280.728251507245,11439.612661183231,21485.981085510128,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,5,1,100,400,1,1,19095c415f1f264bbdad130498862e699463c8962e2c069db5ad33000eabee8d
4,INITIAL,-1,true,true,47,0,261.263005345576,11857.086545093136,20051.513920223817,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,40,1,2,1,100,300,1,1,99e40679154dab1c260d39b2ebcc94b5e7d71384652808943f139b76119ad41f
5,GLOBAL_SLOT_G4_BALANCED,1,true,true,257,1,257.951829836113,12358.566135774276,19945.476133634373,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6c7f3dc2d8458ec71d7dbbaa5f5e409d7453c3827a3c141222dba96c9725eaa1
6,GLOBAL_SLOT_G4_BALANCED,49,true,true,321,1,248.499009029025,11422.933031666089,22252.840886359612,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1d88656c6ec63a64c56db23935a06cf9a3ecc7c82e76cd438bcf1a7f74a4fa7b
7,GLOBAL_SLOT_G1_CMAX,89,true,true,502,1,240.495517367095,11658.990646388633,17800.319743022574,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,160,1,0,0,800,1900,1,1,12c38fce1ba82ca7998a9bfcbf1e40ffde14f9d9e7383ce40d24d3270a34d7fc
8,GLOBAL_SLOT_G4_BALANCED,35,true,true,845,1,235.809311709654,10605.215612820339,19071.542259738140,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d77c66bcab5d6b262a0d532d1057f436696600b39d806025bb236cc2f848503b
9,GLOBAL_SLOT_G1_CMAX,46,true,true,1004,1,234.344488445699,11285.250882456516,20722.961872118212,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,727aedb173a51b1aa5f22834adccf0ab2cfc2f5db8799b6a755ef0e01d62cab8
10,GLOBAL_SLOT_G4_BALANCED,14,true,true,1938,1,224.903337724529,11246.323466157042,19217.850889356094,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,c2a5c70b28d9d8adbec212d8e5e2dbc644d4fbe367c54a02bb6f04cd9ca46587
11,GLOBAL_SLOT_G1_CMAX,14,true,true,2112,1,204.922725277266,11579.570146939934,17177.552604855613,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,700,2,0,0,2200,29629,1,2,a4527f7e77bc2b4cea3fb471dcefdc5f570d4dfed2fcbbe0f017326bf87da49a
12,GLOBAL_SLOT_G1_CMAX,123,true,true,29648,2,204.544749114965,10823.729254292335,16093.824577167165,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,3840,7,0,0,29729,199472,2,8,e8a11a607f2c86b937d79da1ad784e7d9ab23474dbe429045ea303ff3fe693fb
13,GLOBAL_SLOT_G1_CMAX,104,true,true,31342,2,200.539019715954,10351.813798600233,16595.994636003040,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d9dce7e6cf52b189a7712fd85d8332ae45ba43bc4e916ccfbe3412544419515a
14,NOT_APPLICABLE,208,true,true,62017,3,199.240580387579,11097.426692593643,18006.188749806140,G1_CMAX,INTER_FACTORY,INTER_FACTORY_INSERTION,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,890631f209c8febcf03516a0a8a1f5d68788dbaf5c5e68746eb2521652d52cd4
15,NOT_APPLICABLE,208,true,true,62020,3,198.653692758280,11137.042054977945,17273.878484928595,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,389b0de22fef3aa631e0cb40c5b0b90a9437ee2aec78728998dcc2fcf066a6aa
16,NOT_APPLICABLE,208,true,true,62037,3,194.177297392528,11185.820677923006,17486.346842906674,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,69973ba4e1a68ddac69280174a0d5a160ffc4c01afba4cdb009ba26279b33eec
17,NOT_APPLICABLE,208,true,true,62064,3,193.720344038260,11165.432549967396,17316.650686878078,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a7d9812cf902f72b30864c032f477469aef34708aee8b0f465b75b9cc4854b01
18,NOT_APPLICABLE,208,true,true,62071,3,191.852998480686,11194.156316374847,17302.240070513400,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,2277,15,83520,482400,4,18,783a65b1392264cfaec7802fa8102c0d170428c0b83c5353bb6424a8fde6edb3
19,GLOBAL_SLOT_G4_BALANCED,314,true,true,228108,9,187.570648745238,10890.866043293496,16175.217019104340,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1666dae6c031d7fb1a85328eb5dd0e2b7643bea89bbe948efe97d0d4756f2e1a
20,NOT_APPLICABLE,614,true,true,289358,11,187.269535528762,11004.400527593738,16090.286965425330,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,cfe57848c812806fc0ee480d20e6b58226255494d17d5ed07824ae3777a6e155
21,NOT_APPLICABLE,614,true,true,289367,11,186.700929447809,10997.710203363400,15930.647691648264,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,5692a682bbe3280d45c7a14a81e9932c9816008d21623e1245a1ad4e5dd14127
22,NOT_APPLICABLE,614,true,true,289392,11,186.674487594125,10982.755074377146,15788.236407477903,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,484,7,309386,482300,12,18,78e07465a5dfed2c8255d6dad2ca590991750bd11a63247b10343690c5cb28eb
23,NOT_APPLICABLE,754,true,true,455209,17,186.471139688418,11054.469531696916,16690.010638463150,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,6a8f9ccb9f44a911467d3ce9e4c866e9afdf94a42b45cc8e72aeff11334f55a0
24,NOT_APPLICABLE,754,true,true,455235,17,185.930120051808,10958.185187258863,16252.704799433603,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,2d4e8e376c57ff6b474f3ef4c52a77fbefa3c3153563724d748f3f967dc000e8
25,NOT_APPLICABLE,754,true,true,455270,17,184.494971265057,11014.719686286313,16493.157239265463,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,fa34179f439e91d602f4e03390b2244d4bb52763247ff3c43284f33379104980
26,NOT_APPLICABLE,754,true,true,455298,17,184.121129295563,11017.446182093992,16480.389700227950,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,186,1,477500,482400,18,18,56a5308bfa8f3bb0481324ad2baf28c93296718a99bbbabcc78bcaf5644f044d
