candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,328.503690752287,11988.009008888948,22149.212508214827,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6f0e7bdab26f5750911389b5cd4a525f89defc524f1374e1496ce986c0350f9f
2,INITIAL,-1,true,true,6,0,300.361405859232,11656.040697088010,19091.935064700792,UNASSIGNED,INITIAL,INITIAL,true,false,true,true,NOT_SELECTED,0,0,547,2,100,30445,1,2,06dfa49a126194adda57c705af59f46fa2b30665c0e0a9a875e493300a6e06f7
3,INITIAL,-1,true,true,43,0,280.728251507245,11439.612661183231,21485.981085510128,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,14,1,100,1000,1,1,19095c415f1f264bbdad130498862e699463c8962e2c069db5ad33000eabee8d
4,INITIAL,-1,true,true,47,0,261.263005345576,11857.086545093136,20051.513920223817,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,99e40679154dab1c260d39b2ebcc94b5e7d71384652808943f139b76119ad41f
5,GLOBAL_SLOT_G1_CMAX,13,true,true,114,1,251.639715342247,11569.862608956195,19919.358124125833,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,c68c6e6a867fa3b06b40a670607bf4345d94c3043314822cc955c7a645097d09
6,GLOBAL_SLOT_G1_CMAX,74,true,true,212,1,247.757670386746,11428.023278019817,19517.200824629144,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,40,1,0,0,300,400,1,1,73a5fcb6496c1258a37e7d06ca8c93520d6ec7ece366d52a217622ceb0def64d
7,GLOBAL_SLOT_G4_BALANCED,61,true,true,243,1,236.942489887277,11074.860823499010,21939.682396924590,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f33f680361fd76ffd8bb5dcc03fd2b33f2ced93e6d8c9ae0506910d8458d761b
8,GLOBAL_SLOT_G1_CMAX,99,true,true,511,1,232.526106865452,11124.774755067909,19498.422319137724,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,160,1,0,0,800,2100,1,1,10df68ca2e410008d87c953d3d906cc64e0088ca334c5e6eb75097b44a39f3ed
9,GLOBAL_SLOT_G1_CMAX,86,true,true,1413,1,229.344378270775,11331.804595964375,16911.090069651662,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f3711583e2595710303198e6a7675e704a926d257e3771934cab6115f1c205b1
10,GLOBAL_SLOT_G4_BALANCED,86,true,true,1842,1,226.497309131255,11076.334628782131,19787.753352572872,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,60,1,0,0,2200,2400,1,1,1ec258f41623e4d40d5d9fa89da3ba8a6797816dff120c80be1eb371d63a576c
