candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,70.251259725705,3260.177931647104,4085.780724463299,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,29,1,100,1400,1,1,660c516f247dbccb3e8df91c342c834139bf00f73a21531e91212ea48ecf1724
2,INITIAL,-1,true,true,32,0,64.965868545934,3545.665526997909,3858.600466639360,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,3,1,100,300,1,1,2d4457c33fe352c1ba42fa11b554a8a6bddf2762065e9fc7166f7f1b25560e6a
3,GLOBAL_SLOT_G1_CMAX,12,true,true,113,1,54.966516450364,3193.379875766592,3760.773232208735,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,180,1,0,0,200,2300,1,1,7067308695fe60e0164fab50ca611202f501eb059c7f9d44f1fe58eb53ed1b94
4,GLOBAL_SLOT_G3_TWC,32,true,true,581,1,54.460837888717,3300.492381290773,3628.574136577890,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,100,1,0,0,1700,3800,1,1,a75447bae3d159d6efc081068a2826df31ec69863a98ca2fac99499173ac783f
5,GLOBAL_SLOT_G4_BALANCED,70,true,true,730,1,53.980716253444,3244.152550839832,3652.228820618300,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,620,1,0,0,800,5000,1,1,c3a6d5e0e4fef4cd36b89e8392518cc933406dcddf171e2adaa3b70551ca22f8
6,NOT_APPLICABLE,64,true,true,6187,1,53.846841261190,3213.851324308882,3571.508305506698,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,5db5d31f0ae4f0b2a3d284302237a5053ece401198d5591b252fbd3bea3d3124
7,NOT_APPLICABLE,64,true,true,6190,1,53.423759712287,3211.133933101092,3540.923041063804,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,eccd975547b52a884fa31443eafa8ecfab31e8d57fcc55d21d70ff63fbc12669
8,NOT_APPLICABLE,64,true,true,6196,1,52.777429508824,3168.820691176215,3553.230974425680,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,140,2,46,3,27358,79165,2,4,b92696ca3f0c35c03aae72f500daa052cff9582d6c85a1b04ceb424fcacbf129
9,NOT_APPLICABLE,64,true,true,6414,1,51.930973893605,3129.749728447764,3604.407481112878,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a03719f3b02895e534b8a7c2db2c707605223ec2cef70d6192a9d2683db03b59
10,NOT_APPLICABLE,64,true,true,6420,1,51.545355983326,3115.447550752747,3590.289450658630,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,820,2,31,3,27358,80165,2,4,70f9b27471c239a113a04b564fa2815ad2e9f52d57985092311ac53f4514b07b
11,GLOBAL_SLOT_G1_CMAX,243,true,true,56273,3,50.843959079884,3106.427496583699,3607.676462208779,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1082031d79342c6cec2b0ad7ad056245af03bb5351aecd82a8467863c14ec03d
12,NOT_APPLICABLE,327,true,true,87600,4,50.826160218439,3079.270413486920,3586.726359669835,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,39a5a57ff8a7a711b8e15708c0c4f140f41457ef4341f00e4678907c504df2ad
13,NOT_APPLICABLE,327,true,true,87614,4,50.675893881986,3103.332971385563,3563.366394776357,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,220,4,133,7,103044,283549,5,12,e5227021bc62e5bf44d6c6090ce5aed6a0192dc80405884a7af750186e9d5684
14,NOT_APPLICABLE,549,true,true,161346,7,49.158705945918,3178.829876376407,3592.404004433327,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,520,1,426,3,179129,231951,8,10,18caf91bae3dfb8df61a52b3d291d85500741e85cb3e06c9ee2969b0c442874a
15,NOT_APPLICABLE,682,true,true,498377,20,48.969309374490,3315.737683100269,3621.096997111339,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,YES,0,0,0,0,,,,,53bffb9ac09bf45876bbaa7dc978baa81dde78e4d013067726b13edc80ce92b9
