fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,45.388888888889,45.388888888889,49.667055714092,45.260732634274,45.500389047426,,45.260732634274,,1540.151946965551,1593.168600706961,1540.151946965551,1593.168600706961
2000,45.260732634274,45.260732634274,49.667055714092,45.260732634274,45.388888888889,,45.388888888889,,1535.076015535791,1591.418600706961,1533.756798742638,1591.418600706961
3000,45.260732634274,45.260732634274,45.500000000000,45.260732634274,45.388888888889,,45.500000000000,,1533.046670042686,1591.418600706961,1533.046670042686,1591.418600706961
4000,45.260732634274,45.260732634274,47.071824240211,45.260732634274,45.388888888889,,45.388888888889,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
5000,45.260732634274,45.260732634274,46.685059443976,45.260732634274,45.388888888889,,45.388888888889,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
6000,45.260732634274,45.260732634274,45.388888888889,45.260732634274,45.260732634274,,45.260732634274,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
7000,45.260732634274,45.260732634274,45.388888888889,45.260732634274,45.260732634274,,45.879724933310,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
8000,45.260732634274,45.260732634274,45.388888888889,45.260732634274,45.260732634274,,46.685059443976,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
9000,45.260732634274,45.260732634274,45.388888888889,45.260732634274,45.260732634274,,45.666666666667,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
10000,45.260732634274,45.260732634274,45.388888888889,45.190600517189,45.190600517189,,45.190600517189,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
11000,45.260732634274,45.260732634274,45.388888888889,45.190600517189,45.190600517189,,45.260732634274,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
12000,45.260732634274,45.260732634274,45.388888888889,45.190600517189,45.190600517189,,49.750000000000,,1530.123464887331,1591.418600706961,1530.123464887331,1591.418600706961
