candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,473.724339678496,12108.429589071035,25551.492298043366,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,8f4292018a4ad0101e18b90de808dbd667213a8a18676f45cf6da7d4df63d1c1
2,INITIAL,-1,true,true,2,0,346.588950461911,11096.424451617828,26700.321881491596,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,89,1,400,3600,1,1,7d009073f21c6757d528dbe1bc4309d70b02cc801e105942a616cfed24401bf0
3,INITIAL,-1,true,true,5,0,326.885471723313,11325.952843071770,17295.865999514695,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,28,1,200,2300,1,1,698116e23e0eaae667b0438949fbcaf75af7eb5b6d0e47ce2ff8d63173e59e5f
4,INITIAL,-1,true,true,12,0,313.500948651449,13115.870954697779,23006.251813705203,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,747d5b75a5f87fac3e60196e6adf476e0f4f1c594b3048192353e2f64bf70d94
5,INITIAL,-1,true,true,14,0,306.833984798174,11720.729945754614,19946.318377494790,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,6,1,100,500,1,1,66132189e4ff94226406b4670079b1fa92dee3130ca868639338176efbb55ef6
6,INITIAL,-1,true,true,18,0,281.766695379305,12266.466713644553,26247.235439154632,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,44d572e021eae35d4c6e7b16f4047c9082989596b1de8ee25c6c483dd2adc921
7,INITIAL,-1,true,true,22,0,258.089850110042,11180.590732295440,22360.583854414734,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,20,1,13,1,100,900,1,1,2ae2aecc1ec40d373d19f5c594c5d9a53e0086be33a036b8b539b2c1fb5e9ef0
8,GLOBAL_SLOT_G4_BALANCED,63,true,true,242,1,224.485894250095,10932.517297994990,16505.388596377434,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,260,2,0,0,300,29647,1,2,0d8571ef8ef37399533df65ff5b453e0d907bd11794772f5c51bfb0aff96bdeb
9,GLOBAL_SLOT_G4_BALANCED,35,true,true,342,1,213.141585019516,11865.665108288018,18611.475717265144,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,400,1,0,0,1600,4600,1,1,a56417422f621951183c172a0ae5e5153a7b25807f02ab947fe3064ba0eb0614
10,NOT_APPLICABLE,26,true,true,8174,1,208.485048747484,11486.448232175324,19536.860013375062,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,34ae8a6a2bf1ca196feae24d87cf50e8d284d48348a02dd026e85aea823a87e7
11,NOT_APPLICABLE,26,true,true,8175,1,206.423254539694,11347.009988745012,19262.033066637640,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,800821dfa8831f53fb6b5de44db8ea399d8c9ae8d1d6300db6bc5dea1269f3a0
12,NOT_APPLICABLE,26,true,true,8176,1,205.764619582096,11389.496544511932,19207.557033570665,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,acea05c3c452999ccd5d3cdbc5eee6eb9b06f3aa3b5cae471f3396fda52e334c
13,NOT_APPLICABLE,26,true,true,8203,1,205.427784182085,11401.219870789966,18901.267987765410,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a77c8ec3494676cf43ab7932201eebc4b51471b399ebd018538c29066dce3595
14,NOT_APPLICABLE,26,true,true,8221,1,205.417021458351,11323.616866805896,18775.576285989755,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,9596085edcf9604ef8d62ba23e0cd9ca0ffb0a5c206a65aa3ce6bc7d4486bd84
15,NOT_APPLICABLE,26,true,true,8225,1,204.078776017213,11341.401026396998,18142.749439620355,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,520,1,1,1,29447,34347,2,2,4645599e02f0b5f82f7cdb22db0b9caad3925e8cca2fcfc306d85c559a136be0
16,GLOBAL_SLOT_G4_BALANCED,173,true,true,34395,2,195.941797761424,11196.418757409085,17284.995045879070,G4_BALANCED,CFVF,CFVF,true,true,true,true,NO,1000,2,11,2,58095,87500,3,4,57de6f87c1d6411c107815dffc7ee1f01dec8d9c3705529546be1c16c5ae6202
17,NOT_APPLICABLE,263,true,true,66771,3,195.515813677797,11480.570970202592,17278.048663178975,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,fe0f57c600f9fd8cef818ddaf71ce95abe2d5a8d36fa86405684d7c604834860
18,NOT_APPLICABLE,263,true,true,66772,3,195.335370431053,11263.948075506882,17164.416871392197,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,17a9ac896a54254423cd4b5d0f0470ff1811d9fe2756ee3262c42254af57a057
19,NOT_APPLICABLE,263,true,true,66779,3,195.047664832065,11346.815659679880,17208.743102055472,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,14dc118afa9347e4e13adbc5670045d8305053e5a880d294525ac259a14fc98e
20,NOT_APPLICABLE,263,true,true,66782,3,195.041951570870,11264.757505510388,17171.015845287195,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,72,3,86100,199667,4,8,75df9cc4941ac6ec40dbfcd852c5933d2fbedeee21fde45cebec77392664ffea
21,GLOBAL_SLOT_G1_CMAX,339,true,true,88206,4,195.006011634293,11196.669262850775,18095.357567278676,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b4ebc30f5ebcd96ef15eb51301cf0da8faecc7cd7a75867c73e39ca39b4606c4
22,GLOBAL_SLOT_G4_BALANCED,343,true,true,90937,4,189.510637327583,10896.620428450977,16237.264122369346,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,140,3,0,0,117510,175013,5,7,81e5eb0e8414f08c77831673c6a00405f887e4607495a7a7ec7af7ffde530a63
