generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,510,0,0,G1_CMAX,0.6196680650487452,0.43542606472651013,0.545689706378487,0.1530204055276878,0.15313010198295782,SEQ,WOR,0.6196680650487452,0.545689706378487,0.07397835867025815,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,515,1,0,G1_CMAX,0.538664832965349,0.3742126752324768,0.5705454152464997,0.17229338366849614,0.14695377652340005,WOR,SEQ,0.5705454152464997,0.538664832965349,0.03188058228115076,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N1
1,516,2,0,G4_BALANCED,0.6494385992382896,0.6494042001312786,0.5970647292144183,0.15281642156354472,0.17451231862797206,SEQ,MAC,0.6494385992382896,0.6494042001312786,3.439910701097393E-5,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,521,3,1,G4_BALANCED,0.4440875834433293,0.40968729264655346,0.4972953241454252,0.12090641433781213,0.12433474086557925,WOR,SEQ,0.4972953241454252,0.4440875834433293,0.053207740702095885,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,525,4,1,G4_BALANCED,0.5171740956597003,0.3989540394119919,0.4890389291276818,0.13788651464788593,0.13638823533896818,SEQ,WOR,0.5171740956597003,0.4890389291276818,0.028135166532018474,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,530,5,0,G4_BALANCED,0.5706070238270493,0.4253589278355935,0.4489325652361256,0.17849391616673876,0.11362849128256747,SEQ,WOR,0.5706070238270493,0.4489325652361256,0.12167445859092368,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N2
1,531,6,1,G2_TEC,0.5440605930432911,0.48196590535264516,0.4192307213142041,0.15363436238746578,0.13652808521532186,SEQ,MAC,0.5440605930432911,0.48196590535264516,0.06209468769064597,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,535,7,0,G2_TEC,0.6764677650375844,0.6286484212873826,0.578301385045144,0.15109028613386746,0.11074612602284716,SEQ,MAC,0.6764677650375844,0.6286484212873826,0.047819343750201804,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,540,8,0,G3_TWC,0.5597326937836709,0.5545568318565217,0.6187440748990649,0.1508966096999852,0.1779892943627841,WOR,SEQ,0.6187440748990649,0.5597326937836709,0.05901138111539406,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,545,9,0,G3_TWC,0.5084671464912109,0.48601697165044716,0.4809378900369703,0.1739057618013812,0.11533608314915791,SEQ,MAC,0.5084671464912109,0.48601697165044716,0.02245017484076378,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N2
2,3627,0,1,G1_CMAX,0.6382964278777955,0.33816209483568055,0.5797761829525692,0.13411371569813035,0.16926737801117742,SEQ,WOR,0.6382964278777955,0.5797761829525692,0.05852024492522634,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N3
2,3628,1,1,G1_CMAX,0.615428502709624,0.6117665900663385,0.53837244018349,0.15512951214853754,0.10100685347499254,SEQ,MAC,0.615428502709624,0.6117665900663385,0.0036619126432855253,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,APPLY,N4
2,3629,2,1,G4_BALANCED,0.662127255740223,0.6699956222348228,0.6092548816860281,0.14627818871078924,0.11865770612683767,MAC,SEQ,0.6699956222348228,0.662127255740223,0.007868366494599766,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,3633,3,1,G4_BALANCED,0.5480784208937644,0.4758204330132684,0.5222145426627629,0.14909655500329527,0.05412187168292402,SEQ,WOR,0.5480784208937644,0.5222145426627629,0.025863878231001447,false,BAL,FULL_MASK_AUDIT,3,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
2,3638,4,1,G4_BALANCED,0.49543537365123247,0.3414522269478191,0.4921781183826057,0.1374615719585019,0.17776774677545623,SEQ,WOR,0.49543537365123247,0.4921781183826057,0.0032572552686267464,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N2
2,3639,5,1,G4_BALANCED,0.6386374081569168,0.3799669416250886,0.5824333124846077,0.14702404283568674,0.15577427043722925,SEQ,WOR,0.6386374081569168,0.5824333124846077,0.05620409567230911,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N2
2,3640,6,1,G2_TEC,0.46919472236420046,0.33703768064209094,0.47045127812162757,0.13541558645716195,0.15219262006273485,WOR,SEQ,0.47045127812162757,0.46919472236420046,0.0012565557574271136,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N2
2,3641,7,1,G2_TEC,0.6070805275588664,0.3178616885649622,0.5202210767047386,0.14435661165865366,0.15516355077595198,SEQ,WOR,0.6070805275588664,0.5202210767047386,0.08685945085412783,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N2
2,3642,8,0,G3_TWC,0.6347523760019494,0.34934896212686983,0.5663624881403202,0.14788241815786257,0.13418287927452002,SEQ,WOR,0.6347523760019494,0.5663624881403202,0.06838988786162925,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N4|N5,TEST,N1|N2|N4|N5
2,3646,9,0,G3_TWC,0.563212780889557,0.5209113687713222,0.46811703568223406,0.12733574455844313,0.14632135581223094,SEQ,MAC,0.563212780889557,0.5209113687713222,0.042301412118234794,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N4|N5,APPLY,N2
