fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,235.606455414110,235.606455414110,245.922596410115,235.606455414110,235.606455414110,,235.606455414110,,9571.709058224690,14033.437003672547,9571.709058224690,13712.842277091357
2000,230.267214775517,230.267214775517,245.263208079302,230.267214775517,230.267214775517,,230.267214775517,,9233.927070392823,13381.978304639793,9233.927070392823,13381.978304639793
3000,220.823079646406,220.823079646406,250.818413794423,220.823079646406,222.755474071828,,220.823079646406,,9130.074829872554,13381.978304639793,9130.074829872554,13381.978304639793
4000,220.617293490021,220.617293490021,222.050306849091,220.617293490021,220.617293490021,,220.617293490021,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
5000,220.617293490021,220.617293490021,235.630541944033,220.617293490021,220.617293490021,,226.924503382368,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
6000,220.617293490021,220.617293490021,253.302813931874,220.617293490021,220.617293490021,,225.585543367497,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
7000,220.617293490021,220.617293490021,253.302813931874,207.808870840318,207.808870840318,,207.808870840318,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
8000,220.617293490021,220.617293490021,253.302813931874,207.808870840318,207.808870840318,,233.570653115899,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
9000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,198.470445489861,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
10000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,201.803183745448,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
11000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,228.435059181015,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
12000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,229.051477605076,,9130.074829872554,13141.981739001290,9130.074829872554,13141.981739001290
13000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,255.075976668521,,9130.074829872554,13141.981739001290,9100.623300138084,13141.981739001290
14000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,240.468837990389,,9130.074829872554,13141.981739001290,9100.623300138084,13141.981739001290
15000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,222.314891090762,,9130.074829872554,13141.981739001290,9100.623300138084,13141.981739001290
16000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,225.686410921711,,9130.074829872554,13141.981739001290,9100.623300138084,13141.981739001290
17000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,242.341534445770,,9130.074829872554,13141.981739001290,8984.519705127880,13141.981739001290
18000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,271.095869478004,,9130.074829872554,13141.981739001290,8984.519705127880,13141.981739001290
19000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,281.291552539136,,9130.074829872554,13141.981739001290,8984.519705127880,13141.981739001290
20000,220.617293490021,220.617293490021,253.302813931874,198.470445489861,198.470445489861,,279.032455560295,,9130.074829872554,13141.981739001290,8984.519705127880,13141.981739001290
