generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,1,G1_CMAX,0.5693727701824935,0.4961263679240266,0.5966460154705594,0.18360164460766779,0.3088962910255173,WOR,SEQ,0.5966460154705594,0.5693727701824935,0.02727324528806585,false,BAL,BELOW_ABSOLUTE_THRESHOLD,5,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,2,G1_CMAX,0.5577780114452389,0.627849500493855,0.7190726288230106,0.13790926648798563,0.2507174295156903,WOR,MAC,0.7190726288230106,0.627849500493855,0.09122312832915558,true,WOR,HIGH_CONFIDENCE,7,N2|N4|N5,TEST,N2|N4|N5
1,5108,2,1,G1_CMAX,0.577135583563624,0.5603045956420913,0.526357592815999,0.15703285170187814,0.24595221310431875,SEQ,MAC,0.577135583563624,0.5603045956420913,0.016830987921532703,false,BAL,BELOW_ABSOLUTE_THRESHOLD,7,N1|N2|N3|N4|N5,APPLY,N3
1,5109,3,2,G1_CMAX,0.6907590742630556,0.6905077688020385,0.7643339000846597,0.185443067845513,0.3568396673588178,WOR,SEQ,0.7643339000846597,0.6907590742630556,0.07357482582160413,true,WOR,HIGH_CONFIDENCE,6,N2|N4|N5,APPLY,N5
1,5110,4,1,G1_CMAX,0.6816142785670463,0.525784603748249,0.700818342526544,0.1495896347116657,0.36226038772088376,WOR,SEQ,0.700818342526544,0.6816142785670463,0.019204063959497697,false,BAL,BELOW_ABSOLUTE_THRESHOLD,6,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5114,5,1,G1_CMAX,0.6939855589575434,0.5375123333535246,0.7137278464800828,0.15907388824239366,0.3285056787307087,WOR,SEQ,0.7137278464800828,0.6939855589575434,0.01974228752253937,false,BAL,INSUFFICIENT_PRESSURE_GAP,6,N1|N2|N4|N5,APPLY,N5
1,5115,6,1,G1_CMAX,0.7262782575947552,0.5607093934101615,0.7353386639619017,0.14158208058101315,0.36658653496361027,WOR,SEQ,0.7353386639619017,0.7262782575947552,0.009060406367146556,false,BAL,INSUFFICIENT_PRESSURE_GAP,6,N1|N2|N4|N5,APPLY,N5
1,5116,7,0,G1_CMAX,0.7078018289599699,0.7306431124124357,0.6772723132711054,0.20822940279761243,0.5213694529059996,MAC,SEQ,0.7306431124124357,0.7078018289599699,0.022841283452465833,false,BAL,INSUFFICIENT_PRESSURE_GAP,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5121,8,1,G1_CMAX,0.6722184685806877,0.7263803075427087,0.6560758509725431,0.16752125577940968,0.2616186879464767,MAC,SEQ,0.7263803075427087,0.6722184685806877,0.05416183896202098,true,MAC,HIGH_CONFIDENCE,5,N2|N4,TEST,N2|N4
1,5123,9,2,G1_CMAX,0.5421224115612143,0.49673536327981743,0.6133401978650656,0.13128704783162082,0.2686456797315795,WOR,SEQ,0.6133401978650656,0.5421224115612143,0.07121778630385123,false,BAL,BELOW_ABSOLUTE_THRESHOLD,5,N1|N2|N3|N4|N5,APPLY,N5
1,5124,10,1,G1_CMAX,0.6650443467854626,0.71646672994873,0.6416956680125301,0.155851396326253,0.2350793167046465,MAC,SEQ,0.71646672994873,0.6650443467854626,0.051422383163267305,true,MAC,HIGH_CONFIDENCE,5,N2|N4,APPLY,N4
1,5125,11,2,G1_CMAX,0.7073923821621534,0.6292951387713143,0.7430132509286869,0.1472591575515575,0.34023996380464416,WOR,SEQ,0.7430132509286869,0.7073923821621534,0.035620868766533476,false,BAL,INSUFFICIENT_PRESSURE_GAP,7,N1|N2|N3|N4|N5,APPLY,N3
1,5126,12,0,G1_CMAX,0.7022060529959357,0.7368769901434729,0.6805267623501952,0.17019071833687216,0.6762588144934905,MAC,SEQ,0.7368769901434729,0.7022060529959357,0.034670937147537106,false,BAL,INSUFFICIENT_PRESSURE_GAP,9,N1|N2|N3|N4|N5,APPLY,N5
1,5127,13,1,G1_CMAX,0.7135254189965692,0.7663350449464481,0.5853047804064946,0.16592723911476792,0.2472733942927694,MAC,SEQ,0.7663350449464481,0.7135254189965692,0.052809625949878924,true,MAC,HIGH_CONFIDENCE,7,N2|N4,APPLY,N4
1,5128,14,2,G1_CMAX,0.5652044386291064,0.6949098110171241,0.6308701508282082,0.16938539154860627,0.2577961908107137,MAC,WOR,0.6949098110171241,0.6308701508282082,0.06403966018891594,false,BAL,BELOW_ABSOLUTE_THRESHOLD,6,N1|N2|N3|N4|N5,APPLY,N5
1,5129,15,2,G1_CMAX,0.556406890900696,0.652583628704547,0.6663711231182455,0.17819460033122095,0.29203833514362043,WOR,MAC,0.6663711231182455,0.652583628704547,0.013787494413698531,false,BAL,BELOW_ABSOLUTE_THRESHOLD,6,N1|N2|N3|N4|N5,APPLY,N5
1,5130,16,2,G1_CMAX,0.6627434439557089,0.7662218439081392,0.6581827731397817,0.16115095444099836,0.2222405221175751,MAC,SEQ,0.7662218439081392,0.6627434439557089,0.10347839995243024,true,MAC,HIGH_CONFIDENCE,7,N2|N4,TEST,N2|N4
