candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,343.291562591535,13034.478623289775,24005.048041302212,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,7437d523418f18e0025b8d7c7a98e56ccf52cf6fac06f1fa95180888c39f0388
2,INITIAL,-1,true,true,2,0,341.024076794271,11628.653435427394,20929.210175798330,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,200,200,1,1,e2a2a2a4c78bb72656b840df9ee7d3e93a6b7da7eec69b0f9826ba079d8c880f
3,INITIAL,-1,true,true,3,0,335.868704355346,13473.947127826472,21617.881435125260,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,66c56543eddd263c3009dd9737ad1720b8b28a3cd2dbc5aa5569047541f217e9
4,INITIAL,-1,true,true,12,0,335.403479311590,13019.448369034920,18931.941689595120,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,200,200,1,1,efbfb20161cd3eb5a2bd4929fe57709464e311ff3d0759195350c6870c730388
5,INITIAL,-1,true,true,13,0,322.594746638514,12786.906808409545,18773.287755162764,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,2,1,100,200,1,1,aaac0cb4859d9968af6b6a6b7aea14ff8142e0f1e0625458e5e34e4a29fb1ae5
6,INITIAL,-1,true,true,23,0,300.085517923530,12296.572987809708,22455.719157282598,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,3,1,100,300,1,1,ee79fcabbcb2eb6f68a1ba22cf0d70ff8acfe3d73014820e4fa6bcdcc5f2fbbf
7,INITIAL,-1,true,true,29,0,299.540422503217,12888.132817234597,21728.763236325220,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,1,1,100,100,1,1,42720f6cd6f3d06a9b95f302808866ebb3fed9d9a42178e1e95d4a186b142b45
8,INITIAL,-1,true,true,33,0,267.350706261336,12414.323357839647,20068.117761673870,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,4,1,100,400,1,1,f991a35a4fc3f38ba19e25cf5036284e33afef7ac533ff3b09cdada8ccd46c06
9,GLOBAL_SLOT_G4_BALANCED,26,true,true,127,1,260.625751752561,11694.648540811531,20927.227423106620,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,46a4a0d54adf0956f21657383ca57a67c97a7eb695127331671625ed5a2a2b71
10,GLOBAL_SLOT_G4_BALANCED,33,true,true,134,1,247.589329113148,11657.723680655823,21944.191418916780,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,40,1,0,0,200,300,1,1,d4cee975289bebdb0c90fd3fca6a9c6d29921c7ccbf1ca5542850a4629bd93b7
11,GLOBAL_SLOT_G4_BALANCED,46,true,true,421,1,241.865544506102,11310.527337534202,20035.016465145425,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,60,1,0,0,700,900,1,1,7a55d83c836fb1024d5d70d05bf25bd16bd375db0d8826e9abb8a262892ca9fb
12,GLOBAL_SLOT_G2_TEC,72,true,true,665,1,237.472446021422,11381.646465904701,20101.405514413567,G2_TEC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,351b22eef8e5a75874baaa2944438ee48adc9174e20faa0c15dd683d3444fbd4
13,GLOBAL_SLOT_G1_CMAX,67,true,true,912,1,230.988316010427,11227.068109367634,19443.958800129596,G1_CMAX,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,63361cd31d52f999d32f245a12d2ba8a600606fe661f7446ef0ce5943d989b52
14,GLOBAL_SLOT_G4_BALANCED,67,true,true,953,1,230.736270281907,11722.509951262553,19296.505008693040,G4_BALANCED,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,4a94f2a4f37947dd02727e472d70ff21a5944d7cb551b07145ae769dbfdc348b
15,GLOBAL_SLOT_G2_TEC,27,true,true,977,1,230.731693400390,10810.517315633844,17631.567115180682,G2_TEC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,320,1,0,0,1000,2700,1,1,14395749423c13f7061e22d9d0e557e258ffdc81b6b282a73eaa45d9341fd227
16,GLOBAL_SLOT_G1_CMAX,67,true,true,1007,1,230.199193176945,10611.550116476010,19444.485032920278,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,7a7b43d6046e500ca65d3d007005460552f8648e9f239c091b2f3679c60b4de2
17,GLOBAL_SLOT_G4_BALANCED,67,true,true,1137,1,229.697393587568,11061.876353512510,20306.765733665758,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4ae055867e62e3e4f8858de2484f7e34d539695ce86f90ff40e1f5ae3267c84c
18,GLOBAL_SLOT_G4_BALANCED,67,true,true,1228,1,229.377208257043,11668.227095791564,19841.672496316416,G4_BALANCED,CFVF,CFVF,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,7a6f47de7077091dacc48e7f1a58259aa8aba3789e428cacdb002cc4bfe54b30
19,GLOBAL_SLOT_G4_BALANCED,67,true,true,1241,1,221.291682666335,10538.257388897051,19155.830247204663,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4c2b1fea0a56145aa248511d3d661cd7dc80b1a6fc2882b0fdccc3523961b6ba
20,GLOBAL_SLOT_G4_BALANCED,67,true,true,1324,1,213.224878859819,10919.224277745867,19212.744575155273,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,24c9a1f06512ca06b708c130af4e9a75a2db5b2e5cacbc892edbb4e2d1ed53dc
21,GLOBAL_SLOT_G4_BALANCED,72,true,true,1542,1,201.797330907203,11546.050466032966,18128.952746375910,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,a7f77acd6eb78d9f36e5ef743be59e3f58dc28b182bd4fa4d41a4ba065edcfc0
