fe,bestCmaxGlobal,bestCmaxG1,currentBestCmaxG1,bestCmaxGenerated,bestCmaxGeneratedG1,bestCmaxSurvived,windowBestGenerated,windowBestSurvived,bestTECGlobal,bestTWCGlobal,bestTECGenerated,bestTWCGenerated
1000,223.257228185037,223.257228185037,247.707791887431,223.257228185037,223.257228185037,,223.257228185037,,9396.845340830092,14174.565604423318,9396.845340830092,14174.565604423318
2000,223.257228185037,223.257228185037,229.501116433183,223.257228185037,223.257228185037,,229.501116433183,,9286.518115662564,13985.379576745276,9280.669976465033,13985.379576745276
3000,223.257228185037,223.257228185037,244.513015519433,223.257228185037,223.257228185037,,244.513015519433,,9036.271609208668,13377.853452239979,9036.271609208668,13377.853452239979
4000,223.257228185037,223.257228185037,262.039529944070,223.257228185037,223.257228185037,,241.497577127911,,9036.271609208668,13199.429493413105,9036.271609208668,13199.429493413105
5000,223.257228185037,223.257228185037,237.013489138094,223.257228185037,223.257228185037,,228.644329345800,,9036.271609208668,13199.429493413105,9036.271609208668,13199.429493413105
6000,223.257228185037,223.257228185037,252.671788411942,223.257228185037,223.257228185037,,223.875108895340,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
7000,223.257228185037,223.257228185037,252.671788411942,223.257228185037,223.257228185037,,228.782678287357,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
8000,223.257228185037,223.257228185037,252.671788411942,215.760096410458,215.760096410458,,215.760096410458,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
9000,223.257228185037,223.257228185037,252.671788411942,215.760096410458,215.760096410458,,242.907051865139,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
10000,223.257228185037,223.257228185037,252.671788411942,215.760096410458,215.760096410458,,219.319632192459,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
11000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,205.941944306108,,9036.271609208668,13199.429493413105,8995.302670163608,13199.429493413105
12000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,224.224593399860,,9036.271609208668,13199.429493413105,8819.599716889890,13199.429493413105
13000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,235.664434016717,,9036.271609208668,13199.429493413105,8819.599716889890,13199.429493413105
14000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,237.268052813605,,9036.271609208668,13199.429493413105,8819.599716889890,13199.429493413105
15000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,243.606450902601,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
16000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,243.976945171068,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
17000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,265.683345150903,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
18000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,231.081161079347,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
19000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,272.415312355973,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
20000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,271.467470461306,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
21000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,260.503613357990,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
22000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,270.670138858432,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
23000,223.257228185037,223.257228185037,252.671788411942,205.941944306108,205.941944306108,,256.764297046591,,9036.271609208668,13199.429493413105,8819.599716889890,13086.553603274826
