generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,0,G1_CMAX,0.6697467386027727,0.6639778728624388,0.560562464604799,0.17155347100512341,0.5602771072348478,SEQ,MAC,0.6697467386027727,0.6639778728624388,0.005768865740333862,false,BAL,FULL_MASK_AUDIT,12,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,0,G1_CMAX,0.6984544878084671,0.6918469860042142,0.4972033505147099,0.18693191410819204,0.39277653918644706,SEQ,MAC,0.6984544878084671,0.6918469860042142,0.006607501804252847,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5106,2,0,G1_CMAX,0.5656878777901398,0.5804722425743556,0.7205787775312609,0.16344466631730037,0.6932915767503658,WOR,FAT,0.7205787775312609,0.6932915767503658,0.027287200780895082,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N3
1,5107,3,0,G1_CMAX,0.7512251702337818,0.7880301347297614,0.5534316377012007,0.17332842520801472,0.5589012245158169,MAC,SEQ,0.7880301347297614,0.7512251702337818,0.036804964495979586,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5108,4,1,G1_CMAX,0.6066062927184499,0.6244008304971451,0.5573228347420005,0.19914144016284532,0.22159775116544486,MAC,SEQ,0.6244008304971451,0.6066062927184499,0.01779453777869522,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5109,5,2,G1_CMAX,0.6027155365523149,0.7101150690259515,0.6753250049838082,0.1921572011053398,0.26880939518397995,MAC,WOR,0.7101150690259515,0.6753250049838082,0.03479006404214324,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5110,6,0,G1_CMAX,0.6089356173485805,0.6671454440617586,0.5251620462576277,0.21354079293901473,0.4001716696024493,MAC,SEQ,0.6671454440617586,0.6089356173485805,0.05820982671317809,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5115,7,2,G1_CMAX,0.6697975601465861,0.6756546674078963,0.7314232494154564,0.15337547651687078,0.32328157108217215,WOR,MAC,0.7314232494154564,0.6756546674078963,0.055768582007560186,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5116,8,0,G1_CMAX,0.7412381789981437,0.7723150809891637,0.5595274406095105,0.20109538704831345,0.41161818085846513,MAC,SEQ,0.7723150809891637,0.7412381789981437,0.03107690199101998,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5117,9,1,G1_CMAX,0.581362481931586,0.5863111727568346,0.5641344360447116,0.15864361543172073,0.1636453123038635,MAC,SEQ,0.5863111727568346,0.581362481931586,0.004948690825248625,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5118,10,1,G1_CMAX,0.7917510532135879,0.6277995646874859,0.7893090479399589,0.15623334199667,0.5344052910346238,SEQ,WOR,0.7917510532135879,0.7893090479399589,0.002442005273628922,false,BAL,FULL_MASK_AUDIT,11,N1|N2|N3|N4|N5,APPLY,N3
1,5119,11,0,G1_CMAX,0.7356876196439939,0.7174310371546249,0.4364321825655805,0.1924806956934859,0.5786597110302453,SEQ,MAC,0.7356876196439939,0.7174310371546249,0.01825658248936901,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5120,12,0,G1_CMAX,0.5746111097560891,0.7129362082092547,0.50095650122619,0.20121004563465955,0.3893154148039583,MAC,SEQ,0.7129362082092547,0.5746111097560891,0.13832509845316565,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5125,13,2,G1_CMAX,0.7588978197670543,0.8240544949121074,0.49275813862625334,0.22117070738091973,0.12669858872029702,MAC,SEQ,0.8240544949121074,0.7588978197670543,0.06515667514505308,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5126,14,0,G1_CMAX,0.6458699777207527,0.6608597548580561,0.5934509471198414,0.15615996953361816,0.745110806089692,FAT,MAC,0.745110806089692,0.6608597548580561,0.0842510512316359,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N3
1,5127,15,1,G1_CMAX,0.6415861174447586,0.6361512018351436,0.6795903863104895,0.17206698676755544,0.2490775861847349,WOR,SEQ,0.6795903863104895,0.6415861174447586,0.03800426886573094,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N5
1,5128,16,0,G1_CMAX,0.6072536899092202,0.5630108425452722,0.5384877043990004,0.18123149689319246,0.46466359292038395,SEQ,MAC,0.6072536899092202,0.5630108425452722,0.04424284736394801,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5129,17,1,G1_CMAX,0.5710259417582363,0.514924451881196,0.4698229944289525,0.1421670335418761,0.18722570043424866,SEQ,MAC,0.5710259417582363,0.514924451881196,0.056101489877040334,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5130,18,0,G1_CMAX,0.5948067136968154,0.6102612095224358,0.624581229592513,0.14730630198563313,0.5687971515006282,WOR,MAC,0.624581229592513,0.6102612095224358,0.014320020070077266,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
