candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,417.041369677306,13007.457203173424,28831.898633504217,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,f694e023db4542d820a81f521bee779bf7192104380b507fdc3d6ba180de1cea
2,INITIAL,-1,true,true,3,0,416.849806384074,13729.247727038965,29122.781518226060,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,94eca3699d98989ce5c60b9e24632ed84c9cca8677ab46c547f11a982833c466
3,INITIAL,-1,true,true,4,0,388.455700521809,12837.993819513100,26758.939002656236,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,cb3cb1a761933424d8f8f93177bcd30a101ffc5d21437fbc77f98ea8c505455e
4,INITIAL,-1,true,true,5,0,270.259961012823,11932.379890691655,22126.002484851793,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,10,1,100,700,1,1,8e1d5de04bb733ec573bd4832b718b01f9034fcd74feedf65bf73ba44c03169b
5,GLOBAL_SLOT_G1_CMAX,5,true,true,106,1,244.749088597086,12116.483363602663,18159.374961799316,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,20,1,0,0,200,200,1,1,8ac8991942e412fb50b592c5e8d7b4ab1aeb230f3c3a92d18716baad7d1c8262
6,GLOBAL_SLOT_G3_TWC,23,true,true,282,1,238.952296128000,10855.423275616610,18075.970757274616,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,240,1,0,0,300,1900,1,1,d1238882093a39afba66c8c306707e247d48a0139cbd94262f266dda616a8bac
7,GLOBAL_SLOT_G1_CMAX,63,true,true,419,1,223.098274698871,11007.011200017374,18659.190256641745,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,580,1,0,0,2000,5000,1,1,8605bcafe9dcd3db0b4515d9e0f252716563675d68fe5b40313aa5fa32eb42e0
8,GLOBAL_SLOT_G3_TWC,81,true,true,696,1,219.014667242620,11349.249830881252,20084.112455011090,G3_TWC,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ffd2f7be9756770217461e41bc729ae2cbef1957f70525decbc7227b90cca6b5
9,GLOBAL_SLOT_G1_CMAX,63,true,true,2918,1,217.536528042557,11511.168614670883,18059.136856111570,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6fbde0d793d738bbb9920c0d982404f398d54174c6da593f9f23f8b9412f487a
10,GLOBAL_SLOT_G1_CMAX,63,true,true,4915,1,213.497372998042,11315.069800437734,18017.818623386138,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,862eff0e914af0d1d696456af18491d44ab7204ca2bcb89d4421ea2820d7f324
11,NOT_APPLICABLE,63,true,true,6032,1,209.602907657558,11290.288585592712,16699.620069884920,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,2,1,29269,29369,2,2,8997b3bb14910beb8e929440c1fbde233236dd170825aaf9f0ca446c85fc4c2f
12,NOT_APPLICABLE,63,true,true,6896,1,207.533217292017,10844.963422367070,16930.565310947920,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,3aa3d568dd1db322b64311bbcee60389e62cf22ff5f24fd20cf5b0e286479607
13,NOT_APPLICABLE,63,true,true,6903,1,206.024321049105,10877.101367167033,16975.183536638470,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,c9dfef0392c7bd18288c35cd78eadcd36102ce0fe476df12ae9e6ee6949e7ca7
14,NOT_APPLICABLE,63,true,true,6905,1,204.400848179814,10851.762790156197,16834.384889926485,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,c9b56a29e850db9928c392b7fa92375743cc985fbfae9033c7bfbeb0bcea00f3
15,NOT_APPLICABLE,63,true,true,6910,1,202.451876403686,10714.828555859604,16598.767868471085,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,10f16abaee676c55e15c3dc87bb94508c2dd9983d8bf13df60df988a99d8ef5f
16,NOT_APPLICABLE,63,true,true,6912,1,202.433728118589,10710.912372313447,16592.685354009610,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,22ced501da54ac6887b7bb154a18ff6e8dc0af75081e1814e7215a697b947c6e
17,NOT_APPLICABLE,63,true,true,6953,1,201.940723965314,10742.842065729103,16743.893094565465,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,240,1,955,9,29269,251806,2,10,98f882e294ef187df9af2a7a5d2d2a81e657ac8f8c60b6423e79dbb3f415a554
18,GLOBAL_SLOT_G1_CMAX,158,true,true,30572,2,197.961118084770,10490.131201580265,17319.632709353120,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,353b976a7f1848156c06214788c5bd9cd8f9b302859303db2e7c238ced25f542
19,GLOBAL_SLOT_G1_CMAX,158,true,true,31680,2,197.562084204923,10523.216197998845,16179.792536895737,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ea096aa2cc766a190151e7105cf75b059b79abfa7514de95df842ce8715dbda3
20,GLOBAL_SLOT_G4_BALANCED,158,true,true,33998,2,197.415788959478,10601.152425670041,16375.136627779902,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ba3c9cf2d54e919af896087156e4b2ece0f94bf8eabc0461c9e23c65a55be482
21,NOT_APPLICABLE,158,true,true,34584,2,196.739109140155,10285.138324180974,16998.760349993460,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,21,7,84749,251806,4,10,543e8eb7c18fdf2e22439b0a216817cc06b4f62025597029ac2e21741d5be8c8
22,NOT_APPLICABLE,158,true,true,36476,2,193.363709047970,11078.065749334150,16856.143095306610,G1_CMAX,INTER_FACTORY,INTER_FACTORY_INSERTION,true,true,true,true,NO,280,1,14,1,57285,61885,3,3,99a17f1dce1a16d6564bbaa1acb8fc39ec98a148aac2e514c2c68d28734117cc
23,GLOBAL_SLOT_G1_CMAX,275,true,true,61887,3,191.901039097009,10836.002330873103,17053.161681631213,G1_CMAX,CFVF,CFVF,true,true,true,true,NO,0,0,21,1,84749,85949,4,4,45839bac1b97adbb0d3a005013bbf38e9de645f975eaeeeffbc529130d9ee157
24,NOT_APPLICABLE,275,true,true,62453,3,191.620048932748,10793.918865748390,17419.985754691017,G1_CMAX,FIXED_VNS,O1_O9,true,true,true,true,NO,0,0,43,1,84849,86349,4,4,c1162156cfbf4e8bd34d28e4c0f3d0154d2ecaedd9bca1677e800c7c93d23896
25,GLOBAL_SLOT_G1_CMAX,361,true,true,84858,4,191.095967223472,10644.448655922542,16283.190409109491,G1_CMAX,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b9d5527a49ce7bc9db192e4efa25df436ed1483002776bb9292afcdd4cb3549b
26,GLOBAL_SLOT_G4_BALANCED,358,true,true,114809,5,190.059683298696,10675.339883361490,16313.680297836250,G4_BALANCED,CFVF,CFVF,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,098c590850e57809bc9fe2d7ac570c6d1684c93a14c6136eaed65bebed0f091b
27,NOT_APPLICABLE,656,true,true,287268,11,189.013147817174,10636.537943476134,16868.143069580940,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,bf14af8068483e2e0ed54e10a3163ac30f92e44dcfd9dfcdd55571b2f34ca35e
28,NOT_APPLICABLE,844,true,true,425590,16,187.645598890494,10722.852401117536,17179.483835156985,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,65e425a4b660aeaff5d0ebea12a18340003bd02e19c4242ef7569e2426bc7324
