generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,2,G1_CMAX,0.7723199342885577,0.6123240668132737,0.8087907308187308,0.1964450529194868,0.3723654733396256,WOR,SEQ,0.8087907308187308,0.7723199342885577,0.036470796530173044,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,2,G1_CMAX,0.526028039543853,0.6588409901132286,0.6185807852145007,0.1646216228086852,0.24006228573899144,MAC,WOR,0.6588409901132286,0.6185807852145007,0.04026020489872795,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5106,2,2,G1_CMAX,0.6280213508098641,0.5968203325867076,0.664815026563443,0.16675167693042872,0.2773708933748441,WOR,SEQ,0.664815026563443,0.6280213508098641,0.03679367575357895,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N1
1,5107,3,2,G1_CMAX,0.7187695800615097,0.7875054455469839,0.512213329282053,0.1894655386933219,0.17215621136291712,MAC,SEQ,0.7875054455469839,0.7187695800615097,0.06873586548547417,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5108,4,1,G1_CMAX,0.6014605899753557,0.6840464528029451,0.6000083246931849,0.14062990968991057,0.23855137661427062,MAC,SEQ,0.6840464528029451,0.6014605899753557,0.0825858628275894,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N4|N5,TEST,N1|N2|N4|N5
1,5112,5,1,G1_CMAX,0.5484440008258863,0.5903064401563536,0.6570738258404634,0.10972728788560315,0.2382883847622761,WOR,MAC,0.6570738258404634,0.5903064401563536,0.06676738568410978,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5117,6,0,G1_CMAX,0.6918152479393537,0.7230308802537365,0.5961944090876341,0.217850126446631,0.5027308834474515,MAC,SEQ,0.7230308802537365,0.6918152479393537,0.031215632314382846,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5118,7,0,G1_CMAX,0.5972223417920168,0.6092347163687835,0.557060938939079,0.2042954001685343,0.37767642847948535,MAC,SEQ,0.6092347163687835,0.5972223417920168,0.012012374576766627,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,APPLY,N3
1,5119,8,0,G1_CMAX,0.6099253399834419,0.6003325872029586,0.6364800803079763,0.20032507649008807,0.6031401331438303,WOR,SEQ,0.6364800803079763,0.6099253399834419,0.02655474032453442,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5120,9,0,G1_CMAX,0.6465308755846984,0.667438413541962,0.5201955001342644,0.22302525244784815,0.3866643627187133,MAC,SEQ,0.667438413541962,0.6465308755846984,0.020907537957263633,false,BAL,FULL_MASK_AUDIT,7,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
