candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,405.247903124527,13213.232155931644,29660.074702296573,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,709057fcef0dd2eede0afe5f99ad3955876c38a690c5aebb7d6ba3f1f62fdaa7
2,INITIAL,-1,true,true,2,0,393.193859665489,12553.112009919092,24795.171069902677,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,8d303c393751d93f666b689aec177a387995b8d368236abde693f0973ad69bc4
3,INITIAL,-1,true,true,3,0,309.768708316281,11741.638657194295,23170.002982440386,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,555a8a40d85709d9f389b8a7ffd8404e13cff11dc579294ae10c16365cdd298d
4,INITIAL,-1,true,true,8,0,270.443520328709,11486.533016661437,20015.618075172006,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,17262349266157edb1b0d8f5db449b3bbdfb772807669d5150ce63f0f554187c
5,INITIAL,-1,true,true,53,0,255.880065583910,11729.535991351884,21057.900369903786,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,394d63cab7ecfa9c93f936b2cbdcc6a1c37576ae0e02cc8ab92de3d5073b83b0
6,GLOBAL_SLOT_G2_TEC,-1,true,true,169,1,255.036571691345,11470.628570387711,20163.044158270770,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,388cc1c982fd795f3921fbe49977d3d51ddce7489820d5c05af2d1707665a142
7,GLOBAL_SLOT_G4_BALANCED,-1,true,true,244,1,253.546591270602,11697.460207221386,23580.879945961250,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,fea8cb8eb3c220ceb9d90099cdaf06195e087cb60c2262580cef4145dc2c08c0
8,GLOBAL_SLOT_G1_CMAX,-1,true,true,301,1,241.434782997306,11728.271083746118,21853.662846626787,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,349b6bc42ce9b99309a9a2a0e58a9486b0775fd425e39edbbe3fc25f254fa9ce
9,GLOBAL_SLOT_G2_TEC,-1,true,true,469,1,238.189515973413,11221.629116236732,20545.586364888833,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,0a9e2ac1184466e2a319f15e7745d1b78d2697b32dae5dda3623fa3d72df36e2
10,GLOBAL_SLOT_G1_CMAX,-1,true,true,1104,1,237.424226975228,11707.051366134845,19108.820440753850,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4d51b0b0db0d163ce266438ce192e9addf7d5b8486e572dcece102f2b8fc538c
11,GLOBAL_SLOT_G2_TEC,-1,true,true,1262,1,230.907538935440,11946.899338922896,17863.418299378520,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,5a8d7582f69b6be3633dc64fc502d2f3b6079a0d238fd69572d367298ff1ba2e
12,GLOBAL_SLOT_G1_CMAX,-1,true,true,1301,1,226.178774805523,11939.503049953546,17608.805415158860,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,20094e9382fc997649ac47fb352ae0ac5c49a7b5ad17809412117606623d2739
13,GLOBAL_SLOT_G4_BALANCED,-1,true,true,1740,1,224.002315483740,11377.824369607999,18924.589407260195,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,5f9f816b653598f8a9b03f4bd7829f6260e9eeb366eae9866f7ac3a61e72b389
14,GLOBAL_SLOT_G2_TEC,-1,true,true,2362,1,219.618641610218,10819.506674326312,18656.384534942420,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,373d93efc7fc2c25245777bec12c9535b9cef653344cef633dfcc02d397d821b
15,GLOBAL_SLOT_G4_BALANCED,-1,true,true,4330,1,215.500471887013,10644.032117699997,18186.955687670816,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,ef939670c1de1f950f6834302b54d22c8badc9b89e1e2af54438cf5054979e99
16,GLOBAL_SLOT_G1_CMAX,-1,true,true,28357,2,209.053968571549,11296.734605349302,18517.912717011204,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,9238a9452f2f4f5dd251a04320cf535fa82fb0585ffb8a0af572a5c173fa64be
17,NOT_APPLICABLE,-1,true,true,36124,2,206.113945175994,11094.501234498211,19088.334872336860,G1_CMAX,FIXED_VNS,O1_O9,true,true,false,true,NO,0,0,0,0,,,,,bafe1ffe6d3d39a18c735eb1d16d22c95952404f5daa6a976ed4d9b961e9f03e
18,NOT_APPLICABLE,-1,true,true,41169,2,203.978958223965,10877.784574174464,17958.891887229605,G4_BALANCED,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,0ef1086f9588c4ba2c9f35228fa2eaa36aec94094b2fd9bab7cbdd930d014a77
19,NOT_APPLICABLE,-1,true,true,62780,3,203.467894317595,11275.049121484957,19811.924598885790,G1_CMAX,FIXED_VNS,O1_O9,true,true,false,true,NO,0,0,0,0,,,,,5e2823db86d8c368f6d3672ad2d5b0a8b57209d87eb1084c2e3cee0872d7567d
20,GLOBAL_SLOT_G1_CMAX,-1,true,true,86944,4,203.063041584902,10509.132606880708,18335.445713753805,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,2eab19e169cf6934645de0f7dbeba96c67735ef4b31daeb280caf6cdad45567c
21,GLOBAL_SLOT_G1_CMAX,-1,true,true,87040,4,201.951358994630,10503.719683681942,18253.119957359977,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b17e1b76c04c5af302942b2f66ee4af764b1de55966c871c0a6090a0d7dfdb0e
22,NOT_APPLICABLE,-1,true,true,92341,4,198.688102717492,10885.317406300886,17711.823427384950,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,4caca9ee3ec11dc18c247a5eb93479aca35d832d8851e080b21a4b3cf842aff0
23,NOT_APPLICABLE,-1,true,true,92349,4,198.284941712366,10866.868425309825,17211.432003024456,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,66845c67fb425506609af056a1dd81ba2c33426c94f12e6e777c71ecb022d4ce
24,NOT_APPLICABLE,-1,true,true,92381,4,198.238255176157,10906.053463677497,17512.550437060847,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,a2d6b47e993bf1853eaca84403f1876d394f2d0339134f9cd630c12c1b7ef343
25,NOT_APPLICABLE,-1,true,true,92443,4,198.101661439811,10895.333027717414,17638.699586238195,G1_CMAX,FIXED_VNS,O1_O9,true,true,false,true,NO,0,0,0,0,,,,,8e3050b78fccf29840305b38d583c2889fedf470cd7baa7d6fd972be09ed8691
26,NOT_APPLICABLE,-1,true,true,122012,5,197.477725043874,11107.846585632270,18186.028082728370,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,b7bef55574fd07cdbc1db4156f0377e378fa3a3bd1b7d605483282ce3a4778aa
27,NOT_APPLICABLE,-1,true,true,122050,5,196.658148739981,11163.047200026122,18162.804671208403,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,f1a7cb81fb2308de772930c63c710aa1e7938fc3f3b41c3ba166dbf74e9d85bd
28,NOT_APPLICABLE,-1,true,true,122057,5,196.209207408891,11156.794599515477,18070.210114464422,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,bbaa250a5f87e1225b56f2338c57a21888d2a533d9090ff2332fd8b57714064e
29,NOT_APPLICABLE,-1,true,true,122074,5,194.877030707870,11139.448042547663,17799.964837408020,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,5618e757371e8008fd9bbf15c46cb298f51688d8a345d3e5effe546a65bb1394
30,NOT_APPLICABLE,-1,true,true,122163,5,194.619662940636,11136.321644195235,17740.996130787060,G1_CMAX,FIXED_VNS,O1_O9,true,true,false,true,NO,0,0,0,0,,,,,c90309dba553dd8df3904ddb68b02d66065acb6e54b7f3aaa568fdc8ffa376b2
31,NOT_APPLICABLE,-1,true,true,267989,10,193.309363583291,10844.532369671190,17591.796322410803,G4_BALANCED,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,0073eb6537adbcd36df541ebf850ed868d3940d33aabda870c7cfb2689674df1
32,NOT_APPLICABLE,-1,true,true,404613,15,193.177862474891,11054.311857844088,17158.054702424273,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,fe7ffeeb3156ba68d5747daae11573c3d816cc74d6bd0c1825a1fe1d0cf6a0a9
33,NOT_APPLICABLE,-1,true,true,404661,15,191.536727055986,11037.761623192491,17004.030136813120,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,781346507216d1f2421d010d10ad3cc73a5222432282aaaf6bcc50e8c36a3087
34,NOT_APPLICABLE,-1,true,true,404670,15,191.309766830070,11054.592633339970,16990.695986559130,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,78af4b5c810f02e06776f195956e017d3963e9d706f0176d63d807d6431d6380
35,NOT_APPLICABLE,-1,true,true,404707,15,189.492355327240,11059.150213203226,17041.369152258685,G1_CMAX,FIXED_VNS,O1_O9,true,true,false,true,NO,0,0,0,0,,,,,58d47f807ef222b9754524d3a976b1e8dcf8e948c5d93b97b5fb4a1ca6ce4583
36,NOT_APPLICABLE,-1,true,true,491721,18,187.129306071274,10908.051451023628,16831.454680259223,G1_CMAX,FIXED_VNS,O1_O9,true,false,false,false,NOT_SELECTED,0,0,0,0,,,,,e5b1f8f5bd47be523f4d3e1f8d2074fd7b82e5d711f0095c42d28e285cf927ac
