algorithm,status,sharedProblemOnly,searchMechanismIndependent,objectiveAdapter,legacyP25DExcluded
ZHANGBO_A4,COMPLETED,true,true,0|1|6,true
HMOPSO_QGS_F,COMPLETED,true,true,0|1|6,true
HMOPSO_QLS_F,COMPLETED,true,true,0|1|6,true
MOPSO_F,COMPLETED,true,true,0|1|6,true
MOPSODS_DE_F,COMPLETED,true,true,0|1|6,true
MOHEADE_F,COMPLETED,true,true,0|1|6,true
NSGA_II_F,COMPLETED,true,true,0|1|6,true
SPEA2_F,COMPLETED,true,true,0|1|6,true
ZHANGBO_A4,COMPLETED,true,true,0|1|6,true
HMOPSO_QGS_F,COMPLETED,true,true,0|1|6,true
HMOPSO_QLS_F,COMPLETED,true,true,0|1|6,true
MOPSO_F,COMPLETED,true,true,0|1|6,true
MOPSODS_DE_F,COMPLETED,true,true,0|1|6,true
MOHEADE_F,COMPLETED,true,true,0|1|6,true
NSGA_II_F,COMPLETED,true,true,0|1|6,true
SPEA2_F,COMPLETED,true,true,0|1|6,true
ZHANGBO_A4,COMPLETED,true,true,0|1|6,true
HMOPSO_QGS_F,COMPLETED,true,true,0|1|6,true
HMOPSO_QLS_F,COMPLETED,true,true,0|1|6,true
MOPSO_F,COMPLETED,true,true,0|1|6,true
MOPSODS_DE_F,COMPLETED,true,true,0|1|6,true
MOHEADE_F,COMPLETED,true,true,0|1|6,true
NSGA_II_F,COMPLETED,true,true,0|1|6,true
SPEA2_F,COMPLETED,true,true,0|1|6,true
ZHANGBO_A4,COMPLETED,true,true,0|1|6,true
HMOPSO_QGS_F,COMPLETED,true,true,0|1|6,true
HMOPSO_QLS_F,COMPLETED,true,true,0|1|6,true
MOPSO_F,COMPLETED,true,true,0|1|6,true
MOPSODS_DE_F,COMPLETED,true,true,0|1|6,true
MOHEADE_F,COMPLETED,true,true,0|1|6,true
NSGA_II_F,COMPLETED,true,true,0|1|6,true
SPEA2_F,COMPLETED,true,true,0|1|6,true
ZHANGBO_A4,COMPLETED,true,true,0|1|6,true
HMOPSO_QGS_F,COMPLETED,true,true,0|1|6,true
HMOPSO_QLS_F,COMPLETED,true,true,0|1|6,true
MOPSO_F,COMPLETED,true,true,0|1|6,true
MOPSODS_DE_F,COMPLETED,true,true,0|1|6,true
MOHEADE_F,COMPLETED,true,true,0|1|6,true
NSGA_II_F,COMPLETED,true,true,0|1|6,true
SPEA2_F,COMPLETED,true,true,0|1|6,true
