generation,mainFE,parentSlot,factory,role,pSeq,pMac,pWor,pSet,pFat,maximumType,secondType,maximumPressure,secondPressure,pressureGap,confident,diagnosis,reason,criticalOperations,mask,decision,decisionActions
1,5100,0,2,G1_CMAX,0.713300889713625,0.7204510876538874,0.7669197822170566,0.21216670193283507,0.30786670617574324,WOR,MAC,0.7669197822170566,0.7204510876538874,0.046468694563169155,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5105,1,0,G1_CMAX,0.6679715054777187,0.6944579047494304,0.6309853117591138,0.18115018232453212,0.6603964240955545,MAC,SEQ,0.6944579047494304,0.6679715054777187,0.026486399271711702,false,BAL,FULL_MASK_AUDIT,10,N1|N2|N3|N4|N5,APPLY,N5
1,5106,2,0,G1_CMAX,0.47948361830601627,0.46562328233904837,0.557845825563504,0.16962278302627454,0.4116366467222642,WOR,SEQ,0.557845825563504,0.47948361830601627,0.07836220725748777,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N5
1,5107,3,0,G1_CMAX,0.6783152329993659,0.7025599076597805,0.6427443698266714,0.19463468533637157,0.4925355586130472,MAC,SEQ,0.7025599076597805,0.6783152329993659,0.024244674660414578,false,BAL,FULL_MASK_AUDIT,9,N1|N2|N3|N4|N5,APPLY,N5
1,5108,4,1,G1_CMAX,0.6655766067379892,0.7336432118704459,0.5720299666130036,0.14260235977888525,0.22652339053798132,MAC,SEQ,0.7336432118704459,0.6655766067379892,0.06806660513245666,false,BAL,FULL_MASK_AUDIT,4,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5113,5,0,G1_CMAX,0.5031516286179196,0.44888726890878183,0.639388422288807,0.19192713391465976,0.5362592287883323,WOR,FAT,0.639388422288807,0.5362592287883323,0.10312919350047467,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,APPLY,N3
1,5114,6,2,G1_CMAX,0.721489833673983,0.5897845188593811,0.7761361900496917,0.17835324369340055,0.3040489055641508,WOR,SEQ,0.7761361900496917,0.721489833673983,0.05464635637570869,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5115,7,2,G1_CMAX,0.5133217703397392,0.5609012609211235,0.6362358111728117,0.13178176069625955,0.19944844599671224,WOR,MAC,0.6362358111728117,0.5609012609211235,0.07533455025168823,false,BAL,FULL_MASK_AUDIT,6,N1|N2|N3|N4|N5,APPLY,N3
1,5116,8,0,G1_CMAX,0.48523215648995544,0.48483901077703806,0.579967671696631,0.1911276927004807,0.48139223131711234,WOR,SEQ,0.579967671696631,0.48523215648995544,0.09473551520667556,false,BAL,FULL_MASK_AUDIT,8,N1|N2|N3|N4|N5,TEST,N1|N2|N3|N4|N5
1,5121,9,1,G1_CMAX,0.6720715013236267,0.7281012083456493,0.5363048928674138,0.15519608991683864,0.19670438668656942,MAC,SEQ,0.7281012083456493,0.6720715013236267,0.05602970702202259,false,BAL,FULL_MASK_AUDIT,5,N1|N2|N3|N4|N5,APPLY,N3
