vector,position,oldValue,newValue,evaluationIndex
WA,8,2,0,102
MA,11,3,1,104
WA,11,2,0,104
MA,17,2,0,104
WA,17,2,0,104
MA,4,3,1,105
MA,9,3,1,105
MA,11,2,0,105
MA,17,3,1,105
WA,15,2,0,106
MA,6,2,0,111
WA,6,2,0,111
MA,13,2,0,111
MA,17,2,0,114
WA,17,2,0,114
MA,9,2,0,120
WA,2,2,0,123
MA,6,2,0,123
WA,6,2,0,123
MA,14,2,0,123
MA,15,2,0,123
MA,17,2,0,126
WA,17,2,0,126
MA,0,2,0,132
MA,11,2,0,132
MA,17,3,1,132
MA,19,2,0,132
MA,7,3,1,144
WA,7,2,0,144
WA,10,2,0,144
WA,14,2,0,144
WA,15,2,0,144
MA,12,2,0,154
MA,19,3,1,154
MA,13,3,1,160
MA,14,2,0,163
WA,14,2,0,163
WA,15,2,0,163
MA,16,2,0,163
WA,16,2,0,163
MA,13,2,0,164
MA,16,3,1,164
MA,5,3,1,165
MA,9,3,1,165
WA,9,2,0,165
MA,14,2,0,165
WA,14,2,0,165
MA,18,3,1,165
MA,19,2,0,165
MA,13,3,1,171
MA,4,3,1,181
MA,14,3,1,182
WA,15,2,0,182
MA,3,2,0,183
MA,13,3,1,183
MA,16,2,0,183
MA,18,2,0,183
MA,19,3,1,184
MA,4,3,1,187
MA,8,2,0,189
WA,12,2,0,189
MA,14,3,1,189
MA,11,3,1,192
WA,11,2,0,192
MA,12,2,0,192
WA,15,2,0,195
MA,18,3,1,195
MA,6,3,1,198
MA,7,2,0,198
WA,9,2,0,198
MA,11,3,1,198
WA,11,2,0,198
MA,12,2,0,198
MA,17,3,1,199
WA,17,2,0,199
MA,13,2,0,200
WA,19,2,0,200
WA,18,2,0,203
MA,4,3,1,205
MA,7,3,1,209
WA,9,2,0,209
WA,19,2,0,221
MA,14,3,1,225
MA,15,3,1,225
MA,0,2,0,230
WA,0,2,0,230
MA,3,2,0,230
WA,7,2,0,230
MA,13,3,1,230
WA,13,2,0,230
WA,19,2,0,230
WA,10,2,0,233
MA,13,3,1,233
MA,18,2,0,233
WA,18,2,0,233
