id,cycle,fe,role,fp,cmax,tec,twc,q,p,score,origRank,slot,lineage,dFp,dCmax,dTEC,dTWC,dq,dp,dScore,dOrigRank
0,9,60264,CMAX,"[4, 13, 18, 5, 12, 6, 11, 3, 8, 17, 14, 19, 10, 15, 16, 1, 9, 7, 0, 2]|[1, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1]|[1, 0, 3, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1]|[1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1]",186.4319139739639,11381.145968817094,16982.587622338327,0,8,0.1111111111111111,103,0,688,"[10, 12, 7, 18, 15, 9, 6, 3, 19, 5, 13, 14, 11, 17, 4, 1, 2, 16, 0, 8]|[0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 3]|[0, 0, 2, 2, 0, 2, 1, 1, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 2, 0]",432.6002267798624,9388.96624606537,13331.219153141112,0,13,0.07142857142857142,98
1,9,60264,TWC,"[10, 12, 7, 18, 16, 9, 6, 3, 19, 5, 14, 15, 0, 17, 1, 11, 2, 8, 4, 13]|[0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 0, 2, 1]|[3, 3, 3, 3, 1, 0, 3, 2, 1, 3, 1, 1, 2, 1, 3, 1, 1, 3, 1, 1]|[0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 2, 1, 1, 0, 0, 1]",353.1810614329599,10289.375497788375,13112.21974326394,0,3,0.25,105,2,666,"[10, 12, 7, 18, 15, 9, 6, 3, 19, 5, 13, 14, 11, 17, 4, 1, 2, 16, 0, 8]|[0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 3]|[0, 0, 2, 2, 0, 2, 1, 1, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 2, 0]",432.6002267798624,9388.96624606537,13331.219153141112,0,13,0.07142857142857142,98
2,10,66991,CMAX,"[4, 13, 18, 5, 12, 6, 11, 3, 8, 17, 14, 19, 10, 15, 16, 1, 9, 7, 0, 2]|[1, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1]|[1, 0, 3, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1]|[1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1]",186.4319139739639,11381.145968817094,16982.587622338327,0,7,0.125,107,0,688,"[10, 12, 18, 7, 15, 9, 6, 16, 11, 2, 13, 3, 14, 17, 4, 0, 8, 5, 1, 19]|[0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 0, 3, 3, 3, 3, 3, 1, 3, 1]|[0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 2, 0, 0, 2, 0, 2, 0, 1, 2, 1]",457.0488959576483,8568.41557795857,13807.233571450965,0,12,0.07692307692307693,98
3,10,66991,TWC,"[10, 12, 7, 18, 16, 9, 6, 3, 19, 5, 14, 15, 0, 17, 1, 11, 2, 8, 4, 13]|[0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 0, 2, 1]|[3, 3, 3, 3, 1, 0, 3, 2, 1, 3, 1, 1, 2, 1, 3, 1, 1, 3, 1, 1]|[0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 2, 1, 1, 0, 0, 1]",353.1810614329599,10289.375497788375,13112.21974326394,0,3,0.25,109,2,666,"[10, 12, 18, 7, 15, 9, 6, 3, 19, 5, 13, 14, 11, 17, 4, 1, 2, 16, 0, 8]|[0, 2, 0, 0, 2, 0, 2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 3]|[0, 0, 2, 2, 0, 2, 1, 1, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 2, 0]",430.9976996131007,9070.78081162589,13550.015221672598,0,12,0.07692307692307693,99
4,11,73732,CMAX,"[4, 13, 18, 5, 12, 6, 11, 3, 8, 17, 14, 19, 10, 15, 16, 1, 9, 7, 0, 2]|[1, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1]|[1, 0, 3, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1]|[1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1]",186.4319139739639,11381.145968817094,16982.587622338327,0,3,0.25,107,0,688,"[10, 12, 4, 19, 18, 13, 6, 11, 3, 8, 17, 14, 0, 5, 15, 2, 1, 16, 9, 7]|[0, 2, 1, 2, 0, 2, 0, 0, 0, 2, 1, 0, 0, 2, 2, 1, 0, 1, 2, 1]|[0, 0, 0, 1, 3, 0, 0, 2, 0, 1, 1, 2, 2, 0, 0, 1, 2, 1, 1, 1]|[0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 0, 1, 1, 1, 2, 1, 0, 1]",253.02483061740833,10857.989063163706,15705.878028891362,0,9,0.1,99
5,11,73732,TWC,"[10, 12, 7, 18, 16, 9, 6, 3, 19, 5, 14, 15, 0, 17, 1, 11, 2, 8, 4, 13]|[0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0, 2, 0, 2, 1, 0, 2, 1]|[3, 3, 3, 3, 1, 0, 3, 2, 1, 3, 1, 1, 2, 1, 3, 1, 1, 3, 1, 1]|[0, 2, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 2, 1, 1, 0, 0, 1]",353.1810614329599,10289.375497788375,13112.21974326394,0,1,0.5,109,2,666,,NaN,NaN,NaN,0,0,NaN,-1
6,12,80488,CMAX,"[4, 13, 18, 5, 12, 6, 11, 3, 8, 17, 14, 19, 10, 15, 16, 1, 9, 7, 0, 2]|[1, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1]|[1, 0, 3, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1]|[1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1]",186.4319139739639,11381.145968817094,16982.587622338327,0,10,0.09090909090909091,111,0,688,"[10, 4, 13, 19, 16, 12, 6, 1, 3, 8, 17, 14, 0, 9, 7, 5, 11, 2, 18, 15]|[2, 2, 2, 2, 1, 2, 0, 0, 0, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 2]|[0, 1, 0, 1, 1, 0, 3, 2, 0, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 0]|[0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 1, 1]",208.18389337520313,10410.021820454633,17802.185871655558,0,15,0.0625,98
7,12,80488,TWC,"[10, 12, 7, 18, 15, 9, 6, 3, 19, 5, 14, 16, 0, 4, 1, 2, 13, 11, 17, 8]|[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 2, 2, 0]|[3, 3, 3, 3, 0, 3, 3, 2, 1, 3, 1, 1, 2, 1, 1, 3, 2, 1, 1, 3]|[0, 2, 0, 2, 0, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 2, 1, 1, 0]",405.78143913968927,10061.578320476287,13078.766911760027,0,3,0.25,119,2,769,"[10, 4, 13, 19, 16, 12, 6, 1, 3, 8, 17, 14, 0, 9, 7, 5, 11, 2, 18, 15]|[2, 2, 2, 2, 1, 2, 0, 0, 0, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 2]|[0, 1, 0, 1, 1, 0, 3, 2, 0, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 0]|[0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 1, 1]",208.18389337520313,10410.021820454633,17802.185871655558,0,15,0.0625,98
8,13,87260,TEC,"[10, 12, 18, 7, 15, 9, 6, 16, 11, 2, 13, 3, 14, 1, 4, 0, 8, 17, 5, 19]|[0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 0, 1, 3, 1, 3, 3, 3, 1, 1]|[0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 2, 1, 1]",382.62146827077595,8554.008021915359,15851.296021524633,0,11,0.08333333333333333,100,1,743,,NaN,NaN,NaN,0,0,NaN,-1
9,14,94049,CMAX,"[4, 13, 18, 5, 12, 6, 11, 3, 8, 17, 14, 19, 10, 15, 16, 1, 9, 7, 0, 2]|[1, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1]|[1, 0, 3, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1]|[1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 0, 1]",186.4319139739639,11381.145968817094,16982.587622338327,0,1,0.5,112,0,688,"[10, 12, 13, 7, 15, 9, 6, 16, 11, 2, 18, 3, 14, 1, 4, 17, 8, 19, 0, 5]|[0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 0, 2, 1, 1, 2, 0, 0, 1, 0, 1]|[3, 0, 3, 3, 0, 3, 0, 1, 1, 3, 3, 0, 1, 1, 0, 3, 3, 1, 3, 1]|[0, 0, 2, 0, 0, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1]",335.9537578026694,8811.729979700212,17347.76586825707,0,8,0.1111111111111111,99
