fp,qg,qgG1,qgG2,qgG3,qgG4,cfvfGbest,cbG1,cbG2,cbG3,cbG4,cfvfPbest,descPresence,directPresence,uniqueDescLineages,directLineages,successPresence,nondomFinal
"[16, 19, 2, 3, 17, 10, 15, 11, 9, 6, 12, 8, 4, 14, 13, 5, 7, 0, 1, 18]|[2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2]|[0, 0, 1, 0, 3, 0, 2, 1, 1, 1, 0, 1, 0, 1, 3, 1, 1, 3, 3, 0]|[1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0]",0,1,0,2,0,0,1,0,2,0,47,374,4,136,1,190,86
"[16, 5, 2, 10, 18, 17, 15, 11, 9, 19, 7, 4, 13, 1, 8, 12, 6, 0, 3, 14]|[2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0]|[1, 2, 0, 0, 3, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0, 1]|[1, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1]",0,1,0,2,0,0,1,0,2,0,16,374,5,136,1,181,86
"[16, 14, 19, 6, 0, 3, 2, 11, 17, 12, 5, 15, 9, 4, 1, 8, 7, 13, 18, 10]|[1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2]|[1, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 3, 3, 3, 0]|[1, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 2, 0, 2, 1]",0,1,0,2,0,0,1,0,2,0,29,374,2,136,1,374,86
"[16, 14, 19, 6, 0, 3, 1, 11, 17, 10, 5, 15, 9, 12, 7, 8, 4, 18, 13, 2]|[1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0]|[1, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3]|[1, 1, 0, 1, 2, 0, 2, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 2, 0, 2]",0,1,0,2,0,0,1,0,2,0,32,374,4,136,1,363,86
"[16, 5, 2, 17, 6, 1, 9, 10, 8, 12, 15, 11, 3, 4, 13, 18, 19, 14, 0, 7]|[2, 1, 2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 2, 1, 0, 2, 1, 0, 0, 1]|[1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 3, 1, 1, 0, 3, 0, 1, 1, 3, 1]|[1, 1, 0, 0, 0, 2, 1, 1, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 2, 1]",1,1,0,2,0,35,1,0,2,0,5,374,3,136,1,165,86
"[5, 19, 17, 3, 13, 4, 16, 2, 9, 6, 12, 8, 10, 15, 11, 0, 14, 7, 1, 18]|[1, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 1, 0, 0]|[0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 0, 3, 1, 3, 1, 1, 3, 3]|[0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 0, 2, 1, 1, 2, 0]",0,1,0,2,0,0,1,0,2,0,587,374,20,136,5,134,86
"[16, 10, 14, 9, 1, 8, 12, 4, 11, 17, 5, 15, 2, 0, 3, 7, 13, 6, 18, 19]|[0, 2, 2, 0, 0, 2, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]|[3, 1, 0, 3, 1, 0, 3, 1, 0, 1, 1, 3, 3, 3, 3, 3, 3, 0, 3, 1]|[2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 2, 0, 2, 0, 1, 2, 1]",0,1,0,2,0,0,1,0,2,0,452,374,7,136,1,349,86
"[16, 14, 19, 6, 0, 3, 1, 11, 17, 10, 5, 7, 9, 2, 15, 4, 8, 18, 13, 12]|[1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0]|[1, 1, 3, 0, 3, 3, 3, 1, 0, 0, 1, 3, 0, 3, 3, 0, 3, 3, 3, 3]|[1, 1, 0, 1, 2, 0, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 2, 0, 2]",0,1,0,2,0,0,1,0,2,0,11,374,9,136,3,372,86
"[16, 5, 2, 3, 17, 6, 12, 15, 4, 18, 10, 8, 19, 11, 9, 0, 13, 14, 1, 7]|[2, 1, 2, 2, 2, 1, 2, 0, 1, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 1]|[1, 0, 0, 1, 0, 1, 0, 3, 1, 3, 0, 0, 1, 1, 1, 3, 2, 1, 3, 1]|[1, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 2, 1, 1, 2, 1]",0,1,0,2,0,0,1,0,2,0,5576,374,2,136,1,74,86
"[16, 5, 2, 3, 17, 12, 13, 7, 14, 11, 10, 4, 15, 1, 18, 19, 6, 9, 0, 8]|[2, 1, 2, 2, 2, 2, 0, 1, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0]|[1, 0, 0, 1, 0, 1, 2, 1, 1, 3, 0, 1, 1, 3, 0, 1, 1, 0, 3, 0]|[1, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0]",0,1,0,2,0,0,1,0,2,0,298,374,25,136,5,24,86
