candidateId,parentId,lineageId,generated,admitted,evaluation,generation,cmax,tec,twc,subSwarm,mechanism,operator,enteredCandidateSet,pddrRetained,personalArchive,globalArchive,nextRoundSurvival,g1SocialTeacherParticleUses,g1SocialTeacherGenerations,g1PersonalTeacherParticleUses,g1PersonalTeacherGenerations,firstTeacherFE,lastTeacherFE,firstTeacherGeneration,lastTeacherGeneration,fingerprintSha256
1,INITIAL,-1,true,true,1,0,2039.581718329668,73608.431377739250,186886.383214294620,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,1fa039ba47156a62509a6003ac9779190d391d662e537240654e3d95551de27f
2,INITIAL,-1,true,true,2,0,1539.425676898136,70424.188089635020,168866.372360688000,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d1fe1acedaa4b8877e1d22aa4b5b132227dd5899056563a04ee5efc4a497b3c7
3,INITIAL,-1,true,true,3,0,1538.181235194380,68275.259814908890,200129.560301720980,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b62b97d32df3515c68d4187d907c2747add663f270c8701f002cb06ec925c0a9
4,INITIAL,-1,true,true,4,0,1471.066966219271,68112.010703895760,162108.193366864520,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,281320e0b32678dbddb4f926fbab95515fd369b38baa258889a5af9b7a492df5
5,INITIAL,-1,true,true,5,0,1335.936474862121,65348.385341818870,162364.832471898440,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,01453433ca8b8c8eb1026158831fa4d50f3bc9bcada8b3477e74e909aafe465e
6,INITIAL,-1,true,true,19,0,1169.428904970311,64909.295860585575,163188.937240154050,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,b9f2bcabab4a0451c50c690ee63b3fd9901dc59ea92a7884c90d00e5e4a4b6b8
7,INITIAL,-1,true,true,46,0,1163.989734883033,63913.746071963920,147076.997131107900,UNASSIGNED,INITIAL,INITIAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,11881be48af5983d3624b01a2a76a8baefc88e3916c84fb6cb05adabcb581ab1
8,GLOBAL_SLOT_G1_CMAX,-1,true,true,107,1,1139.432383537564,65545.255731936720,158072.470559075500,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4d98074ec86a64a1ba9a66d97be2e5fc05cec48059549f08b4e4f740b8bea4cb
9,GLOBAL_SLOT_G3_TWC,-1,true,true,289,1,1063.491508588502,64113.710197489890,141793.784332065520,G3_TWC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,21c555f06724328421568865899e3410a8522e5a8343de0cce76bccefdf4db20
10,GLOBAL_SLOT_G2_TEC,-1,true,true,364,1,1013.092230013529,63528.974187522430,137123.163640311220,G2_TEC,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,644a1776c14d13367f50b6158e51b33feee6ea939d77538cf66c9ec6aa75d897
11,GLOBAL_SLOT_G4_BALANCED,-1,true,true,1224,1,1007.426847512234,61868.873052468610,148809.318186159270,G4_BALANCED,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,d99c448f350daef810a79df6bfcdc230744925198153e0c506e94a60bdd25841
12,GLOBAL_SLOT_G1_CMAX,-1,true,true,1802,1,980.265882897886,63642.775731008220,156850.033307512320,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,01b53c698f359bf18776e4c35798e391a5e77f7f3f41f031b632f6242a57f804
13,GLOBAL_SLOT_G1_CMAX,-1,true,true,2702,1,977.228109586847,60427.267928488270,144125.305714493150,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,89188131e493ee5bf6748c18146273339b9bbf6dd4e9ed8c23d7e5231df72d22
14,GLOBAL_SLOT_G1_CMAX,-1,true,true,2816,1,960.411153076333,61223.139605276440,146541.213459216470,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,91a6f5928d1184c1cd17ccc4c9e1de19e636d0f8d1b87bb87a802cb9324ad4c2
15,GLOBAL_SLOT_G1_CMAX,-1,true,true,2901,1,953.405297267702,61811.297691165964,141004.084373767080,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,6cbeebd424bf3669219b4460f61655f0f408e884fadc9fccaa44c5f028bcca45
16,GLOBAL_SLOT_G1_CMAX,-1,true,true,3204,1,933.022496908776,62217.894350459900,141246.452888615080,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4b222b9134c5e636c7e21b98e49b1afda8d1f8845f08f4a71b6bd94f9c2c5c17
17,GLOBAL_SLOT_G1_CMAX,-1,true,true,3801,1,917.581806319348,61330.676204075484,132520.803349604980,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,4f500f177d722293bc731de77f0658706c46f8f03f73b1386526c84e986d4e49
18,GLOBAL_SLOT_G1_CMAX,-1,true,true,4108,1,907.637146816342,62614.524828146680,142533.872284909800,G1_CMAX,BASELINE_GLOBAL,BASELINE_GLOBAL,true,false,false,true,NOT_SELECTED,0,0,0,0,,,,,38fe691a27938e7fa1ff4d2894104dfdf24b13cfda1f593f51bced632cc05864
